osm_id,name,x,y
153448363,Evansboro,-88.4680838,31.8837647
153594062,Melvin,-88.4589178,31.9304297
153804045,Emory,-88.4575258,31.8107117
358955280,Melvin United Methodist Church,-88.4564177,31.9282076
358910208,Donald Assembly of God Church,-88.4555834,31.8912644
153809353,Isney,-88.4555805,31.7823793
358974329,Hurricane Baptist Church,-88.4514160,31.8762649
358905391,Antioch Baptist Church,-88.4505779,31.5809960
358911430,Flat Branch Assembly of God Church,-88.4503003,31.6032177
358974381,Isney Baptist Church,-88.4494690,31.7815460
358983546,Chapel Hill Cemetery,-88.4425229,31.6940485
153623224,Hinton,-88.4422536,32.0920917
358930685,Union Baptist Church,-88.4414082,31.4051695
358955253,Hinton Church,-88.4403091,32.0909806
153749553,Chapel Hill,-88.4403006,31.6934930
358953276,Chapel Hill Baptist Church,-88.4389116,31.6940485
358919135,Macedonia Cemetery,-88.4369613,31.2907305
358913692,Grimes Cemetery,-88.4361275,31.2637873
358983936,Yellow Pine Church of God,-88.4358525,31.4121135
358923914,Pine Grove Cemetery,-88.4355811,31.8448770
358930257,Tims Cemetery,-88.4330883,32.1934781
358930645,Union Cemetery,-88.4330749,31.4246128
358983931,Yellow Pine Baptist Church,-88.4330746,31.4068360
358931676,Wilkins Cemetery,-88.4322447,31.7096036
358977518,Sand Ridge Church of God,-88.4322442,31.6518274
358976005,New Rock Missionary Baptist Church,-88.4305781,31.7257143
358953284,Copeland Church of God,-88.4297432,31.5601632
153788364,Yellow Pine,-88.4297410,31.4057249
153738426,Contwell,-88.4286333,31.7082148
358933730,John Green Pond,-88.4283585,31.8501546
358922699,Old Aquilla Cemetery,-88.4278002,31.7276587
358974477,Jordan Church,-88.4275222,31.7112702
358912736,Gin Creek Church,-88.4264131,31.8176557
358975443,Mount Mariah Baptist Church,-88.4253044,31.9120968
153362713,Walley,-88.4250155,31.1846229
153743362,Epworth,-88.4241826,31.2607317
358953283,Copeland Assembly of God Church,-88.4239096,31.5604410
153806507,Eiler,-88.4236390,31.9626506
358983572,Dearmon Church,-88.4236324,31.6329390
358932017,Yellow Pine Cemetery,-88.4233518,31.4043360
153436571,Cyril,-88.4222541,32.1782007
153444780,Copeland,-88.4191872,31.5601632
358912265,Fruitdale Cemetery,-88.4189063,31.3565604
358981196,Old Bethel Cemetery,-88.4164125,31.8157113
358920212,Moffet Cemetery,-88.4164031,30.8504651
358919837,McLendon Cemetery,-88.4161423,32.1534790
367931279,Epworth - Vinegar Bend Fire Department,-88.4159816,31.2603632
358918372,Liberty Church,-88.4155889,32.3379194
358908572,Church of the Brethren,-88.4155728,31.3501717
358970808,Seven Oak Baptist Church,-88.4152969,31.4607222
358905982,Belmount Methodist Church,-88.4150259,31.9048748
358933197,Scott Paper Company Pond,-88.4150178,31.3851701
153708474,Aquilla,-88.4139104,31.7123812
358909186,Concord Cemetery,-88.4119772,32.2645874
358907871,Carter Cemetery,-88.4119645,31.5643297
367931416,Fruitdale - Yellowpine Volunteer Fire Department,-88.4118221,31.3418080
358955185,Aquilla United Methodist Church,-88.4114102,31.7109923
358924509,Pleasant Hill Cemetery,-88.4111439,32.2615320
358931142,Ward Cemetery,-88.4111250,30.8276877
153542854,Fruitdale,-88.4077946,31.3426719
358999998,Fruitdale Post Office,-88.4075167,31.3382277
358953262,Union Chapel Church,-88.4072390,31.3446162
358984728,Mount Zion Baptist Church,-88.4069775,32.3559745
153475931,Earlville,-88.4069583,30.9835174
358977052,Roberts Chapel,-88.4069570,30.6418596
358953309,Fruitdale High School,-88.4052945,31.3435051
359003645,West Wilmer Church,-88.4050136,30.8412985
358908613,Church of God,-88.4036356,31.8773757
358912703,Gilley Cemetery,-88.4036287,31.4065578
5007827021,,-88.4033078,30.5223697
358962155,Tates Cemetery,-88.4019561,30.5749172
5214880801,,-88.4018080,30.4731904
358987734,Reeds Chapel Methodist Church,-88.4016995,32.3415303
358921567,Mule Island,-88.4014008,30.5979721
358976717,Pleasant Hill Baptist Church,-88.4008654,32.2423656
359003642,West Wilmer Church,-88.4008467,30.8507427
5214880800,,-88.4004989,30.4738106
4596547613,,-88.4003546,30.4718730
358962347,Wilmer Church,-88.4000133,30.8415762
153442280,Missala,-88.4000105,30.4579759
358996952,Aquilla Lookout Tower,-88.3997431,31.7443248
153397219,Mehaffey,-88.3986310,31.6176615
358983718,Minerva Cemetery,-88.3980754,31.6159949
358983743,New Haven Cemetery,-88.3980747,31.5196086
153519382,Moffet,-88.3975132,30.8543537
358978252,True Light Church,-88.3966988,32.2640318
358909207,Concord Baptist Church,-88.3964207,32.2373657
153372816,Okatuppa,-88.3961370,31.9448733
4520261721,,-88.3952853,32.4546901
358915878,Holiness Church,-88.3950126,30.7190793
358924158,Pine Tree Church,-88.3947416,31.5876623
358918941,Loften Cemetery,-88.3944652,31.7557133
358961477,Moffetville Cemetery,-88.3944574,30.8462983
358983751,North Oak Grove Cemetery,-88.3936312,31.6759932
358927722,Saint Louis Church,-88.3933532,31.6609936
153545446,Water Valley,-88.3930800,31.8940418
358923026,Oxford Church,-88.3928112,32.5165268
358961232,Joyner Cemetery,-88.3927903,30.7199125
358925719,Red Bank Cemetery,-88.3922404,31.4765546
358912628,Gibbs Cemetery,-88.3917000,32.5084714
358932543,Red Nichols Number 2 Lake,-88.3916804,31.0885140
153472406,Dove,-88.3914221,32.4915274
153439716,Shady Grove,-88.3914085,31.6309944
358974354,Independent Community Church,-88.3914082,31.5943288
358919001,Long Island,-88.3908425,30.3765885
153549822,Burbank,-88.3905700,31.2179545
358945090,Morning Star Cemetery,-88.3897553,32.4926384
358961480,Moffetville Church,-88.3897350,30.8529647
153703267,Cloverdale,-88.3888994,30.5015861
358921280,Mount Zion Cemetery,-88.3883656,32.3576410
358983580,Escatawpa Baptist Church,-88.3880708,31.2918405
153584668,Escatawpa,-88.3872373,31.2896182
359003615,Tanner Williams Church,-88.3864011,30.7226902
358928430,Shady Grove Baptist Church,-88.3861304,31.6318278
359003429,Cloverdale Church,-88.3861213,30.4813087
358962342,Willow Lake,-88.3858437,30.5032527
358907679,Camp Springs Church,-88.3855833,32.0448703
359003408,Blessed Hope Church,-88.3852879,30.4821420
359005796,Brightwater Cemetery,-88.3850261,31.9723723
358906514,Big Island,-88.3850090,30.3813106
358961182,Holy Church of God,-88.3847329,30.5485290
358928563,Shamburger Cemetery,-88.3844764,32.3431969
358909606,Crandall School,-88.3841774,30.5454736
4269173278,,-88.3837040,32.4289555
358945011,Dulls Cemetery,-88.3833653,32.3501411
358906987,Brightwater Methodist Church,-88.3833592,31.9718168
358984966,Zion Baptist Church,-88.3830874,32.3195861
358953260,Turner Cemetery,-88.3825137,31.1515675
358984789,Oak Grove Baptist Church,-88.3819775,32.5493039
358907241,Burbank Cemetery,-88.3819584,31.2026769
358961100,Grand Bay Church,-88.3819005,30.5093986
153461984,Turner,-88.3811375,31.9951493
358955412,Tabernacle Church,-88.3808563,31.8657094
358978489,Victory Grove Pentecostal Holiness Church,-88.3805820,31.9932050
358975660,Mount Zion Cemetery,-88.3805754,31.7382138
358929296,South Oak Grove Cemetery,-88.3805717,31.3737812
358905808,Barton Island,-88.3802866,30.3857550
358929299,South Oak Grove Baptist Church,-88.3800164,31.3976690
153570092,Yantley,-88.3794756,32.2459764
358908799,Luther Hall Lake,-88.3788989,30.4968639
358997093,Milstead Lookout Tower,-88.3786277,31.4118351
358914155,Hamilton Cemetery,-88.3780657,30.5110301
358923051,Palestine Church,-88.3777899,30.7821329
358970393,Cuba Elementary School,-88.3769766,32.4320839
153404684,Cuba,-88.3764211,32.4281952
358987395,Brunson Church,-88.3758650,32.3409746
358933205,Coaker Pond,-88.3750161,31.3885027
153439499,Paragon,-88.3744673,31.8762645
358975663,Zion Chapel African Methodist Episcopal Zion Church,-88.3744638,31.7276584
4269198648,,-88.3738547,32.4343065
358961382,McGowin Church,-88.3705663,30.6354706
359003613,Tanner Williams Church,-88.3702892,30.7224123
358977832,Smiths Cemetery,-88.3700220,31.8523764
153635917,Tanner Williams,-88.3700114,30.7240789
358999362,Tanner Williams Elementary School,-88.3689003,30.7243567
358974574,Laton Hill Baptist Church,-88.3686283,31.4890540
358974791,Little Bethel Baptist Church,-88.3680696,31.2610079
359003625,Trinity Church,-88.3677891,30.7235233
358962345,Wilmer Cemetery,-88.3672338,30.8304651
358915907,Holiness Tabernacle,-88.3666986,32.4398615
153793559,Rock Springs,-88.3664162,32.0784804
358926473,Rock Springs Church,-88.3661383,32.0707029
358923135,Paragon Cemetery,-88.3661338,31.8837642
358980354,Williamson Cemetery,-88.3661299,31.7148809
358953300,Four Points Baptist Church,-88.3661256,31.3021172
358977091,Rock Springs Baptist Church,-88.3658608,32.0862581
3240848045,The Country Store,-88.3657181,30.7241641
358907578,Cagus Cemetery,-88.3655872,32.4026400
153557846,Warley,-88.3655671,30.8282429
358919485,Martin Millpond,-88.3652961,31.6504383
3240848047,Dollar General,-88.3646836,30.7250328
358931852,Winsletts Cemetery,-88.3644626,31.6482161
153692151,Four Point,-88.3644588,31.3012839
5214880799,,-88.3639544,30.4889952
358955199,Bible Chapel Church,-88.3636367,31.9993158
358935115,Thomas E Huckabee Lake,-88.3633639,32.2618093
358909372,Copeland Island,-88.3630657,30.5976939
358987498,Grant's Chapel Christian Methodist Episcopal Church,-88.3628092,32.3962512
358974527,Kinterbish Junior High School,-88.3625314,32.3918069
358912273,Full Gospel Tabernacle,-88.3625197,31.7793234
5214880798,,-88.3624705,30.4896012
358962351,Wilmer Elementary School,-88.3622335,30.8237985
358984970,Zion Hill Baptist Church,-88.3614203,32.3995844
358928302,Scott Mountain,-88.3614169,32.1268126
153563779,Wilmer,-88.3614002,30.8232430
358918067,Laton Hill Cemetery,-88.3608502,31.4909982
358980386,Episcopal Cemetery,-88.3605849,32.1904221
358961706,Peaceful Valley Church,-88.3602890,30.7968547
358928409,Shady Grove Cemetery,-88.3602880,30.6365816
359000499,Wilmer Post Office,-88.3597334,30.8229652
358910125,Dees Cemetery,-88.3597331,30.7313008
358945148,Payneville School,-88.3589214,32.6204133
358977609,Scott Cemetery,-88.3580834,32.1218127
358953216,New Bethel Church,-88.3577953,31.5965508
358931689,Williams Cemetery,-88.3575108,30.7313008
153699255,Pinecrest,-88.3569531,30.4710309
358985052,Old Mount Olive Primitive Baptist Church,-88.3558655,32.5968027
358975448,Mount Moriah Baptist Church,-88.3547525,32.2715313
153630899,Brightwater,-88.3541913,31.9801497
358984962,Mary Winston Baptist Church,-88.3536439,32.7501327
153447911,Pushmataha,-88.3533623,32.1934775
358955368,Rehoboth Baptist Church,-88.3533622,32.1904221
358930211,Thornton Hill,-88.3530864,32.3509742
358955359,Pushmataha United Methodist Church,-88.3528067,32.1920886
358980390,Sardis Cemetery,-88.3525290,32.1948664
358928697,Shiloh Baptist Church,-88.3522350,31.1854546
367931194,Wilmer Volunteer Fire Department,-88.3519347,30.8221967
358922010,New Hope Church,-88.3516844,31.6671044
5165670147,,-88.3513273,30.8212765
358906817,Boney Cemetery,-88.3511438,32.7429106
358983845,Shiloh Cemetery,-88.3497349,31.1865656
153477031,Fitee,-88.3494611,31.5440522
358985966,Millville Cemetery,-88.3491770,32.5491337
358977963,Springbank Cemetery,-88.3489078,31.7798789
358910950,Emmit Wood Lake,-88.3486283,31.6198834
358996963,Beaver Creek Lookout Tower,-88.3486210,30.6638028
358919769,McElroy Cemetery,-88.3483641,32.3884735
358928439,Shady Grove Church,-88.3483588,32.0323704
358985040,Hadden Presbyterian Church,-88.3480876,32.6148578
358913255,Grand Bay Cemetery,-88.3475082,30.4629755
153420723,Payneville,-88.3466986,32.6134689
153478516,Dunbar,-88.3461286,31.6782152
358978047,Sumter Memorial Gardens,-88.3458644,32.4559722
358929628,Stringfellow Cemetery,-88.3455661,30.8551865
367931188,Seven Hills Fire Department,-88.3453122,30.6154022
153780722,Vinegar Bend,-88.3449215,31.2633925
358961017,Ford Cemetery,-88.3447327,30.8643529
