osm_id,name,x,y
6442048256,,-114.7868460,32.5037980
6442048253,,-114.7867468,32.5120954
6442048252,,-114.7867146,32.5387106
2463920292,Little Caesars,-114.7858308,32.5008673
6438848825,Iga Warehouse,-114.7857557,32.4897428
6442048260,,-114.7853588,32.4974968
359287193,Gadsden Post Office,-114.7850374,32.5580663
2892630128,,-114.7849122,32.4876301
6438848826,Pizza Hut,-114.7847606,32.4892439
150948107,Gadsden,-114.7840673,32.5580174
2531205807,Dollar Tree,-114.7837641,32.5060006
6442048265,,-114.7836770,32.4939123
6442048270,,-114.7836482,32.4915770
2892634373,,-114.7829751,32.4906810
6434865267,,-114.7828227,32.5069714
4567525246,,-114.7823961,32.4857747
2538770211,Rio Colorado Elementary School,-114.7822375,32.4973464
2532844282,Factor Warehouse,-114.7820254,32.4879997
6452358610,Chevron,-114.7819054,32.4910708
2463928517,Arco,-114.7814104,32.4918816
5025043317,,-114.7803811,32.4855749
2521487833,Beef & Beer,-114.7794167,32.4905981
2543872346,,-114.7756599,32.4923610
150933734,San Luis,-114.7737551,32.4934395
2543872369,,-114.7662024,32.4914289
6468822674,,-114.7626472,32.5014975
6468822676,,-114.7617640,32.5009308
2463969609,Super C,-114.7613597,32.4938860
6468822680,,-114.7608662,32.5036894
6468822677,,-114.7598214,32.5037030
2892640539,,-114.7596015,32.4967370
2543872485,,-114.7595559,32.4924379
6470160567,,-114.7576247,32.4868559
6470160566,,-114.7568174,32.4862609
2612842480,Del Sol,-114.7560838,32.4966253
6470012246,,-114.7553784,32.4950219
2006103283,,-114.7417278,35.9853469
359252157,Sugarloaf Mountain,-114.7370585,36.0082750
8079464917,Hoover dam,-114.7368999,36.0155537
335492988,,-114.7343891,36.0152919
3215529876,,-114.7339159,36.0160128
1183476014,Hoover Dam Lookout,-114.7321500,36.0136800
1658981513,Colorado Overlook,-114.7274872,35.9708362
2006092575,Ringbolt Hot Spring,-114.7258158,35.9605408
1658981516,Liberty Bell Arch,-114.7241446,35.9750085
359260335,Somerton Park,-114.7171342,32.5960488
3822694822,,-114.7163727,35.9776291
359243667,Burro Point,-114.7160945,36.0805353
2505032670,NAPA Auto Parts,-114.7160192,32.5964945
2477810008,,-114.7136151,32.6028133
1739920397,,-114.7126938,32.6030783
1739920255,,-114.7121493,32.5927704
2477810017,Somerton Middle School,-114.7110315,32.6048531
4518157277,Wall Lane,-114.7109188,32.6629533
359287195,Somerton Post Office,-114.7107882,32.5972736
150967494,Somerton,-114.7096770,32.5964404
2892653126,Tierra Del Sol Elementary School,-114.7086040,32.5881700
2460999498,Jack in the Box,-114.7083063,32.5962484
5228869831,,-114.7067183,32.7247805
2892653128,,-114.7060868,32.5960432
359249644,Paint Pots,-114.7024820,36.0455362
2462054048,Little Caesars,-114.7024242,32.5962469
150939211,Steam,-114.7007883,32.7278251
359248777,Monkey Rock,-114.6983111,35.8391514
2006091526,Nevada Hot Spring,-114.6955339,36.0005267
5680785307,Yuma Auxillary Airfield #4 (historical),-114.6938430,32.5161651
6462032584,,-114.6916732,32.4583611
359259125,Cibola National Wildlife Refuge,-114.6891244,33.3116995
306301788,Fortification Hill,-114.6867058,36.0522200
358760563,Imperial National Wildlife Refuge,-114.6819014,33.0742054
359245741,Fortification Hill,-114.6813702,36.0441476
359248296,Malpais Flattop Mesa,-114.6749761,35.7927636
7682440576,,-114.6736267,32.7174109
359244352,Cibola Lake,-114.6721793,33.2383681
7004608499,,-114.6696903,32.6803439
2496936009,City of Yuma Fire Station No. 6,-114.6696557,32.6700607
5526135900,Rancho Viejo Elementary School,-114.6694447,32.7090610
5526138135,Salida Del Sol Elementary School,-114.6693739,32.7106750
7173727877,WACOG Head Start Preschool,-114.6683718,32.7104242
150941020,Cibola,-114.6649570,33.3164215
4212718757,,-114.6622360,35.8680603
3406314259,,-114.6618250,35.8688410
4523643429,Avenue B & C,-114.6618177,32.7181524
3822694360,,-114.6618186,35.8742756
4523643431,Orange Grove Mobile Manor,-114.6613618,32.5990122
4212718754,,-114.6607437,35.8694618
359285738,Elephant Hill,-114.6605282,35.5797127
3423862229,,-114.6603691,35.8702544
2378337520,,-114.6592555,32.7023816
3406314256,,-114.6584768,35.8705586
3994770300,,-114.6578572,32.6848975
4755806413,,-114.6572282,32.7000238
586624840,KYUX,-114.6570000,32.4950000
4523643432,Rancho Mesa Verde,-114.6540876,32.5941764
5315596460,Walmart Neighborhood Market,-114.6525060,32.7123870
4691577439,Circle K,-114.6510679,32.6843060
359286368,KJOK-FM (Yuma),-114.6507864,32.6517162
359286372,KTTI-FM (Yuma),-114.6502310,32.7117143
4691577426,Del Taco,-114.6499222,32.6825339
4691577444,76,-114.6499007,32.6843016
2499120898,Wells Fargo,-114.6498426,32.6811432
2497548894,Chevron,-114.6495948,32.6690033
4704708900,,-114.6494826,32.6698912
359247025,Joe Henry Memorial Park,-114.6493978,32.7278249
359286365,KJOK-FM (Yuma),-114.6493977,32.7153253
359260306,Immaculate Conception Catholic School,-114.6493686,32.7163731
6206916585,Albertsons,-114.6482836,32.6851175
4599172473,,-114.6480645,32.7234127
359260312,Mohawk Peak,-114.6480083,32.5894959
2497548895,Jack in the Box,-114.6479049,32.6690055
2499120897,Walmart Supercenter,-114.6474179,32.6816308
6361693586,Tractor Supply (+ sells propane),-114.6470400,32.6683609
4599172472,,-114.6467850,32.7234962
359245610,Fire Mountain,-114.6463625,35.6830439
359249795,Pecan Grove School,-114.6460643,32.7158807
4599172471,,-114.6455503,32.7235864
2497548893,Yuma County Main Library,-114.6452571,32.6739532
7182524385,Southwestern Eye Center,-114.6452570,32.6828258
6361313290,"Mitch Freeman, M.D.",-114.6452353,32.6849229
4518083385,,-114.6443354,32.7232362
150932849,Nortons Landing,-114.6441220,33.0505948
359286361,KBLU-AM (Yuma),-114.6436792,32.7239877
2623232158,,-114.6427454,32.7013534
5315392494,,-114.6426414,32.6911386
5315252632,,-114.6416518,32.7054760
1787493876,,-114.6415856,32.4884785
5315252637,,-114.6409833,32.7063440
5315252642,,-114.6408551,32.7075620
4599172468,,-114.6406547,32.7239160
4394791291,,-114.6403604,35.0986747
4599172467,,-114.6393886,32.7240129
4599172466,,-114.6381712,32.7241009
4705951244,,-114.6380090,32.6654511
4704665704,,-114.6371857,32.6711854
4599172465,,-114.6369387,32.7242069
369087323,Old Pope Mine,-114.6369246,36.0697031
