osm_id,name,x,y
369179255,The Duke Mine,-109.0595549,38.6183191
369179247,Blue Cap Mine,-109.0589966,38.3369334
369179334,Yellow Cat Mine,-109.0562223,38.7019290
3694142769,,-109.0561739,38.7506919
369179258,Lost Dutchman Mine,-109.0559440,38.6408188
369179220,Brushy Basin Mine,-109.0559403,38.2552676
369178977,Smith Mine,-109.0553889,38.7027623
369179180,Yankee Mine,-109.0542748,38.3838776
3693223479,DP Spring,-109.0542232,38.6492555
369179074,Uranium Girl Mine,-109.0537187,38.3252670
4947387824,Moab trail,-109.0529910,38.4493943
3685738944,,-109.0518460,38.9489909
4947385239,Moab trail,-109.0508723,38.6150670
369179357,Pack Rat Mine,-109.0488589,38.6499454
3692236636,,-109.0488557,38.6717697
7768254767,Meagher 3-1H,-109.0488380,39.9846979
369163697,Brushy Basin Number 3 Mine,-109.0487179,38.2541566
369179305,Hubbard Mine,-109.0475589,38.6533991
358919021,Newton School,-109.0464971,39.7219166
369163690,Maud Mine,-109.0459408,38.3252670
4947387628,Moab trail alt,-109.0458574,38.4380926
369179259,Lumsden Mine,-109.0457667,38.6465139
369179232,Prayer Number Nine Mine,-109.0456630,38.3277670
369178039,Saint Patrick Number Seven Mine,-109.0451075,38.3413780
369178115,Soldier Boy Mine,-109.0451075,38.3422113
2344691820,Buckeye Campground,-109.0448490,38.4399910
369179228,Rattlesnake Mine,-109.0448299,38.3566557
177540485,,-109.0446480,37.2685443
369179318,Upper John Brown Mine,-109.0445546,38.6260968
369163602,Sumner Mine,-109.0437188,38.3519334
369165080,Brushy Basin Number 3 Mine,-109.0437178,38.2538788
4947387839,Moab trail alt,-109.0435831,38.4368917
369178974,Captain Jinks Mine,-109.0434442,38.7044288
369179356,Sunspot Mine,-109.0434442,38.7052622
369179362,John Brown Mine,-109.0431657,38.6269301
369179354,Gilmore Lode,-109.0426103,38.6433187
386268025,State Line Camp,-109.0424241,40.5367729
151386221,Utaline,-109.0423329,39.1269273
369179264,Mark Mine,-109.0420546,38.6269301
