osm_id,name,x,y
158348313,Cristine Manor,-75.7865644,39.6885780
158287786,Country Hills,-75.7865572,39.6795914
919296193,New Castle County Station 35-3,-75.7861108,39.6609559
1248925473,,-75.7853789,39.6654123
158363844,Palm Springs Manor,-75.7852141,39.6417784
1248963828,,-75.7848532,39.6628334
1248925626,,-75.7843596,39.6596412
157594553,Hunting Hills,-75.7843316,39.6780758
1248925373,,-75.7839895,39.6605951
158269079,Mechanicsville,-75.7835479,39.7170556
158618464,Wedge Hills,-75.7829922,39.7098335
158407022,Amaranth,-75.7829922,39.7140002
158568235,Covered Bridge Farms,-75.7829921,39.7001113
158637369,Oaktree Apartments,-75.7829917,39.6473338
157624572,Bristle Knoll,-75.7816033,39.7167780
6135518874,Mid Atlantic Ballet,-75.7812589,39.6599386
6164834762,,-75.7805991,39.7216026
7620184169,Carpenter Recreation Area,-75.7801587,39.7139263
3536635071,The Home Depot,-75.7799638,39.6691457
8025687848,,-75.7798751,39.6648285
158573534,Top of the Wedge,-75.7788254,39.7084446
5443888144,,-75.7786437,39.7153741
1514666267,,-75.7784413,39.6910124
1563246820,,-75.7783728,39.5337510
3536641859,Church of Jesus Christ of Latter Day Saints,-75.7775949,39.6473400
158546200,Barksdale Estates,-75.7774334,39.6764998
5443886573,,-75.7772381,39.7128105
3536635070,WSFS,-75.7771652,39.6658988
158570022,McClellandville,-75.7768808,39.7095557
5443886576,,-75.7760687,39.7121461
3536635068,ACME Market,-75.7758256,39.6679580
3536635069,Applebee's Neighborhood Grill & Bar,-75.7753435,39.6669764
7785542485,,-75.7746003,39.6129707
158346934,Nottingham Green,-75.7740246,39.6878119
158597428,Goose Point,-75.7738239,39.5426120
5443886564,Arc Corner Monument,-75.7737865,39.7222087
7034432786,,-75.7729706,39.6269297
5443888149,,-75.7728602,39.7193828
158568496,Cherry Hill,-75.7727138,39.6820558
157630475,Shelley Farms,-75.7721574,39.5803897
158639333,Summit View,-75.7718801,39.6473338
7050972666,Bellawood Kennels & Groom Shop,-75.7715515,39.6182055
157610590,Fairfield,-75.7704915,39.6959447
5864538321,Chestnut Hill,-75.7704509,39.6509941
1514739148,,-75.7690123,39.6870509
7620820370,,-75.7686541,39.7172005
157575631,Studio Green,-75.7684812,39.6746237
1514739142,,-75.7678352,39.6870009
158503737,Devon,-75.7677135,39.6667782
4217510404,,-75.7675899,39.7266674
2059238588,,-75.7671866,39.5826539
7620820362,,-75.7670812,39.7164457
6845576387,,-75.7664063,39.6329565
158589057,Nottingham Manor,-75.7663247,39.6848336
158272615,Frasers Corner,-75.7663238,39.5798340
2059238591,,-75.7661541,39.5831971
4987001304,Pennsylvania White Clay Creek Preserve,-75.7658383,39.7370770
7034432785,,-75.7655792,39.6281500
5327690726,Penske Truck Rental,-75.7653894,39.6752660
1514739110,,-75.7650055,39.6857432
2059238585,,-75.7649576,39.5822598
157631147,Oakland,-75.7649357,39.6806671
2059238581,,-75.7649216,39.5810724
7515363091,,-75.7646338,39.6441571
7620820357,,-75.7643964,39.7168040
5318997735,Jake's Wayback Burgers,-75.7639394,39.6764522
2059238593,,-75.7638923,39.5833158
7788274184,,-75.7634390,39.6180701
1514795402,,-75.7634342,39.6849283
7788274185,,-75.7633968,39.6132435
562253683,,-75.7630448,39.6300607
2059262484,,-75.7629438,39.5762124
2059262478,,-75.7628736,39.5736985
6284955447,Rite Aid,-75.7628558,39.6765118
2059238601,,-75.7628106,39.5838968
2639788796,,-75.7626575,39.6836822
2059238607,,-75.7625877,39.5849553
6171014500,,-75.7625711,39.6276175
1514795408,,-75.7623888,39.6850343
158572420,Fairfield Crest,-75.7621579,39.6959447
2059262481,,-75.7620186,39.5749725
6284955449,Korean Martial Arts Institute,-75.7617528,39.6765867
2059238598,,-75.7617453,39.5838413
6171014506,,-75.7617178,39.6286117
5327570670,Delaware Dance Company,-75.7614722,39.6788580
1514802681,,-75.7614334,39.6854150
2059238605,,-75.7609684,39.5844349
6284955422,Little Free Library,-75.7608806,39.6755265
1514813824,,-75.7606457,39.6848781
5318996540,South Main Street Liquors,-75.7605449,39.6794193
2059262483,,-75.7605295,39.5756896
6171014508,,-75.7600951,39.6272604
3484579135,White Clay Creek National Wild & Scenic River,-75.7596828,39.7113250
158388545,Pencader Farms,-75.7596567,39.5659451
1514813701,,-75.7596556,39.6844616
6965418014,,-75.7596166,39.5006500
2059238606,,-75.7594868,39.5847027
3484579136,White Clay Creek State Park & White Clay Creek National Wild & Scenic River,-75.7592509,39.7160087
2059262476,,-75.7591964,39.5723484
5318976753,Buffalo Wild Wings,-75.7591302,39.6806260
866704889,University of Delaware STAR Campus,-75.7589369,39.6651048
2059238596,,-75.7588542,39.5837150
763170062,Happy Harry's,-75.7587098,39.6038987
6171014509,,-75.7586064,39.6273736
6171014505,,-75.7584724,39.6288163
1569585556,,-75.7584630,39.2997853
7618083162,,-75.7583598,39.7147580
3839481633,,-75.7583297,39.5760246
2059262474,,-75.7580009,39.5719778
5318974658,Claymount Steak Shop,-75.7579709,39.6812422
451167750,Iron Hill Park,-75.7575128,39.6377597
561478889,B St.,-75.7573147,39.6701577
3863839718,David English Trailhead,-75.7571742,39.7331541
2059262482,,-75.7570056,39.5753270
158622915,Thompson,-75.7566023,39.7292781
2059262477,,-75.7564442,39.5731076
561946312,,-75.7564318,39.6385561
2059262480,,-75.7563845,39.5744877
2059249683,,-75.7559063,39.5872265
6171014503,,-75.7558507,39.6268598
5709783856,,-75.7557420,39.6371961
6876316083,,-75.7555030,39.6827841
2059262473,,-75.7554749,39.5716733
366753347,American Philosophical Assoc.,-75.7553000,39.6799000
1505867273,,-75.7552896,39.2965321
157562832,Great Good Place,-75.7552137,39.7523335
1569484809,,-75.7551847,39.3035599
2059262479,,-75.7551319,39.5742814
158599252,Cottage Mill,-75.7546572,39.6534448
7610832803,,-75.7546122,39.7055620
178651829,,-75.7544221,39.5726807
5327450978,PNC Bank,-75.7543361,39.6827577
6096028710,,-75.7542911,39.6689728
1918061220,,-75.7542314,39.4361205
2768377929,University of Delaware,-75.7540184,39.6810328
1505852466,,-75.7539351,39.2934536
157563581,Silver Brook,-75.7538238,39.6565004
157606494,Iron Hill,-75.7538236,39.6334449
6171014502,,-75.7537339,39.6270167
2059249692,,-75.7536012,39.5884101
178720623,,-75.7534670,39.6720530
2059249682,,-75.7533569,39.5860849
158561320,Pearson Grove,-75.7532659,39.2290000
178651828,,-75.7531484,39.5728719
5432596418,,-75.7530956,39.6824238
6725453199,Enterprise CarShare,-75.7526868,39.6773231
6833127000,Winifred J. Robinson,-75.7522673,39.6765077
5432598211,,-75.7522534,39.6829520
6831809786,,-75.7522491,39.6756952
6268947278,Ivy Hall Gym,-75.7522418,39.6707293
5432598286,,-75.7522093,39.6819545
5864538320,Iron Hill,-75.7518594,39.6387254
7530575576,,-75.7516913,39.6550600
8171109534,,-75.7516500,39.6113193
1569220656,,-75.7514783,39.3001560
5319018179,Rainbow Records,-75.7513137,39.6834149
5258689957,,-75.7512383,39.6822716
158617363,Newark,-75.7508289,39.6852191
3874769057,Allison Hall,-75.7507968,39.6784241
7314521243,The Reserve at Forest Gate,-75.7505819,39.6282207
564394930,,-75.7503930,39.6579385
5322788673,Gloss Blow Dry Beauty Bar,-75.7502891,39.6831768
157555706,Four Seasons Park,-75.7499345,39.6223338
489050064,,-75.7497338,39.6511215
7314521244,Spring Crossings Apartments,-75.7495639,39.6277175
2091346361,Starbucks,-75.7493875,39.6004812
5318901344,,-75.7491998,39.6834972
6725453200,Enterprise CarShare,-75.7491668,39.6796720
158377397,Lamatan II,-75.7491026,39.7626112
158239515,Melody Meadows,-75.7491007,39.5903894
158314484,Pencader Village,-75.7488234,39.6312226
1505859264,,-75.7484098,39.2950810
5319098226,Delaware Running Co.,-75.7480560,39.6833390
3358237808,Timothy's,-75.7480074,39.6893261
3760929058,La Piazza Di Caruso,-75.7478152,39.6019665
5314000451,Large Bark Park,-75.7477895,39.4282295
6479138221,Starbucks,-75.7477595,39.6041492
5322771611,Simon Eye Associates,-75.7472494,39.6826917
158619308,Delaney Corner,-75.7471548,39.2992777
6897214432,,-75.7471009,39.2296687
6479138220,Domino's,-75.7470809,39.6051950
5322764012,Main Street Barber Shop,-75.7470030,39.6836274
158430698,Robscott Manor,-75.7468790,39.6570559
2091368494,Glasgow Imaging,-75.7467848,39.6009754
1505859274,,-75.7467388,39.2980452
6504521949,Anytime Fitness,-75.7464203,39.6274022
5322755369,Ameriprise Financial,-75.7460639,39.6823595
