osm_id,name,x,y
3086879551,,-77.1182935,38.9318467
938846891,,-77.1140239,38.9382274
367144241,Grand Oaks Assisted Living Facility,-77.1111910,38.9362060
49791255,,-77.1111194,38.9374244
1045545211,,-77.1100235,38.9361986
3299878456,,-77.1088019,38.9361441
1045539664,,-77.1085901,38.9369511
3299878571,,-77.1074774,38.9368233
358958813,Dalecarlia Reservoir Grounds,-77.1066451,38.9417776
750432426,Mimi's Convenience Store,-77.1064431,38.9298991
358959271,Saint Davids Episcopal Church,-77.1060896,38.9323333
750762364,Citibank,-77.1041641,38.9269909
5207088239,,-77.1040952,38.9389325
2377138684,,-77.1039790,38.9248819
6438891338,Glass Forest,-77.1036692,38.9239641
358960091,Dalecarlia Parkway,-77.1035895,38.9431665
938851595,,-77.1028484,38.9252070
750432418,Mac Market & Deli,-77.1027295,38.9267358
938827433,,-77.1022108,38.9239328
479662935,Fletcher's Cove,-77.1020825,38.9185711
750432396,Salt & Pepper,-77.1017759,38.9256181
7906739682,,-77.1016890,38.9194018
358961639,Barbaras Montessori School,-77.1013000,38.9276000
4723906134,Garden Club of America Entrance Marker,-77.1008435,38.9492128
358958713,Key Elementary School,-77.1006300,38.9268600
938848176,,-77.1003585,38.9293392
6343647408,,-77.1002979,38.9199152
367144591,Discovery Creek Children's Museum,-77.0988672,38.9215002
158379347,Spring Valley,-77.0988672,38.9395553
358957970,Conduit Road Schoolhouse,-77.0986100,38.9183300
367141427,Whitehaven,-77.0986000,38.9166000
1064252313,,-77.0979090,38.9175742
358961181,Spring Valley Regional Outpatient Center,-77.0976469,38.9459803
1064254577,,-77.0975566,38.9158071
8165548137,Palisades Library,-77.0971818,38.9183901
358957526,Fishing Shore,-77.0969227,38.9112225
750432391,MacArthur Beverages Wine & Spirits,-77.0965588,38.9176873
1045546094,,-77.0965511,38.9451623
750432405,Little China Cafe,-77.0965487,38.9168585
841433566,Spring Valley Exxon,-77.0964697,38.9460408
1045544044,,-77.0964475,38.9404859
1045540064,,-77.0960167,38.9371246
5197081267,Starbucks,-77.0956618,38.9446616
358955251,Palisades Park,-77.0955338,38.9259445
1045537519,,-77.0955106,38.9436361
367142907,MacArthur Theater,-77.0955001,38.9167001
808015972,,-77.0954848,38.9457283
1064254601,,-77.0952574,38.9155637
808010362,,-77.0946631,38.9464766
358960089,W street Playground,-77.0935893,38.9195557
4727225893,Northwest No. 6 Boundary Marker of the Original District of Columbia,-77.0935526,38.9549297
1045547113,,-77.0928930,38.9415147
358961412,Lab School of Washington,-77.0925000,38.9155000
157623373,Foxhall Crescent,-77.0922004,38.9231668
358960137,WGMS-FM (Washington),-77.0920599,38.9362035
367143560,West Residence Hall,-77.0919444,38.9175000
358960495,Florence Hollis Hand Chapel,-77.0919444,38.9188889
2385340548,,-77.0918659,38.9547938
816397765,,-77.0915401,38.9135186
1045542455,,-77.0914394,38.9414568
358961922,Spring Valley Montessori Academy,-77.0913000,38.9423000
1045543628,,-77.0912250,38.9396796
2415313411,,-77.0909606,38.9378809
457299805,,-77.0908873,38.9354088
5012799317,,-77.0905019,38.9361860
367144274,Lloyd Gymnasium,-77.0902778,38.9166667
367141011,Acheson Science Center,-77.0902778,38.9177778
367143455,Hilleary Burrows House,-77.0902000,38.9555000
157633177,American University Park,-77.0899781,38.9514996
2094304667,,-77.0899263,38.9391511
5007968226,,-77.0898717,38.9371449
49751256,,-77.0894310,38.9260380
461874142,,-77.0894097,38.9358255
49740742,,-77.0893470,38.9251460
816412008,,-77.0888624,38.9108637
5007798847,,-77.0887757,38.9389402
829535866,,-77.0887080,38.9583548
1064254749,,-77.0884379,38.9337684
4957641409,,-77.0884318,38.9153071
358960508,The Field School,-77.0883957,38.9207260
5012795996,,-77.0883648,38.9355427
3234914204,Friendship Recreation Center,-77.0882988,38.9426422
816405042,,-77.0882597,38.9079646
5354942421,,-77.0882052,38.9183740
157591605,Wesley Heights,-77.0880336,38.9312222
2444588206,,-77.0878984,38.9175570
49740727,,-77.0878010,38.9248530
5007988805,,-77.0877313,38.9366797
750432421,Palisades Deli & Market,-77.0875351,38.9090713
5007792025,,-77.0875244,38.9381876
5005510994,,-77.0873791,38.9392780
1783931366,,-77.0869983,38.9341638
49740704,,-77.0868910,38.9243930
5187823052,P.O.D. Market,-77.0868176,38.9362087
2444588195,,-77.0868069,38.9176885
807998718,,-77.0867724,38.9472496
6262785333,Design & Build Lab,-77.0866583,38.9352614
2444588181,,-77.0865619,38.9190092
457296753,American University Museum at the Katzen,-77.0863656,38.9387795
4957641436,,-77.0863167,38.9136565
49897338,,-77.0862490,38.9250600
1260401857,Parking Garage,-77.0860808,38.9599960
49812209,,-77.0860180,38.9112570
1064255946,,-77.0860028,38.9344345
358961092,Artemas Ward Statue,-77.0859033,38.9378992
2444588188,,-77.0858264,38.9179939
367144169,Dunblane Building,-77.0858113,38.9501108
4719780820,Garden Club of America Entrance Markers at Wisconsin Avenue,-77.0857180,38.9610306
7661327160,Capital Bikeshare,-77.0856464,38.9097009
5321233445,Starbucks,-77.0856124,38.9335967
49732916,,-77.0854320,38.9126700
49775416,,-77.0854130,38.9141840
808030003,,-77.0853720,38.9588275
807952189,,-77.0852347,38.9552069
736998229,The Cheesecake Factory,-77.0850130,38.9599761
1065887285,,-77.0849560,38.9384556
750421365,Chef Geoff's,-77.0848501,38.9329973
49775399,,-77.0844950,38.9146190
809010848,,-77.0844865,38.9613181
49812082,,-77.0844590,38.9135010
158388501,Foxhall Village,-77.0844224,38.9117781
1064256287,,-77.0843683,38.9320569
