osm_id,name,x,y
358699355,Pleasant Hill Church,-81.4656666,32.2568668
358774990,Stafford Cemetery,-81.4656645,30.8112208
368995451,Marshes of Glynn,-81.4653773,31.1471753
1068394002,Plum Orchard,-81.4652757,30.8561266
358786839,Greer Elementary School,-81.4648803,31.2780325
358772607,Midway Church,-81.4645539,31.8010464
153930906,Country Club Estates,-81.4642671,31.2127297
7830656419,Sea Camp Campground,-81.4641400,30.7634194
2540715411,,-81.4632473,31.2661098
358772555,First African Church,-81.4631641,31.7471594
358682584,Champney Island,-81.4631578,31.3421705
358680915,Bird Cemetery,-81.4628897,32.1360364
358698066,Petersville Cemetery,-81.4626018,31.3071716
2413820639,,-81.4623632,30.7641624
358772561,First Zion Church,-81.4620529,31.7479928
153927705,Riverside,-81.4620442,31.1752304
358702523,Saint Peters Church,-81.4612177,32.6012859
358683966,Daniel Grove Church,-81.4609376,31.4968881
154337164,Olney,-81.4606666,32.2554779
368995929,Youngs Swamp,-81.4603826,31.5304983
368994727,Big Mortar Swamp,-81.4598290,31.6502175
5492098147,Weather Station,-81.4596453,30.8078485
358772625,New Zion Church,-81.4595528,31.7463262
153904204,Lecount,-81.4587184,31.6799390
367912707,Brunswick Christian Academy,-81.4583000,31.2288000
368994708,Big Bay,-81.4581647,32.3663021
154058054,Belle Point Estates,-81.4562114,31.2224518
358688757,Jekyll Island State Park Authority,-81.4562093,31.0832878
4994957721,Coastal Pines Technical College,-81.4561427,31.2554704
153925297,Kildare,-81.4553845,32.5343451
368996723,Duck Lake,-81.4542772,32.2915860
368995459,McCall Pond,-81.4542612,30.8638466
358770876,Rhetts Island,-81.4539911,31.3668922
368994967,Chisholm Swamp,-81.4537143,31.4421675
2747321977,,-81.4533666,31.2556899
358787007,Midway Middle School,-81.4526831,31.8048368
358685019,Eldora Church,-81.4523336,32.2382564
358699836,Potosi Island,-81.4523245,31.3816139
2665116524,Wendy's Hamburgers,-81.4522017,31.3981273
4858738996,Water (Non-potable),-81.4519711,30.8056424
358786871,Liberty Elementary School,-81.4517043,31.8080090
368995595,Pine Hill Swamp,-81.4509374,31.5146654
358688118,Horsepen Island,-81.4506617,31.6318847
2665125515,Ruby Tuesday,-81.4506143,31.3971744
4416310080,Emery Hardware and General Store,-81.4505614,31.2378968
4858719458,Hickory Hill,-81.4504962,30.8327013
2792093399,,-81.4504445,31.3987804
2706742255,Wildlife Critters Circle of Life Rehabilitation Center,-81.4502764,32.2327348
358681050,Blue Springs Church,-81.4498285,32.6282291
2792093389,,-81.4496837,31.3981786
4427993594,Motel 6,-81.4495099,31.5331096
4427963194,,-81.4490163,31.5345691
358685000,Egypt Church,-81.4489965,32.4571281
358685837,Friendship Tabernacle,-81.4487176,32.5818427
358709758,Youngs Island,-81.4487163,31.5827193
4782125633,Truck Weight Station,-81.4486357,31.4775759
1361659905,,-81.4484485,31.3367238
358772086,Ebenezer Cemetery,-81.4484370,31.4938326
154061100,Windward Acres,-81.4484336,31.2418960
2665300706,Mike Murphy Ford,-81.4484264,31.3930309
4858758923,Yankee Paradise,-81.4480901,30.8500338
4427963292,,-81.4479992,31.5346826
368995561,Moon Change Swamp,-81.4476059,32.7221131
358772228,Young Island Church,-81.4476052,31.5816082
4427963294,,-81.4471706,31.5325199
358772044,Church of God,-81.4470488,31.5391093
367915794,R and M Water and Sewer Water Pollution Control Plant,-81.4470000,31.5367000
7084048209,Jekyll Island Guest Information Center,-81.4469128,31.0592461
4858758922,Water (Non-potable),-81.4468233,30.8425712
4427963293,,-81.4467970,31.5335313
358772541,Calvary Church,-81.4467749,31.7618814
368995372,Johnson Pond,-81.4467609,30.8607912
358709745,Youngs Cemetery,-81.4464940,31.5821637
1068377154,wharf ruins,-81.4464680,30.9295468
4782122743,Truck Weight Station,-81.4460497,31.4780543
358772568,Gods Divine Healing Temple,-81.4453866,31.7902137
358760429,Newton Cemetery,-81.4451094,32.3576918
358774937,High Bluff,-81.4448176,30.9299569
358681372,Brickhill Bluff,-81.4448171,30.8974573
358770255,Eulonia School,-81.4439925,31.5013324
153940902,New Hope,-81.4439897,31.2874502
358702130,Saint Marks Church,-81.4434364,31.4663335
4782122744,BP,-81.4431168,31.5316375
358706076,Thomas Chapel,-81.4423293,32.4801819
367915772,Darien Water Pollution Control Plant,-81.4423000,31.3976000
358706797,Tusculum Church,-81.4406640,32.4068545
358695022,Needwood Church,-81.4406560,31.2818949
358681003,Blitch Cemetery,-81.4403896,32.1979794
358783724,Cumberland Cemetery,-81.4403730,30.9266237
358788535,Lighthouse Baptist Church,-81.4399906,31.2572819
358772079,Davis Cemetery,-81.4395502,31.6327181
358760903,Liberty Church,-81.4387229,32.2010348
358707005,Union Church,-81.4384361,31.4641114
358772552,Faith Mission Church,-81.4381640,31.7843807
154029947,Blitchton,-81.4378896,32.1971460
368995523,Oscar Swamp,-81.4376050,31.5932747
1361659898,Skippers' Oyster Bar,-81.4373207,31.3684321
358775133,Memory Gardens,-81.4368560,31.2729575
358692447,Miles Branch Church,-81.4365007,32.1910350
6195404456,,-81.4363128,31.2668679
368996720,Blue Lake,-81.4362227,32.2507559
368995334,King Swamp,-81.4362140,31.4763332
358772110,First Presbyterian Church,-81.4362126,31.3718921
6063751757,Waterfront Wine,-81.4362108,31.3687448
358707409,Upper Mill Cemetery,-81.4359349,31.3813362
358772198,Todd Grant Elementary School,-81.4352862,31.3791048
7913725563,Turnip Greems,-81.4352803,31.3690811
7913710933,Spartina Grill,-81.4350875,31.3682487
1068366374,Burbank Point,-81.4350311,30.9322847
358703853,Shorter Chapel,-81.4348256,31.5152210
358783737,First African Baptist Church,-81.4346877,30.9237900
358772073,Darien Post Office,-81.4343736,31.3717920
358772186,Saint Johns Baptist Church,-81.4342681,31.3735587
1361659900,B&J's Steaks and Seafood,-81.4342013,31.3750894
367912993,McIntosh County Courthouse,-81.4341598,31.3692041
367914189,Ida Hilton Free Library,-81.4340212,31.3787087
154077894,Darien,-81.4339903,31.3702255
6195411997,The Wanderer Memorial,-81.4337010,31.0215159
6195435284,,-81.4334486,31.0156654
153976076,Riceboro,-81.4334408,31.7354935
154133259,Ardick,-81.4334359,31.4613337
358772107,First Methodist Church,-81.4331569,31.3691145
358772098,First African Baptist Church,-81.4328792,31.3713366
358706715,Turkey Branch Church,-81.4326075,32.4593504
358772176,Saint Andrews Episcopal Church,-81.4326013,31.3677256
358772219,Vernon Square-Columbus Square Historic District,-81.4323235,31.3696699
358772179,Saint Cyprians Church,-81.4320457,31.3666145
358772603,Midway Cemetery,-81.4314977,31.8060466
153906215,Brier Creek Landing,-81.4314947,32.7821103
358772124,Holy Church,-81.4312128,31.4013356
358772056,Columbus Square,-81.4312124,31.3710588
358772146,McIntosh County Academy,-81.4311174,31.4404167
154192531,Tusculum,-81.4306643,32.3929668
358772609,Midway Historic District,-81.4306642,31.8052134
358700215,Raccoon Keys,-81.4303893,32.2618660
358772619,Midway Congregational Church,-81.4303865,31.8060466
154321802,Marshes-of-Mackay,-81.4303779,31.2749508
358787927,Fleming Post Office,-81.4303000,31.8764000
358772163,Oglethorpe Square,-81.4301012,31.3680034
358772077,Darien Public School,-81.4301012,31.3688367
358686784,Halfmoon Bluff,-81.4298059,30.9240966
358760848,Blitchon Church,-81.4295563,32.1938127
358704841,Spring Lake,-81.4289945,32.7232244
154127841,Ardmore,-81.4287179,32.4951810
358772160,Oglethorpe Academy,-81.4284348,31.3938359
358685105,Eneck Cemetery,-81.4281617,32.6012863
358680953,Black Island,-81.4281609,31.6360514
358774941,High Point-Halfmoon Bluff Historic District,-81.4275946,30.9185683
358787943,Jekyll Island 4-H Camp,-81.4274000,31.0173000
153887885,Eulonia,-81.4270478,31.5332762
153842963,Darien Heights,-81.4267678,31.3755032
368995720,Sweetwater Lake,-81.4267602,30.8591247
4142834330,,-81.4267430,31.0727428
4455896696,,-81.4265679,31.9334891
358729361,Gartrell Lake,-81.4265010,32.1185367
154137837,Fleming,-81.4264990,31.8807663
154341986,Bel-Air,-81.4262122,31.3724477
358705189,Stockwell Bluff,-81.4259278,30.9171795
4455896718,,-81.4257830,31.9396591
358697248,Old Providence Cemetery,-81.4253878,32.3363045
358775088,Faith Chapel,-81.4253748,31.0757883
153970230,Fairview,-81.4245455,31.3771698
358693886,Mount Olivet Church,-81.4242769,31.8899326
358697607,Pando Cemetery,-81.4242735,31.7210494
6195435992,,-81.4242727,31.0380845
358786919,Pine Street Christian School,-81.4240945,31.3729024
358701826,Saint James Church,-81.4237206,31.8532673
153983600,High Point,-81.4225044,30.9152995
358681897,Butler Cemetery,-81.4217675,31.3718923
6198595540,Coastal Expeditions Charter Fishing and Dolphin Tours,-81.4215493,31.0467513
153972952,Blue Springs,-81.4214948,32.6332292
368995072,Eneck Bay,-81.4212172,32.6043419
358786805,Cornerstone Christian School,-81.4211453,31.5706727
367915754,Jekyll Island Water Pollution Control Plant,-81.4210000,31.0438000
358682941,Clay Lake,-81.4209387,32.7390569
358685031,Elkins Cemetery,-81.4206662,32.3035293
358772224,Whispering Pines Cemetery,-81.4206567,31.3943915
6198590445,Larry's Giant Subs,-81.4205604,31.0375522
358689908,Lanier Island,-81.4200982,31.1699532
358772028,Andrews Cemetery,-81.4195485,31.5843862
358685674,Free Branch School,-81.4192759,31.8477120
358702917,Sandy Wash Lake,-81.4184388,32.7154471
358787952,Midway Post Office,-81.4183000,31.8025000
1264458321,,-81.4179729,31.0575845
358700259,Ralph Lake,-81.4178834,32.6921149
358698209,Pico Island,-81.4176006,31.3599482
6198539780,jekyll island fishing center,-81.4174927,31.1166778
1369461289,Fort King George Historical Site Visitor Center,-81.4164703,31.3647122
6195435987,Tesla Supercharger,-81.4164407,31.0333110
358706281,Tiger Leap Bluff,-81.4162170,32.6246185
358775082,DuBignon Cemetery,-81.4159303,31.1018990
358696161,Nixon Chapel,-81.4153844,32.5071248
1262894016,Flash Foods,-81.4148822,31.0480836
1369461295,Fort King George Historic Site,-81.4146732,31.3637732
6198549031,clam creek picnic area,-81.4146110,31.1127905
5402802722,The Horton House,-81.4144388,31.1021806
358688452,Indian Cemetery,-81.4142672,31.3699479
