osm_id,name,x,y
358651418,Indian Head Mountain,-117.1507290,44.2754401
358654295,Big Hill,-117.0901752,44.5746066
358650852,Eaton School,-117.0840599,44.2773852
358662229,McChord Butte,-117.0810082,44.5376626
4346322095,,-117.0598037,46.3591670
4346363792,,-117.0597072,46.3566436
358660631,Hells Gate State Recreation Area,-117.0548789,46.3496044
358650310,Central School,-117.0540588,44.2821078
358651218,Haas School,-117.0510572,44.2523353
358652570,Rocky Point,-117.0440589,44.3090523
358651572,Kelly Mountain,-117.0426711,44.3668299
5702949512,,-117.0424048,47.6795972
4414275165,,-117.0423959,47.6972277
5702949507,,-117.0420293,47.6849134
6208657801,,-117.0416871,48.1078445
356542206,McGowan Butte,-117.0415790,47.5060122
5702949516,,-117.0409135,47.6881454
5417352561,Old american Kampground,-117.0408576,48.1874616
5702634879,,-117.0407641,47.6771361
3003764295,,-117.0403960,46.3733947
150932152,Willard,-117.0402897,47.2401767
358658220,Rat Island,-117.0399250,48.1987949
5884520025,AmeriMart,-117.0399119,47.7034139
356539600,McGowan Butte,-117.0393562,47.4982345
366079432,Appaloosa Horse Club and Museum,-117.0390999,46.7330677
3056438660,Stateline Tavern & Cocktails,-117.0390876,48.1836987
358665717,Shiloh Schools,-117.0390459,46.3854387
358656767,Kelly Island,-117.0388138,48.1932392
1806513107,,-117.0385088,46.3905082
3056438651,Oldtown Family Foods,-117.0383124,48.1850006
150949963,Oldtown,-117.0379802,48.1787944
3056438654,,-117.0376622,48.1842081
3466603054,,-117.0375711,46.7326863
150980268,Stateline,-117.0374218,47.7043448
358662493,Round Mountain,-117.0368282,47.5773477
2870545993,,-117.0365034,47.6966645
7170715229,Moscow Family Medicine Westside,-117.0363179,46.7360344
1806513104,,-117.0358116,46.3915693
358661529,Chinamans Hat,-117.0351730,44.5432181
358667769,Idaho Hill Elementary School,-117.0349245,48.1799056
4959517162,Purcell Trench,-117.0334268,47.7392638
130666536,,-117.0325201,46.4206120
130802138,,-117.0317162,46.4213883
1802394110,,-117.0312976,46.4597396
7457682127,,-117.0311505,47.5783260
6401654837,,-117.0306648,47.7035795
6371416615,Ross,-117.0299921,46.7344122
4245683641,Nez Perce County Historical Society,-117.0290059,46.4228554
358659006,Stone Johnny,-117.0288144,48.2640746
1997553216,Monument 195,-117.0287711,48.9992136
150940177,Hauser,-117.0287247,47.7722341
358656616,Iron Mountain,-117.0285060,44.5504404
6483644328,Panda Express,-117.0284693,47.7027528
6371403973,Bed Bath & Beyond,-117.0284578,46.7344658
358657506,Monroe Butte,-117.0282283,44.5204407
6371400883,Panda Express,-117.0281984,46.7331710
4414035008,,-117.0278551,42.3265004
358666676,Northwest Childrens Home Education Center,-117.0276568,46.3976613
368978040,Mortimer Mine,-117.0271171,44.5432182
2823713695,the Idaho State Line,-117.0266970,43.2507213
35023407,,-117.0266501,43.3352973
2622866902,,-117.0261454,46.4192445
130828659,,-117.0257787,46.4246465
3466603039,,-117.0256329,46.7324011
358667109,Pend Oreille Valley Seventh-Day Adventist School,-117.0254787,48.1129597
5067610809,WinCo Foods,-117.0254342,46.7344703
1614937399,,-117.0249677,46.3802170
358657008,Little Grass Mountain,-117.0249508,48.7599223
6371446878,Seasons Public House,-117.0237030,46.7335752
357286245,Pole Creek Top,-117.0232008,43.3676554
358668013,House of the Lord Christian Academy,-117.0229791,48.1646277
358659920,Hauser Lake School,-117.0229787,47.7676784
358651172,Graveyard Point,-117.0226524,43.5712683
2619594338,U.S. Bank,-117.0226439,46.4202024
6546726439,Maverik,-117.0223197,47.7018214
358651281,Haystack,-117.0218368,44.3668301
150935176,Lewiston,-117.0216144,46.4195913
3356402844,,-117.0214486,46.7263420
4877330603,,-117.0214000,46.4157705
358652432,Randall Butte,-117.0212782,46.8732238
3466603057,,-117.0210770,46.7327814
7465183348,,-117.0203655,47.6171134
4084960419,Econo Lodge Lewiston,-117.0198366,46.4194157
358668719,KRPL-AM (Moscow),-117.0193328,46.7462763
358660476,Cavieta Hill,-117.0187435,42.3479391
5439995176,Atlas Launch Facility 567-3,-117.0183912,47.4366315
585367347,Chrisman Hill Pit,-117.0180000,43.2680000
4449952250,,-117.0176830,46.4603694
4084960418,Pioneer Motel,-117.0175074,46.4189994
5684528953,,-117.0169802,47.6887852
3466603064,,-117.0164801,46.7330018
4449951847,C. C. Van Arsdol,-117.0163560,46.4601694
4468902485,Lewiston Fire Department Station 1,-117.0160621,46.4169743
4418123048,Greyhound Park & Event Center,-117.0152080,47.6997790
7465183368,,-117.0141965,47.6117490
4084960417,GuestHouse Inn & Suites Lewiston,-117.0139087,46.4184132
366079363,Chrisman Hall,-117.0127843,46.7278687
2622799705,,-117.0127142,46.3865965
358653164,Tola Point,-117.0116005,48.4968595
3444779598,,-117.0113332,46.7243612
358666179,Palmer Butte,-117.0104469,47.0651731
4476021897,Lewiston Fire Department Station 4,-117.0093394,46.3767280
7154100903,,-117.0092319,46.7343100
7827961800,Furniture Center,-117.0089978,46.7333234
5067554333,,-117.0089543,46.7218946
358666609,Jenifer Junior High School,-117.0084896,46.4079395
4449952251,,-117.0083617,46.4616337
150939035,Setters,-117.0082420,47.4679573
358651227,Hale School,-117.0082234,44.2671083
4084960416,Cedars Inn Lewiston,-117.0075248,46.4175126
4531982460,Oriental Gifts & Food,-117.0067954,47.7065091
7153926275,,-117.0067667,47.7010054
5125496664,Vandal Store,-117.0065939,46.7284224
4439600383,Pizza Perfection,-117.0063878,46.7326654
5150321036,GNC,-117.0063449,46.3997163
5215058041,,-117.0062260,46.7297811
358650180,Cable Peak,-117.0059053,47.5988549
150968977,Pleasant View,-117.0056927,47.6893552
5150321034,JCPenney,-117.0053471,46.3991873
4733124750,Cable One,-117.0053300,46.3967266
358666819,Whitman Elementary School,-117.0050885,46.4110022
358651683,Liberty Butte,-117.0043386,47.1660088
358666700,Pleasant Valley Elementary - Junior High School,-117.0043017,42.8990446
5218804717,Domino's,-117.0043000,46.7299216
6917209083,NRS,-117.0042349,46.7151354
358668765,KUOI-FM (Moscow),-117.0040540,46.7284985
150950201,North Lewiston,-117.0040455,46.4246065
4531982458,Riverbend Inn,-117.0037967,47.7073610
5077669023,Latah County DMV,-117.0037015,46.7328715
4449952107,,-117.0034583,46.4173852
4548627792,Carl's Jr.,-117.0033404,47.7112707
5205125271,Rosauers,-117.0032573,46.7380739
5910885659,Lead to Platinum Barbell Club,-117.0031138,46.4129573
1814477609,Zany Graze,-117.0030882,46.4005869
358657040,Little Snowy Top,-117.0030167,48.9735418
5205166337,Jimmy John's,-117.0029622,46.7302334
4469222991,Exxon,-117.0027372,47.7126092
4084960414,Inn America Lewiston,-117.0026937,46.4138591
4531982456,The Cabin Restaurant,-117.0023993,47.7061490
2494027617,Nectar,-117.0018052,46.7299345
5205125193,Dutch Bros. Coffee,-117.0017660,46.7368809
4285005890,Latah Community Health,-117.0017330,46.7284923
3462500506,,-117.0017155,46.7411805
2494070883,Bucer's Coffee House Pub,-117.0017006,46.7330098
5205166336,U.S. Bank,-117.0016801,46.7321692
2494070860,La Casa Lopez,-117.0016308,46.7311898
358651017,Ford School,-117.0015163,47.4928577
4084960413,Comfort Inn,-117.0014859,46.4128054
6312142015,Rickman Saddlery,-117.0013983,47.7112795
4467201644,Moscow Volunteer Fire Department Station 3,-117.0011299,46.7468834
6926346933,,-117.0009258,46.4035177
6926346935,,-117.0008185,46.4047459
3396204793,Zip's Drive In,-117.0008160,47.7082510
5061266831,Walgreens,-117.0006672,46.7378852
4084960415,Red Lion Hotel Lewiston,-117.0005000,46.4142754
5067547550,MosCoWork,-117.0004830,46.7324844
358667822,Beacon School,-117.0004333,46.3921060
