osm_id,name,x,y
354156132,White Island,-91.5087664,40.1678232
354152007,Tully Island,-91.5070997,40.1811565
151957157,Meyer,-91.5034884,40.1478233
354106528,Hardy Bar Island,-91.5029331,40.2092121
354096676,Brownsville Island,-91.5015440,40.1756011
354111379,Huff Island,-91.4995996,40.2169898
354094918,Blue Goose Island,-91.4987662,40.2014343
354131108,Polly Island,-91.4982106,40.1856011
354098039,Buzzard Island,-91.4970996,40.2394898
354121515,Mud Island,-91.4968217,40.1961566
354102211,Dillon Island,-91.4940434,40.1094901
354111521,Hunt Island,-91.4934882,40.2242121
354169572,Island Number 419,-91.4915432,40.0731013
354184939,Chatton Island,-91.4890432,40.1194900
354116350,La Grange Island,-91.4887651,40.0422680
354184790,Barns Island,-91.4876543,40.1103235
354157243,Taylor Island,-91.4854326,40.2681008
354184677,Bear Creek Public Use Area,-91.4818207,40.1139346
354108739,Hackley Island,-91.4798769,40.2881006
354120048,Long Island,-91.4757091,40.0539347
354140790,Shandrew Island,-91.4748758,40.0706014
354111715,Kamps-Stiens Island,-91.4740435,40.3050448
354159093,Willow Island,-91.4673752,39.9978238
354110970,Hogback Island,-91.4626528,39.9914348
354103680,Flannigan Island,-91.4615418,40.0439348
354157216,Teal Island,-91.4615416,39.9967127
354122968,Mark Twain Wildlife Refuge,-91.4604305,39.9986571
354102051,Deadman Island,-91.4557081,39.9881016
354185034,Libby Island,-91.4554303,40.0197681
354098410,Canton Chute Public Use Area,-91.4504300,39.9858793
7706376552,,-91.4414567,39.9880045
354154799,Ward Island,-91.4393184,39.8772680
354232073,Warsaw Historic District,-91.4357090,40.3597665
354130204,Rockford School,-91.4357086,40.3103226
151891762,Warsaw,-91.4345978,40.3592110
354167084,WTAD-AM (Quincy),-91.4237424,39.8914160
354135121,Quinsippi Island,-91.4218177,39.9419903
354251419,Mississippi River Sand Hills Nature Preserve,-91.4190417,40.3672665
354139109,Sid Simpson State Park,-91.4179287,39.9567127
354101254,Crenshaw Cemetery,-91.4173738,40.2306011
354166074,Little Rocky Run Lake,-91.4168186,40.2733786
354165938,Rocky Run Lake,-91.4168185,40.2683786
6481172203,,-91.4155680,39.9548766
354165929,Jennifer Creek Reservoir,-91.4151516,40.2483788
2799653092,Chicks on the River,-91.4147898,39.9343879
2799653093,Native Grill and Wings,-91.4147613,39.9331104
3345167595,,-91.4143555,39.9427421
354121519,Mud Island,-91.4137638,40.3755999
369059872,Lima Quarry,-91.4129290,40.1583790
4618080446,Microtel Inn & Suites by Wyndham Quincy,-91.4127916,39.9301337
4618080450,Budget Host Inn Quincy,-91.4125019,39.9313652
2799653094,Tiramisu,-91.4120813,39.9330687
7706376544,,-91.4119135,39.9880323
368074602,Gardner Museum of Architecture and Design,-91.4103458,39.9317531
6764524432,Revelry,-91.4102500,39.9327450
354224080,Shalom Fellowship Church,-91.4101505,39.9419904
151353039,Quincy,-91.4098727,39.9356016
6070095073,Royalty Electric,-91.4095674,39.9302629
6072236440,Lincoln-Douglas Debate Memorial,-91.4088024,39.9326029
5748576373,Hometown Bar & Grill,-91.4085991,39.9383637
5748583696,Sandbar,-91.4084892,39.9455804
