osm_id,name,x,y
358659105,Mackeys Island,-88.0508654,37.8208782
358655211,Greathouse Island,-88.0461433,37.9214343
358647980,Aldrich Mound,-88.0344767,38.0458792
153719172,Oak Grove,-88.0216977,37.8361559
358669024,Thompson Mound,-88.0130869,38.0358792
358665225,Rowe Cemetery,-88.0094750,37.8408781
358669499,Twin Sister Island Number Two,-88.0069756,38.0494903
358649475,Black School,-88.0030860,37.8536559
153574385,Welborn Switch,-88.0003084,38.0069901
358659651,McFadden Cemetery,-87.9936418,38.0428236
358649816,Brewery Hill,-87.9841967,37.9889343
153493924,Prairie,-87.9819741,37.9214339
358650667,Camp Pahoka,-87.9811415,38.0517124
358653836,Farmers Chapel,-87.9811405,37.8189333
7882666983,,-87.9793697,38.2186967
358649284,Bethesda Church,-87.9786411,38.0164344
153758459,Savah,-87.9786411,38.0178233
358673895,Pahoka Camp Lake,-87.9783636,38.0517124
7882667004,,-87.9781895,38.2309643
7882667005,,-87.9778655,38.2327712
358670135,Weiss Cemetery,-87.9778073,37.8922670
7882666999,,-87.9768001,38.2314875
7882667014,,-87.9767245,38.2328491
358657844,Kingdom Island,-87.9744765,38.2453245
7099962343,,-87.9736066,38.2188436
7882667006,,-87.9730879,38.2321229
358654389,French Cemetery,-87.9725299,38.0322677
358648025,Alldredge Cemetery,-87.9714185,37.9914341
7099962330,,-87.9711479,38.2143935
7882666947,,-87.9710170,38.2108807
6843374085,,-87.9703454,38.0624931
7099962344,,-87.9701238,38.2189907
358671032,Zoar Church,-87.9691959,37.8922669
7882666888,,-87.9691229,38.2056221
7882666955,,-87.9690936,38.2126007
7882666954,,-87.9689930,38.2107843
7099962329,,-87.9688894,38.2144020
7882667042,,-87.9687747,38.2424003
358664527,Ribeyre Island,-87.9686417,38.1064348
7882667041,,-87.9685488,38.2442225
7099962313,,-87.9669210,38.2199438
7882666959,,-87.9666269,38.2143937
7882666912,,-87.9666262,38.2109235
7099962314,,-87.9664489,38.2183128
358647987,Alexander Cemetery,-87.9664185,38.0169897
7882667019,,-87.9654197,38.2380502
7882666918,,-87.9651187,38.2184181
7882666904,,-87.9643381,38.2108389
358649472,Black Chapel,-87.9630845,37.9203226
7882666901,,-87.9618803,38.2110376
153589794,Upton,-87.9616958,37.9644894
7099962345,,-87.9596032,38.2074430
358658238,Lawrence School,-87.9591954,37.8769889
7099962346,,-87.9571739,38.2074379
153719350,Grafton,-87.9541957,38.0014340
358673431,Harmonie State Park,-87.9528075,38.0639343
358670143,Welborn Church,-87.9525288,37.9661560
7882666845,,-87.9506216,38.1935530
368386875,Congress Green,-87.9505837,37.8164330
7882666854,,-87.9502800,38.1946427
358648851,Beech Grove Cemetery,-87.9494735,38.0203229
358657434,Jeffries School,-87.9489174,37.9222668
7882666859,,-87.9456771,38.1909025
7882666841,,-87.9455975,38.1963600
358652050,Continental Camp,-87.9455868,38.2172685
358652938,Dunn Cemetery,-87.9425285,37.9736559
2640392953,,-87.9420167,38.1298379
