osm_id,name,x,y
354337834,Westfield Post Office,-96.6056368,42.7556006
354337606,Gutchie Manitou State Monument Park,-96.5933789,43.4971973
354337493,Silver Maple County Park,-96.5892005,42.8055495
6762896006,Blood Run Site,-96.5814320,43.4666337
7847532411,Broken Kettle Grassland Preserve,-96.5763935,42.6966261
151363762,Beloit,-96.5746299,43.2811795
354337190,Blood Run / Rock Island National Landmark,-96.5697666,43.4819199
354303982,Grandview Church,-96.5628214,43.4480321
354337782,First Baptist Church,-96.5594773,42.8288818
354337791,Trinity Lutheran Church,-96.5589217,42.8233263
354337769,Immanuel Lutheran Church,-96.5586439,42.8269373
354337668,Akron Mercy Medical Clinic,-96.5576390,42.8297360
354337677,Wesley United Methodist Church,-96.5572550,42.8266596
367083170,Akron Public Library,-96.5572550,42.8283261
4721094421,Britton Chiropractic & Rehab Clinic,-96.5568680,42.8321109
151860216,Granite,-96.5564327,43.4688648
354337772,First Church of Christ,-96.5561438,42.8261040
354337786,Saint Patricks Catholic Church,-96.5539215,42.8280484
8001371137,,-96.5517582,42.6718570
354337672,Akron Care Center,-96.5508679,42.8184316
354338088,Akron Westfield Community School,-96.5497547,42.8327704
8001371136,,-96.5494978,42.6709656
354296142,Big Sioux County Park,-96.5444769,42.8494366
151350062,Klondike,-96.5203065,43.3877515
354337505,Big Sioux River Wildlife Area - Nelson Tract,-96.5197623,43.3277580
354337497,Big Sioux River Wildlife Area - Kroger Tract,-96.5197618,43.2999811
354337488,Big Sioux River Wildlife Area - Olson Tract,-96.5169851,43.3610903
151817462,Chatsworth,-96.5164205,42.9161014
354321418,Sunrise School,-96.5105940,43.2510937
4583450598,,-96.4962495,42.9953448
354337161,Roeman-Stetrichs Wildlife Area,-96.4953195,43.4710867
585373146,Hawarden Pit,-96.4940300,43.0237500
151687025,Elm Spring,-96.4914276,43.3105362
7830441167,,-96.4904040,42.5168485
7830441178,,-96.4889321,42.5163171
151895917,Millnerville,-96.4883636,42.6986047
6010509039,Calliope Village,-96.4881701,43.0078863
367082733,Hawarden Fire and Rescue,-96.4876632,43.0101998
354313621,Our Saviors Church,-96.4872614,43.3538681
354337040,Hawarden Family Medical Center,-96.4863926,42.9965599
6010747836,Hawarden City Pool,-96.4860610,43.0002760
354336676,Trinity Lutheran Church,-96.4855864,42.9983216
6010584553,Historic Old City Hall,-96.4855615,42.9941978
4721159486,Back To Health Chiropractic,-96.4854326,42.9953455
354336687,Hawarden City Office,-96.4847529,42.9994326
354336696,Hawarden Community Church,-96.4844754,43.0052659
6010586421,Hawarden Historical House,-96.4840916,42.9946127
354336667,Hawarden United Methodist Church,-96.4833641,43.0010993
367083039,Hawarden Public Library,-96.4830863,42.9972105
151592950,Riverside,-96.4822530,42.5188836
354335603,Big Sioux Park,-96.4814477,43.0580723
354337050,Hillcrest Health Care Center,-96.4809456,43.0094156
354335593,Fairview Area,-96.4808700,43.2333161
354337296,Hancock Township Cemetery,-96.4808638,42.5999942
354337465,Mills Family Cemetery,-96.4808634,42.7166601
354336672,Saint Marys Catholic Church,-96.4805862,42.9991549
354337045,Hawarden clinic,-96.4796907,42.9983268
3166616392,,-96.4788637,42.5116931
7623384415,Rudy Navarrete's,-96.4761092,42.5204574
354389772,Riverside United Methodist Church,-96.4758641,42.5166614
4174337074,Scenic Overlook,-96.4754628,42.5556201
3803775047,,-96.4752833,42.5571167
1136326722,Billy Boy Drive-Thru,-96.4752226,42.5197506
354389785,Riverside Lutheran Church,-96.4747529,42.5113836
354336662,American Lutheran Church,-96.4747526,42.9994326
3834548234,,-96.4747344,42.5438943
4174337084,,-96.4744864,42.5541709
1136326714,,-96.4742785,42.5149564
354389753,Sacred Heart Church,-96.4741973,42.5194390
3602887082,,-96.4736303,42.4973558
7830441153,,-96.4734525,42.5169256
3596771903,,-96.4734073,42.5007251
367087745,Buncombe Townhall,-96.4730869,43.0402650
354316591,Sacred Heart School,-96.4730862,42.5194390
3602887084,,-96.4727473,42.4987211
3834547118,Bobsled Run,-96.4727470,42.5442822
3596771911,,-96.4723971,42.5014138
3602887087,,-96.4718404,42.4995489
3834548206,,-96.4717605,42.5432328
354378526,Dakota Point,-96.4716971,42.5544388
3834548249,,-96.4715917,42.5440346
4174352509,,-96.4715477,42.5584513
3834547912,,-96.4712687,42.5425038
7635617701,Oak Grove County Park - Deer Run,-96.4711653,43.0585641
354297544,Calvary Cemetery,-96.4711416,43.0074880
3834547119,Gobbler Point,-96.4708969,42.5406422
1111247047,Canoe Access,-96.4708609,43.0619591
3602887085,,-96.4704999,42.4991063
3834547942,,-96.4701217,42.5426104
3008091683,,-96.4701150,42.9959388
367089675,Historic School Museum,-96.4697611,43.3852557
3590608567,,-96.4697458,42.5545872
4174337073,Calumet Shelter,-96.4692172,42.5582360
7697803894,,-96.4686839,43.3136054
3834547867,,-96.4686322,42.5421131
4174352510,,-96.4680879,42.5585181
7623973705,,-96.4678453,42.5511301
3803775040,,-96.4676952,42.5549318
4174337075,Stone Lodge,-96.4676365,42.5602731
4174352086,,-96.4675958,42.5575371
1136326704,,-96.4671304,42.4970695
2528749675,Stone State Park Campground,-96.4669532,42.5592745
4174352070,,-96.4669159,42.5565833
4286324830,,-96.4668282,42.5503490
3803727593,,-96.4667612,42.5608711
3803775025,,-96.4665509,42.5542634
354375137,,-96.4664730,42.4962659
4174352035,,-96.4658772,42.5556478
4286324800,,-96.4655305,42.5484103
4286636916,,-96.4647255,42.5556943
151468897,Mount Lucia,-96.4645646,42.5406577
3590608569,,-96.4640864,42.5597475
161391176,,-96.4624480,42.5474630
4286344126,,-96.4622733,42.5515799
4720611277,Westwood Specialty Care,-96.4620544,42.5055096
689093319,Fareway,-96.4619900,42.4946060
4286325224,,-96.4616023,42.5539611
7561098618,,-96.4599663,42.4934146
8206818295,,-96.4594674,43.3870899
7635617702,Oak Grove County Park - Turkey Ridge,-96.4594304,43.0614472
367082964,Sioux City Fire Department Station 8,-96.4587291,42.5098382
4286325054,,-96.4586561,42.5524041
1111247824,Oak Grove State Park,-96.4575808,43.0629579
7830619333,,-96.4571714,42.4994030
354323417,War Eagle Grave,-96.4547700,42.4939456
2379157862,Theophile Bruguier Monument,-96.4536210,42.4939983
2151233498,Tri-State Marker,-96.4534999,43.5005504
2379157857,Chief War Eagle Monument,-96.4525451,42.4937724
1136286708,Goodwill,-96.4494416,42.4991796
151499606,Brookdale,-96.4489187,42.5686052
2379158563,,-96.4488160,42.4977373
354389744,Jehovah's Witnesses Congregation,-96.4483215,42.4987496
3042270338,Loess Hills Elementary School,-96.4446094,42.5078146
4346781692,,-96.4439540,42.5087429
354389724,Westlawn Presbyterian Church,-96.4426999,42.5001122
354337035,Larchwood United Church of Christ,-96.4425216,43.4538587
354378043,,-96.4422919,42.5049266
354313761,Pavlik Lakes,-96.4414181,42.6888821
354301092,Emerson School,-96.4408634,42.4966612
354389626,Central Nazarene Church,-96.4405855,42.5111055
4722210493,Security Savings Bank,-96.4402086,43.4525095
354389646,Central Assembly of God Church,-96.4391966,42.5094388
354389789,Church of Christ,-96.4383633,42.5030501
7832502989,,-96.4374089,42.4965705
7903844120,,-96.4371357,43.3033250
7903836462,,-96.4368904,43.4515757
7903844125,,-96.4368274,43.3048397
7635617699,Foote City Park,-96.4365790,43.3090489
7903844130,,-96.4363127,43.3066035
7903836471,,-96.4361757,43.4509100
7903836463,,-96.4356364,43.4517217
354316106,Apostolic Faith Tabernacle Church,-96.4351720,42.5032380
3008091196,,-96.4350464,42.5154357
354337027,Larchwood Chiropractic Clinic,-96.4348072,43.4539898
354389776,Concordia Lutheran Church,-96.4347520,42.5141611
1349191696,Larchwood Food Center,-96.4345968,43.4526272
7903844143,,-96.4341142,43.3067302
354337264,Larchwood Post Office,-96.4338233,43.4534114
354389792,Evangelical Orthodox Church,-96.4336409,42.5027723
354337293,Avera Medical Group Larchwood,-96.4329789,43.4527625
7903836473,,-96.4328650,43.4485023
7833179377,,-96.4328277,42.5097437
354337002,Bethel United Methodist Church,-96.4322953,43.3071324
7903836476,,-96.4316914,43.3049528
354337283,First Reformed Church,-96.4297576,43.3133131
354336997,New Life Assembly of God Church,-96.4297560,43.3110310
367088335,Toller Hall,-96.4292279,42.5267581
7903844091,,-96.4287836,43.3162930
354389803,Gethsemane lutheran Church,-96.4286407,42.5077722
4844946669,,-96.4286247,42.6423802
354337278,Inwood Christian School,-96.4282392,43.3054041
354337260,Saint Mary Church,-96.4278951,43.4540615
7833242016,,-96.4276477,42.5059325
367080024,Flanagan Center,-96.4276128,42.5272763
7903836474,,-96.4274724,43.4460069
7216850559,Wall of Fame,-96.4272004,42.4925543
4721968980,Fellowship Village,-96.4271432,43.3067295
7671325631,,-96.4271156,42.5263426
354389796,New Creations Ministries,-96.4269741,42.5005500
367088379,North Hall,-96.4263570,42.5270717
354389641,Mayflower Congregational Church,-96.4261407,42.5097166
2356124748,,-96.4261005,42.4931357
354389735,Whitfield United Methodist Church,-96.4250296,42.5022166
5171516597,MakerSpace,-96.4250052,42.4947087
354301316,Everett School (Closed),-96.4249805,42.4991038
