osm_id,name,x,y
358597172,Madrid Bar,-89.5531331,36.5720046
358597175,Madrid Bend Church,-89.4934342,36.5123490
358614086,Island Number 9,-89.3903509,36.5256175
358598374,Midway Church,-89.3572944,36.5331174
153524894,Tyler,-89.3514609,36.5075625
153561194,Miller,-89.3386828,36.5183955
358585926,Corner Stone Church,-89.3295161,36.5761718
358609611,Western School,-89.3289605,36.5578390
358594233,Johnson Chapel,-89.3281272,36.5520058
358606946,Sassafras Ridge Church,-89.3278494,36.5689498
358593584,Indian Mound,-89.3197936,36.5758941
153631302,Bondurant,-89.3197934,36.5233954
153756824,Ledford,-89.3025708,36.5300620
153537587,Anna Lynne,-89.2539585,36.5470061
358609886,Wilson Hill,-89.2414581,36.5250622
358581041,Beech Grove Church,-89.2406247,36.5172846
358580715,Barnett Cemetery,-89.2236798,36.5170068
153342186,Brownsville,-89.2170130,36.5347841
7788369186,USCGC Chena,-89.2011440,36.5715276
7788350558,,-89.2001591,36.5708900
153602249,Hickman,-89.1861791,36.5711721
4713566295,,-89.1781336,36.5575274
358614167,Wolf Island Number 5,-89.1753461,36.7222797
358593231,Hubbard Cemetery,-89.1611784,36.5508947
7809288479,Dollar General,-89.1598346,36.5684030
358593708,Islands Nos 2 3 and 4,-89.1581244,36.8186666
358589543,Fulton County High School,-89.1567340,36.5681166
358613547,Twin Mounds,-89.1442387,37.0675516
358611435,Cache Island,-89.1336831,37.0875516
358603877,Poplar Grove Church,-89.1314554,36.5328396
358608826,Three Ponds Bluff,-89.1275669,36.6695032
358584636,Chalk Bluff,-89.1253448,36.7272798
153425191,Whaynes Corner,-89.1217333,36.6492259
358614140,Number 4 Lake,-89.1214565,36.8097781
358599257,Mount Hermon Church,-89.1206218,36.5070067
358582089,Black Lake,-89.1189565,36.8145002
358599260,Mount Hermon Church,-89.1189551,36.5222842
368383404,Honey Lake,-89.1161825,37.0906074
8280067270,,-89.1135008,36.7637508
3742162890,A,-89.1117529,36.7665778
3742162895,Earthquakes Along the Mississippi,-89.1115180,36.7645494
3742162893,C,-89.1111049,36.7658564
358580417,Bacon Cemetery,-89.1097882,36.5389505
153766728,Hailwell,-89.1058996,36.6764476
3742166226,,-89.1043562,36.7595432
358609624,Whayne Lake,-89.1042331,36.7370018
3742162918,,-89.1040032,36.7582886
3742162921,,-89.1031362,36.7587560
153772032,Laketon,-89.1017343,36.8633883
358583700,Campbell Cemetery,-89.0984008,36.8633883
153602598,South Columbus,-89.0981218,36.7420018
358614083,Island Number 1,-89.0967346,36.9136652
358608662,Taylor Cemetery,-89.0961775,36.7681125
358601379,Obion Church,-89.0953439,36.7233911
153729546,Wickliffe,-89.0893387,36.9647458
358583782,Cane Island,-89.0886787,36.9094986
358610124,Zion Church,-89.0886770,36.7131136
358614753,WDKA-TV (Paducah),-89.0861781,36.8583885
7721630625,,-89.0860805,36.5183833
358605463,Roper Cemetery,-89.0831211,36.5856162
153520101,Berkley,-89.0822886,36.8036674
358614543,WBCE-AM (Wickliffe),-89.0775680,36.9817197
358605161,Roberts Cemetery,-89.0775657,36.7320020
358609778,Wickliffe Cemetery,-89.0747900,36.9722754
358581060,Beech Grove Church,-89.0728445,36.8661663
153348458,Turner Landing,-89.0695154,37.1697741
153596354,Oakton,-89.0672874,36.6633923
358586660,Davis Cemetery,-89.0656208,36.6525593
7721630663,,-89.0637575,36.5896951
358595872,Liberty Church,-89.0611789,37.0175527
358585666,Cone Creek Church,-89.0603451,36.9769976
153466977,Winford,-89.0600668,36.9269985
358597953,McGee Cemetery,-89.0597871,36.5625610
358586951,Dicus Cemetery,-89.0572880,36.8242227
358579471,Alexander Cemetery,-89.0558980,36.5267284
358594092,Johnson Cemetery,-89.0556203,36.5461724
358605728,Rush Creek Church,-89.0553426,36.5753386
7721630664,,-89.0512484,36.6164787
7721630426,,-89.0482557,36.6226469
358601256,Oak Lake,-89.0472917,37.1406079
358610160,Zook Cemetery,-89.0472871,36.7606128
153403241,Barlow,-89.0467346,37.0517194
358598718,Mitchell Lake,-89.0459029,37.1517190
358601203,Oak Grove School,-89.0425650,36.7878346
358580681,Barlow Cemetery,-89.0417345,37.0575527
358601533,Old Hazelwood Cemetery,-89.0406236,37.0711638
358579557,Allen Cemetery,-89.0406204,36.7714460
358579707,Allred Cemetery,-89.0370092,36.7806125
358591539,Harrison-Hughes Cemetery,-89.0364553,36.9692203
153431774,Moscow,-89.0361754,36.6070046
358608998,Turkey Lake,-89.0359028,37.1706079
153354107,Cayce,-89.0358976,36.5553389
358605386,Rogers Cemetery,-89.0342315,36.7922789
358600437,New Harmony Church,-89.0314532,36.7020028
358607338,Shelby Lake,-89.0302986,37.1831016
153759345,Oscar,-89.0270130,37.1364414
358601426,Ohio Valley Church,-89.0267347,37.1025527
358601368,Oakwood Church,-89.0261752,36.6506150
358609517,Webbs Chapel,-89.0250644,36.7686683
358581570,Bethel Church,-89.0234009,37.0897750
358581720,Bethlehem Church,-89.0203434,36.9522763
358609491,Watwood Cemetery,-89.0167326,37.0033866
358600366,New Chapel,-89.0165078,36.7061949
358600919,North Ballard Church,-89.0128434,36.9811647
153344275,Arlington,-89.0128420,36.7903347
358601826,Oscar Church,-89.0120125,37.1472748
358610161,Zook Cemetery,-89.0106198,36.8022789
153403217,Bardwell,-89.0097869,36.8706111
6477463054,,-89.0084054,36.5544663
358595838,Liberty Church,-89.0081192,36.5172840
358587647,Ebenezer Church,-89.0078414,36.5397836
358600539,New Hope Church,-89.0047906,37.1844969
358600974,Northington Cemetery,-89.0034001,37.0850530
3786691230,Harper's Country Hams,-89.0006202,36.7149348
358605552,Roselawn Cemetery,-89.0006199,36.8645001
358601961,Pace Cemetery,-88.9997877,37.0139423
5521338682,Carlisle County Courhouse,-88.9994929,36.8819943
358580659,Bardwell Cemetery,-88.9986754,36.8650557
358596454,Lockhart Cemetery,-88.9961763,37.0064423
2731294178,,-88.9951184,36.7510818
153443247,Clinton,-88.9933965,36.6672813
358608939,Trinity Chapel,-88.9922854,36.6572814
153553460,Slater,-88.9892317,37.0164423
358593927,Jenkins Cemetery,-88.9886765,37.0450533
358584592,Central School,-88.9883963,36.6681146
153516052,Monkeys Eyebrow,-88.9878454,37.1867193
358580607,Ballard Memorial School,-88.9875657,37.0672754
358603793,Pollock Cemetery,-88.9872870,37.0103313
358586271,Criswell Cemetery,-88.9870098,37.0525533
358591957,Henderson Cemetery,-88.9858985,37.0419977
358614758,WPSD-TV (Paducah),-88.9814562,37.1919970
358608731,Terrell Cemetery,-88.9783984,37.0564422
358614754,WDKA-TV (Paducah),-88.9756227,37.1989415
4841944391,,-88.9749885,36.8067506
358587977,Elsey Cemetery,-88.9747854,36.8675557
153586623,La Center,-88.9736762,37.0767199
358597457,Martin Cemetery,-88.9731194,36.9825539
358598968,Morris Valley Church,-88.9722853,36.8786666
153413648,Spring Hill,-88.9717290,36.7372800
358582913,Brooks Church,-88.9711735,36.5136727
358599787,Mount Veron Church,-88.9683956,36.6320040
358592439,Hillcrest Cemetery,-88.9681190,36.9508877
358601382,Obion Church,-88.9675622,36.7633907
358579913,Antioch Church,-88.9670071,36.8486671
358614710,WGKY-FM (Wickliffe),-88.9664521,36.9400546
358593777,Jackson Cemetery,-88.9658969,37.0014425
358592665,Holder Cemetery,-88.9645071,36.8558892
153529408,Blandville,-88.9639521,36.9436656
358609099,Union Cumberland Church,-88.9631177,36.5381167
358592936,Hopewell Church,-88.9592287,36.7886681
358582216,Blank Cemetery,-88.9561744,37.0114425
358598164,McWhort Cemetery,-88.9561728,36.6975584
358607425,Shiloh Church,-88.9533952,36.8125566
358579937,Antioch Church,-88.9528412,37.0283869
358609322,Vivrett Cemetery,-88.9528394,36.6972806
153599131,New York,-88.9525629,36.9889428
358592750,Holman Cemetery,-88.9517326,37.2039417
153365340,Needmore,-88.9472875,37.1817196
358599566,Mount Pleasant Church,-88.9467309,37.1106088
7721630340,,-88.9462137,36.9038040
153440632,Bandana,-88.9458980,37.1461642
358598420,Miles Cemetery,-88.9456200,37.1264421
358603600,Pleasant Valley Church,-88.9453430,37.1850529
358592541,Hines Cemetery,-88.9428410,37.0500535
358603401,Pleasant Hill Church,-88.9411741,37.0444980
358591085,Hall Cemetery,-88.9406174,36.9000553
153520180,Magee Springs,-88.9375618,36.9225550
358600494,New Hope Church,-88.9372833,36.6117265
153537791,Crutchfield,-88.9353389,36.5767270
358602020,Palestine Church,-88.9345056,36.5167279
153592925,Hinkleville,-88.9336737,37.0436647
358607203,Shady Grove Church,-88.9325617,36.9539434
358600790,Newton Cemetery,-88.9308956,37.0339426
368383440,Saint Arbor Slough,-88.9295058,36.9286660
358599345,Mount Moriah Church,-88.9295052,36.6495035
7721630373,,-88.9281211,37.0457333
153411791,New Cypress,-88.9267272,36.7306134
358607418,Shiloh Church,-88.9261716,36.7231136
358605265,Rock Springs Church,-88.9258941,36.5775602
358584562,Central Church,-88.9256164,36.8314452
358599092,Mount Carmel Church,-88.9245052,36.5481163
358605201,Robinson Cemetery,-88.9236724,36.9514435
358607799,Skinner Cemetery,-88.9217283,37.0128316
358597693,Mayfield Creek Church,-88.9197830,36.8875555
358586332,Crossland Cemetery,-88.9161714,36.6228373
358609241,Vance Cemetery,-88.9158950,37.0450537
358603695,Pleasant View Memorial Gardens,-88.9097825,36.5508938
153424326,Ingleside,-88.9014509,37.1233868
7809231524,El Vallarta Mexican Restaurant,-88.9011662,36.5153939
585377830,Nichols Mine,-88.9010000,36.8280000
358601152,Oak Grove Church,-88.9008948,37.0847758
153607193,Milburn,-88.8997817,36.7986679
153612366,Old Cypress,-88.8997816,36.7233912
7953502010,Parkway Church of Christ,-88.8975386,36.5146501
358599534,Mount Pleasant Church,-88.8967261,36.6714476
7809231526,Quest Diagnostics,-88.8962728,36.5192083
7809231525,Fulton Nursing and Rehabilitation,-88.8940963,36.5187104
7809231500,Kingsway Motel,-88.8931549,36.5101307
153565398,Riceville,-88.8931155,36.5142277
358601046,O'Donely Cemetery,-88.8931159,37.0231096
7809231497,Jason's Diesel Repair Services,-88.8930349,36.5078053
7809231499,Jeff's Barber & Style Shop,-88.8923364,36.5088375
7809231495,"B&B Remedies, LLC",-88.8921997,36.5067160
7809231521,Fulton Buffet,-88.8921488,36.5120494
7809231508,Ward Animal Clinic,-88.8907908,36.5148555
153453303,Ross Crossing,-88.8900597,36.9614435
7809231506,Cardinal Liquors,-88.8897836,36.5144447
153358092,Cunningham,-88.8897817,36.9075553
153607153,Gage,-88.8895042,36.9911653
358598266,Memorial Gardens Cemetery,-88.8895038,36.9047776
7809231509,New Life Family Worship Center,-88.8891640,36.5153705
7721632999,,-88.8889940,37.1869285
7809231502,Hunters 1 Stop,-88.8885134,36.5131254
153618359,Ragland,-88.8883952,37.1636645
7236725097,Domino's,-88.8875878,36.5123747
7809231504,Deno Barbeque,-88.8871463,36.5131776
153376802,Kevil,-88.8867275,37.0850537
358591751,Hays Cemetery,-88.8847811,36.6897806
3872049432,,-88.8832550,36.5197710
7563597114,Church of the Nazarene,-88.8824013,36.5050663
153786085,Beelerton,-88.8822814,36.5942264
358604499,Ragland School,-88.8820059,37.1611645
4725439241,Confederate Memorial,-88.8801502,36.5122910
6066499192,,-88.8799781,36.5229901
358609561,Wesley Church,-88.8792258,36.5892265
7809231514,St Edward's Catholic Church,-88.8787012,36.5080805
358600766,Newman Cemetery,-88.8781150,37.0083874
7809231512,Hornbeak Funeral Chapel,-88.8774712,36.5058599
358592880,Hook Cemetery,-88.8764483,37.0169985
7809231516,Fulton Police Department,-88.8763904,36.5114866
358600808,Newtons Creek Church,-88.8758944,37.1583868
358581564,Bethel Church,-88.8758925,37.0008875
7252512586,Security Bank and Trust Company,-88.8757864,36.5047395
7809231518,Bells Chapel Christian Methodist Episcopal Church,-88.8753888,36.5118820
358592886,Hook Cemetery,-88.8747816,37.0256097
7809213366,Keg Bar & Grill Inc,-88.8745683,36.5047897
7809213357,Greater Antioch Missionary,-88.8736745,36.5062981
153678440,Woodville,-88.8733935,37.0967204
7252486284,Dollar General,-88.8733514,36.5109886
8163168572,U-Haul,-88.8729650,36.5079392
7809231510,Vaughn's Grill,-88.8725207,36.5092738
7809231519,United Church the Living God,-88.8720636,36.5111322
358588081,Enon Cemetery,-88.8711701,36.5458936
358600305,New Bethel Church,-88.8711697,36.6339480
358609550,Wesley Cemetery,-88.8708921,36.5883930
153438887,Fulgham,-88.8703363,36.6528366
358585028,Clark Cemetery,-88.8700585,36.6325591
153783006,Nichols,-88.8697805,36.6936693
358606573,Salem Church,-88.8695027,36.6822806
358603593,Pleasant Valley Church,-88.8689471,36.6975582
153472978,Beulah,-88.8681136,36.7678350
153532109,Ceredo,-88.8670036,37.0411651
358606000,Saint Charles Church,-88.8670026,36.8545005
153380415,Kirbyton,-88.8639469,36.8406119
358608941,Trinity Church,-88.8633922,36.5056165
358594941,Kirbyton Cemetery,-88.8617247,36.8483895
358582783,Brewer Cemetery,-88.8564491,37.1736646
153705710,Cimota City,-88.8561704,37.0922761
358594350,Jones Cemetery,-88.8556135,36.9253330
358581572,Bethel Church,-88.8547814,37.0925539
358588045,Emmaus Church,-88.8539464,36.8197788
358588041,Emmaus Cemetery,-88.8531131,36.8150566
358600589,New Liberty Church,-88.8525597,37.1481092
358587052,Dodson Cemetery,-88.8520018,36.7914458
358608409,Stone Cemetery,-88.8506144,37.0803318
358581685,Bethlehem Cemetery,-88.8489465,36.9239442
358599824,Mount Zion Church,-88.8486692,36.5758931
6066495778,,-88.8447814,36.5201795
358589008,Forestdale School,-88.8447808,37.0881096
358593808,Jackson Chapel,-88.8445020,36.6278369
358609575,West Kentucky State Wildlife Management Area,-88.8428366,37.1103317
358606021,Saint Dennis Church,-88.8364455,36.7525574
358610157,Zoar Church,-88.8347790,36.8853336
358602031,Palestine Church,-88.8311678,36.9144998
153508780,Lovelaceville,-88.8308902,36.9686659
358583374,Burgess Cemetery,-88.8308896,36.7506130
4156407911,Lovelaceville Fire Department,-88.8303470,36.9705129
153572378,Rossington,-88.8289473,37.1447760
358608266,Spring Bayou Church,-88.8278356,37.0889430
358597465,Martin Cemetery,-88.8222802,37.1408872
358597834,McClure Chapel,-88.8195009,36.6586696
358580622,Baltimore Church,-88.8170006,36.6758916
358586325,Cross Cemetery,-88.8158895,36.9911657
358595396,Lawrence Cemetery,-88.8139461,36.5175603
358594611,Kelley Cemetery,-88.8139457,37.0683875
358603333,Pleasant Hill Cemetery,-88.8125570,36.5475599
358591863,Hebron Cemetery,-88.8120002,36.8778337
153617804,Water Valley,-88.8111679,36.5656153
358598034,McKendree Church,-88.8111676,37.0528321
153768938,West Future City,-88.8100566,37.0631099
358603577,Pleasant Valley Cemetery,-88.8083897,36.6131147
153612389,Roper,-88.8061674,36.6147812
153483121,Baltimore,-88.8058890,36.6875581
153807089,Lamont,-88.8042229,37.0569987
153496403,Wheel,-88.8036665,36.8556118
153706725,Dublin,-88.8022775,36.7253355
358591387,Harmony Cemetery,-88.8020012,37.1217208
153631696,Future City,-88.8017228,37.0625543
163891503,,-88.7965910,36.8010710
163891511,,-88.7965160,36.8021170
163804079,,-88.7964710,36.7980880
358581547,Bethel Church,-88.7961662,36.9317221
163825413,,-88.7954740,36.7975680
163792272,,-88.7953470,36.8018290
163924403,,-88.7949350,36.8008420
163924340,,-88.7948880,36.7955820
163825343,,-88.7946740,36.7980990
164085794,,-88.7942580,36.7973000
163884201,,-88.7939170,36.7958650
163792239,,-88.7937610,36.8013940
358601943,Owens Chapel,-88.7936661,36.9289443
163960139,,-88.7935960,36.7983490
358591851,Heath High School,-88.7933892,37.0786654
163766930,,-88.7932950,36.8021600
163960167,,-88.7932610,36.7992150
163924283,,-88.7928380,36.7958820
163924426,,-88.7927320,36.8011200
4715340477,Camp Bearregard Memorial,-88.7924199,36.5746356
164085758,,-88.7922750,36.7970390
163901371,,-88.7919870,36.8021090
163902777,,-88.7916250,36.7956030
163971441,,-88.7914880,36.8030460
153541299,Feliciana,-88.7914451,36.5497820
153777398,Fancy Farm,-88.7914436,36.7995012
163902768,,-88.7905970,36.7953790
163784667,,-88.7904490,36.7996550
153759694,Heath,-88.7900558,37.0867210
163845989,,-88.7899180,36.7969760
164014584,,-88.7897140,36.8007210
153675417,Holifield,-88.7892220,36.6617251
358593018,Hopper Cemetery,-88.7886673,37.1381097
163944620,,-88.7884890,36.7973090
6066482390,,-88.7843701,36.6115470
585377821,Ford Sand & Gravel Pit,-88.7823000,36.6026000
358607013,Scott Cemetery,-88.7811659,37.0297768
358580853,Bayou de Chien Church,-88.7800556,36.5789482
153478550,Grahamville,-88.7800555,37.1075543
358605120,Rives Cemetery,-88.7800551,37.0672766
358590278,Graham Cemetery,-88.7797777,37.1089432
358599841,Mount Zion Church,-88.7792213,37.0225546
358583940,Carneal Chapel,-88.7786665,37.1108876
358596303,Little Obion Church,-88.7764437,36.6583917
358591401,Harmony Church,-88.7756108,37.1064432
358606497,Saint Thomas Cemetery,-88.7747770,37.0683878
153677980,Camelia,-88.7744988,37.0236657
1601922413,Kay Mart,-88.7743012,36.8860373
2367224862,Lowes Post Office,-88.7736478,36.8849117
2367952349,Lowes Cemetery,-88.7732925,36.8819464
586625250,KPAH,-88.7720000,37.0680000
358600730,New Zion Church,-88.7708875,37.0236658
358586031,Cowlin Cemetery,-88.7700548,37.0886655
358592471,Hills Chapel,-88.7694984,37.0086658
358598500,Millburn Chapel,-88.7692211,37.0528324
358604448,Quarles Cemetery,-88.7672766,37.0694989
358592476,Hills Chapel Cemetery,-88.7661650,37.0158880
358596824,Lowe Lake,-88.7622757,36.8608895
358604219,Price Cemetery,-88.7606094,36.6978357
358599396,Mount Olive Church,-88.7594980,36.7195020
358601375,Obion Church,-88.7586650,36.6753359
358609579,West Paducah Church,-88.7583873,37.0700545
358600384,New Concord Church,-88.7556088,36.9311666
358602016,Palestine Cemetery,-88.7528318,37.0997767
358603653,Pleasant View Church,-88.7514436,36.5681149
153524888,Maxon Crossing,-88.7511648,37.0831101
358583612,Calvary Church,-88.7494979,36.6797802
153462158,Chiles,-88.7492206,37.1136655
358581529,Bethel Church,-88.7489439,36.5267264
358602038,Palestine Church,-88.7483870,37.0986656
358591843,Heard Cemetery,-88.7475529,36.9122779
358600522,New Hope Church,-88.7464417,36.9869994
358597657,Maxon Church,-88.7458868,37.0794990
367811823,Little Union Community Center,-88.7456089,37.0597769
153423012,West Paducah,-88.7442202,37.0831102
358580104,Armistead Cemetery,-88.7433860,36.8903338
8026281501,,-88.7413924,37.1397759
358601452,Old Bethlehem Cemetery,-88.7408878,36.5464483
358583318,Bumpous Cemetery,-88.7406086,37.0383881
358579538,Allcock Cemetery,-88.7400526,36.9233890
358601663,Old Union Cemetery,-88.7392192,36.8700562
153344187,Wingo,-88.7391530,36.6424148
358610013,Wrights Cemetery,-88.7386636,36.7675571
3872039426,,-88.7385336,36.6823046
358609581,West Paducah School,-88.7356088,37.0886658
358581711,Bethlehem Church,-88.7342210,36.5458927
358605763,Russell Cemetery,-88.7342191,36.8903338
358605684,Rozzell Church,-88.7333858,36.7225575
358608796,Thompson Cemetery,-88.7331080,36.9933885
358607535,,-88.7319968,36.7308907
358591726,Haynes Cemetery,-88.7308856,36.9703332
153674150,Maxon,-88.7306086,37.0889436
153767731,Massac,-88.7306080,37.0167217
153734614,Pottsville,-88.7292189,36.8550563
153438993,Kansas,-88.7283855,36.9017227
358586954,Diggs Chapel,-88.7283855,36.9036670
358608854,Tittsworth Cemetery,-88.7269966,36.9914441
358597589,Massac Cemetery,-88.7267190,37.0194995
358598924,Morris Cemetery,-88.7253318,36.5461704
153430910,Melber,-88.7253299,36.9464445
153443114,Pilot Oak,-88.7222760,36.5467260
358603260,Pleasant Grove Church,-88.7181074,36.8411676
153403382,High Point,-88.7156081,37.1142214
358601819,Osborne Cemetery,-88.7147760,36.5231151
153471005,Pryorsburg,-88.7142189,36.6867245
358594124,Johnson Cemetery,-88.7142185,36.9950554
358614187,Hainline Cemetery,-88.7131093,36.5303372
358597065,Macedonia Church,-88.7128296,36.7236685
358608552,Sunset Lake,-88.7125519,36.7092242
358593324,Hunt Cemetery,-88.7122739,36.9817222
358579335,Adams Cemetery,-88.7111645,36.5478370
358599531,Mount Pleasant Church,-88.7111643,36.5761700
358606117,Saint James Church,-88.7075519,36.6897799
7919298075,Kentucky Farm Bureau Insurance,-88.7069867,37.0708843
358608457,Straight Church,-88.7067185,36.6942244
358581506,Bethel Cemetery,-88.7064408,36.6845021
8163110526,Menards,-88.7056301,37.0679158
358608792,Thompson Cemetery,-88.7053307,36.5831144
358607195,Shady Grove Church,-88.7044964,36.6645023
358596083,Little Bethel Church,-88.7042192,36.6122807
358600507,New Hope Church,-88.7025512,36.7928346
153811397,Concord,-88.7000517,37.0722773
585377842,Mine,-88.7000000,36.8000000
7919298073,Frutta Bowls,-88.6985558,37.0724904
358608325,Stanley Cemetery,-88.6964405,37.0850550
7563551442,Michaels,-88.6964147,37.0752078
7563551446,Kirkland's,-88.6953740,37.0754260
585377836,Mayfield Mine,-88.6950000,36.6950000
7563551424,Ulta Beauty,-88.6930169,37.0767090
7563551421,Old Navy,-88.6926993,37.0775100
358592284,Highland Cemetery,-88.6922734,37.0289443
8163102871,,-88.6913876,37.0720402
8163110519,Cold Stone Creamery,-88.6913062,37.0822702
8163110616,,-88.6910571,37.0785597
3217974619,Jasmine Thai Cuisine and Sushi Bar,-88.6908032,37.0830756
8163110736,Baymont,-88.6905215,37.0963001
7563551426,Dillard's,-88.6899833,37.0794738
6943943840,Domino's,-88.6899560,37.0717733
358604421,Purchase Cemetery,-88.6897731,36.9639447
8163110621,,-88.6895243,37.0802133
8163110617,,-88.6895205,37.0781514
153702611,Futrell,-88.6894957,37.0917218
358614756,WKPD-TV (Paducah),-88.6894953,36.9617226
6148075900,,-88.6884241,37.0730979
7048174565,,-88.6881584,37.0784227
7563551430,HomeGoods,-88.6872099,37.0788917
358600201,Neale Cemetery,-88.6867185,36.6186694
358601117,Oak Grove Church,-88.6867172,36.7511681
8163110620,,-88.6866339,37.0802601
3011107056,The Station,-88.6865985,37.0831881
358601751,Olivia Church,-88.6864401,37.0978329
7919298112,PetSmart,-88.6860231,37.0757173
3011076232,Flamingo Row,-88.6859253,37.0676167
358600724,New Zion Church,-88.6858838,36.7931124
7919298115,TJ Maxx,-88.6856688,37.0746431
358594330,Jones Cemetery,-88.6856073,36.6297804
358585842,Copeland Cemetery,-88.6856070,36.6536690
7563551435,McAlister's Deli,-88.6854959,37.0779101
7563551441,99 Buffet,-88.6850172,37.0831292
8163110747,Comfort Inn,-88.6848184,37.0987708
8163110523,Qdoba,-88.6839695,37.0781937
358600578,New Liberty Church,-88.6839402,36.6620022
358592302,Highland Church,-88.6839398,37.0300555
358595820,Liberty Cemetery,-88.6839395,36.8917230
7919298117,Furniture World Galleries,-88.6838484,37.0817279
8163110737,Red Roof Inn,-88.6836408,37.0970682
8163110734,La Quinta Inn & Suites,-88.6830893,37.0864849
358595864,Liberty Church,-88.6825506,36.8945007
8163110735,Comfort Suites,-88.6812714,37.0831688
8163110733,Homewood Suites,-88.6811534,37.0847176
153610892,Stubblefield,-88.6797736,36.6372803
358603278,Pleasant Grove Church,-88.6781064,37.0561665
358588086,Enon Church,-88.6775513,36.6372802
3011055080,McDonald's,-88.6773932,37.0802031
8280227635,Days Inn,-88.6761158,37.0805073
6916313785,Arbors At West End,-88.6753863,37.0523196
6725702765,Paducah Athletic Club,-88.6752182,36.9805112
358596572,,-88.6750506,37.0397778
3011053538,O'Charley's,-88.6749495,37.0791679
358609974,Woodlawn Memorial Gardens Cemetery,-88.6744948,36.9586671
153358900,Folsomdale,-88.6744947,36.8836675
358609710,White Oak Church,-88.6733840,37.1003330
358614757,WKPD-TV (Paducah),-88.6719950,37.0939441
153354228,Saint Johns,-88.6719947,36.9664449
5077193098,McCracken Regional Juvenile Detention Center,-88.6716870,37.0898012
6066386403,,-88.6715918,36.7408907
585377826,Old Hickory Clay Company,-88.6711000,36.8297000
2981796736,PT Crypto,-88.6702117,37.0362662
3873616941,,-88.6701939,36.7165598
358604142,Poyners Chapel,-88.6694956,36.6192249
6726300817,Raymond James Financial Services - Jane Martin,-88.6687539,37.0309944
