osm_id,name,x,y
1014919253,,-79.4869503,39.2091932
3976494692,Arnold's Ridge,-79.4869141,39.2113043
3976494719,,-79.4864586,39.2367401
358238862,Gnegy Church,-79.4864165,39.2767580
3976494714,Stahlnaker Stone,-79.4861307,39.2550342
75411045,,-79.4859554,39.2648835
3542658963,Hoye-Crest,-79.4854045,39.2374967
158553480,Kempton,-79.4854028,39.2067548
75410134,,-79.4845252,39.3442563
75410231,,-79.4844194,39.3511308
3976494693,Ashby's Hill,-79.4843721,39.3543918
3976494703,Lauer Hill,-79.4842301,39.3635107
966066439,,-79.4841744,39.3673187
3976494705,Miller,-79.4838572,39.3879230
3976494708,Poling,-79.4837014,39.3962780
3976494718,White,-79.4835037,39.4107577
3976494720,,-79.4833757,39.4191211
3976494706,Morris Connell,-79.4832754,39.4257262
966066466,,-79.4831279,39.4354367
3976494710,Severe,-79.4830136,39.4488192
3976494694,Browning,-79.4829746,39.4535244
3976494695,Burchinal,-79.4828046,39.4735149
966066475,,-79.4827015,39.4855613
369001257,Pine Swamp,-79.4800450,39.5167567
157615195,Lake Ford,-79.4800447,39.5267561
157549372,Hutton,-79.4794923,39.4142630
358250690,Lake Ford United Methodist Church,-79.4792113,39.5281449
75409445,,-79.4788668,39.5317086
3976494704,Melville Friends Hill,-79.4777308,39.6396580
75409458,,-79.4777085,39.6423800
158352145,Keeler Glade,-79.4770310,39.6286127
619617974,,-79.4768185,39.6873525
3976494721,,-79.4768044,39.6957825
966066445,,-79.4767932,39.7018794
3976494717,Thomas Ridge,-79.4767707,39.7143676
75390572,,-79.4767594,39.7211311
75410326,,-79.4767160,39.6739699
619615388,,-79.4766939,39.6711423
3976494702,L Dedrick's Ridge,-79.4766136,39.6604707
3976494701,Jere Teet's Ridge,-79.4765638,39.6538516
75410318,,-79.4765305,39.6497518
75410228,,-79.4764751,39.6423884
3545967846,,-79.4743416,39.2478295
6502612475,,-79.4729278,39.6783601
1014490458,,-79.4729249,39.7211374
358241650,Whites Knob,-79.4717798,39.5570545
6502548418,,-79.4712554,39.6779152
358241559,Lewis Knob,-79.4701570,39.5256164
158451339,Crellin,-79.4666294,39.3893143
358250668,Crellin Elementary School,-79.4650874,39.3908110
358241494,Charcoal Hill,-79.4649274,39.3722374
3946323967,,-79.4648262,39.3951635
6502334574,,-79.4641556,39.6901702
6510041185,,-79.4611421,39.6727283
358240586,Sunnyside School,-79.4600495,39.3287128
158410332,Locust Grove,-79.4594854,39.6534156
157589186,Sand Spring,-79.4594849,39.6725812
358243401,Browning Dam Reservoir,-79.4586553,39.5184233
358239328,McCabe School,-79.4586523,39.6450828
358250763,Glade View Church of the Brethren,-79.4558830,39.3106584
358241620,Roth Rock,-79.4557044,39.2660187
358250787,Red House Elementary School,-79.4556053,39.3073252
3595625782,Fresh Fire Church of God,-79.4547699,39.3093326
7861913982,Snaggy Mountain ORV Trail Parking Lot,-79.4544588,39.4978168
3944935733,,-79.4542386,39.4549800
158254291,Redhouse,-79.4539386,39.3087140
358244010,Blooming Rose Hill,-79.4534026,39.6506098
358250785,Red House Cemetery,-79.4533829,39.3101028
158309460,Herrington Manor,-79.4531012,39.4528718
358250658,Asher Glade Church of the Brethren,-79.4483727,39.7042462
158622981,Asher Glade,-79.4472616,39.7039684
158584041,Sunnyside,-79.4469929,39.3403787
1014490461,,-79.4429417,39.7211791
358241538,Gum Hill,-79.4401430,39.7164451
358241614,River Hill,-79.4393425,39.5681513
158577889,Blooming Rose,-79.4392068,39.6567490
3579441216,,-79.4389804,39.2833030
358239653,New Herrington School,-79.4383793,39.4212071
358241616,River View Hill,-79.4341551,39.6261942
358241516,Emberson Hill,-79.4332155,39.6836403
7619749076,Camp Sonrise Mountain Christian Retreat Center,-79.4328753,39.7210346
358240600,Swan Meadow School,-79.4322697,39.3503781
358241597,Piney Mountain,-79.4315205,39.5430187
4218519472,Saffitickers Ice Cream,-79.4294331,39.3536473
158629383,Gortner,-79.4275472,39.3551000
358250766,Gortner Cemetery,-79.4269916,39.3531558
358250705,Rush Baptist Church,-79.4258726,39.6745258
1014490378,,-79.4253194,39.7213031
3579434391,,-79.4252271,39.2945586
358241623,Rush Hill,-79.4241051,39.6763225
358250716,Sang Run Post Office,-79.4239307,39.5673097
358240595,Swallow Falls School,-79.4217101,39.4928696
7920747772,,-79.4182697,39.4990302
158476618,Kendall,-79.4175400,39.6334171
358238728,Fairview Church,-79.4164376,39.2714940
3988812556,,-79.4139144,39.3035689
3948963613,,-79.4128507,39.4090437
358238464,Conneway Hill,-79.4126082,39.3045755
358240593,Swallow Falls Church,-79.4114318,39.5009246
158322154,Hoyes Run,-79.4105978,39.5281454
4749585522,Mountain Fresh Farmers Market,-79.4095846,39.4087032
358241532,Gap Hill,-79.4087586,39.5796670
7227491664,Hospice of Garrett County,-79.4085218,39.4082762
358250791,Saint Matthews Episcopal Church,-79.4081005,39.4095412
4569416800,Subway,-79.4078954,39.4068281
7227491662,Warroir Ink,-79.4070064,39.4081914
367799337,Shady Dell Grange Hall,-79.4069913,39.3237130
358250783,Oakland Post Office,-79.4069893,39.4100968
367797682,Ruth Enlow Library of Garrett County,-79.4069676,39.4110814
358253783,Saint Pauls United Methodist Church,-79.4066532,39.4070107
157577642,Friendsville,-79.4053167,39.6636933
7178374283,McDonald's,-79.4048305,39.4109745
358239859,Pine Grove Church,-79.4047648,39.5039801
358238199,Bishop Hill,-79.4047420,39.5922639
358250781,Former Oakland Elementary School,-79.4044893,39.4084302
7227491669,Wepco Federal Credit Union,-79.4037102,39.4116603
367796726,Friendsville Volunteer Fire Department,-79.4029086,39.6644993
358241580,Mount Nebo,-79.4026901,39.4385338
1014490507,,-79.4020356,39.7213539
358245891,WMSG-AM (Oakland),-79.4017677,39.4238177
7227491660,Oakland Nursing and Rehabilitation Center,-79.4012846,39.4068588
7227491670,Garrett Regional Medical Center,-79.4007822,39.4133471
7227491659,Oakland Church of the Nazarene,-79.4004469,39.4055320
7227491658,Shimmer & Shine,-79.4001606,39.4041621
358239258,Lynndale School,-79.3992126,39.3473227
358241645,Upper Ford Hill,-79.3987834,39.5522473
158589916,Wilson,-79.3978259,39.2542727
158584031,Mitchell Manor,-79.3961554,39.4187074
358238591,Elder Hill,-79.3956399,39.6051716
358241534,Ginseng Hill,-79.3952872,39.5619915
158655732,Gravel Hill,-79.3930940,39.6639712
358238236,Bray School,-79.3917090,39.4964806
158637100,Elder Hill,-79.3911504,39.6245289
369001218,Murray Swamp,-79.3903195,39.5239791
358239936,Pleasant Valley Church,-79.3900451,39.3709324
1957900941,,-79.3876876,39.5475715
1957900915,,-79.3865517,39.5472882
3727887321,,-79.3861710,39.6666409
358241477,Bray Hill,-79.3857855,39.5006787
1740934198,,-79.3852557,39.7151873
1957900855,,-79.3850591,39.5469055
1957900754,,-79.3833505,39.5464826
1014490420,,-79.3822969,39.7214198
1957900633,,-79.3818364,39.5460989
158287999,Mountain Lake Park,-79.3817107,39.3984308
358250726,Bethel United Methodist Church,-79.3817107,39.4003752
1957353180,,-79.3814415,39.5545908
358250718,Selbys Port United Methodist Church,-79.3808708,39.6867478
1957900571,,-79.3808225,39.5458456
1957353357,,-79.3799783,39.5549227
358241452,Allegheny Heights,-79.3795150,39.3328438
1957353587,,-79.3792742,39.5555442
4103131383,Faith Evangelical Free Church,-79.3788251,39.3977633
358241537,Guards Hill,-79.3783826,39.7085733
358240086,Roman Nose Mountain,-79.3780915,39.4701396
3940456345,,-79.3778883,39.4476395
1957901055,,-79.3774369,39.5491187
358238475,Corunna School,-79.3772685,39.2828821
1957901046,,-79.3757981,39.5490483
1957353721,,-79.3752496,39.5560188
358250760,Ferndale Baptist Cemetery,-79.3744871,39.4517611
3971679898,,-79.3743845,39.4107752
1957901036,,-79.3742639,39.5489760
1957353649,,-79.3742505,39.5557365
1957353236,,-79.3742156,39.5547004
158597079,Fort Pendleton,-79.3742125,39.2953813
358250774,Loch Lynn Elementary School,-79.3742105,39.3912090
358250777,Mountain Lake Post Office,-79.3741683,39.3962393
1014490513,,-79.3739849,39.7214202
158422887,Loch Lynn Heights,-79.3730993,39.3931534
158482026,McComas Beach,-79.3730971,39.5017582
3940456490,,-79.3729288,39.4622369
1957901032,,-79.3726291,39.5489005
1957353827,,-79.3712813,39.5566847
3715771522,,-79.3711883,39.6121070
1957354239,,-79.3710050,39.5581322
1957901027,,-79.3709929,39.5488260
1957355005,,-79.3700273,39.5602735
358241568,Marsh Hill,-79.3696994,39.5490144
1957353712,,-79.3695110,39.5559588
157594960,Hoyes,-79.3694839,39.5903643
358240879,Wonderly Cemetery,-79.3689329,39.3767655
1957354325,,-79.3687975,39.5583483
1957900991,,-79.3686514,39.5482273
1957901057,,-79.3685213,39.5492024
7900153837,Sandy Beach,-79.3684403,39.5109759
358250688,Hoyes United Methodist Church,-79.3683727,39.5906422
1957353739,,-79.3681538,39.5561956
1957354853,,-79.3681484,39.5597948
3714273562,,-79.3676652,39.6251052
1957900904,,-79.3675101,39.5472304
1957901092,,-79.3674658,39.5501021
1957900725,,-79.3665391,39.5463741
1957901110,,-79.3665123,39.5509118
1957354269,,-79.3656674,39.5582739
1957900613,,-79.3655735,39.5460328
4749585521,University of Maryland Extension,-79.3654800,39.3996332
1957901118,,-79.3651940,39.5520296
1957354951,,-79.3647353,39.5600688
1957900683,,-79.3644604,39.5462211
1957901134,,-79.3643558,39.5527410
1014490509,,-79.3637282,39.7214522
1957901143,,-79.3635189,39.5534462
5355427169,DC's Bar and Restaurant,-79.3631217,39.5566053
1957900755,,-79.3630107,39.5464827
3714273400,,-79.3628882,39.6223130
1957901148,,-79.3625091,39.5543055
3714273325,,-79.3621949,39.6161899
1957901154,,-79.3614751,39.5551844
3974360025,,-79.3612406,39.4082685
1957900823,,-79.3611841,39.5467836
