osm_id,name,x,y
357543865,Alander Mountain,-73.5051202,42.0875908
4485899464,,-73.5033777,42.0881323
3127748326,Bash Bish Falls Viewpoint,-73.4937537,42.1156072
358269513,Cedar Mountain,-73.4934520,42.1223126
3127748325,,-73.4921849,42.1150678
357543868,Bash Bish Mountain,-73.4917857,42.1098128
358269564,Dugway Hill,-73.4890070,42.1325902
357543888,Prospect Hill,-73.4873400,42.1423123
4485893790,Primitive Campground,-73.4861331,42.0923779
358268744,Mount Washington,-73.4842853,42.1125905
358269589,Mount Frissell,-73.4819981,42.0512563
357543879,Mount Fray,-73.4815059,42.1570343
358269574,Mount Ethel,-73.4800109,42.1249804
358276534,WBBS-FM (Great Barrington),-73.4797651,42.1602785
2621537403,Catamount Ski,-73.4763170,42.1687105
358269459,Mount Ashley,-73.4751202,42.0612024
7998210307,,-73.4699095,42.1639712
358269832,Mount Whitbeck,-73.4686269,42.1456370
158863355,Alander,-73.4662312,42.0562025
358269795,Mount Sterling,-73.4648230,42.1392564
5921302474,Mount Washington,-73.4596928,42.0949101
358269555,Mount Darby,-73.4577286,42.1322177
7483416189,,-73.4564707,42.1326906
358275406,Mount Plantain,-73.4537306,42.0634247
358258231,Union Church,-73.4536917,42.0997167
7576269431,,-73.4526019,42.0532257
4217652848,Sage's Ravine Campground,-73.4507741,42.0533080
6003637291,,-73.4498820,42.1483942
368984198,Marsh Pond,-73.4495600,42.1723119
6423781193,,-73.4438610,42.0522376
5921329997,Egremont,-73.4421685,42.1680241
158854494,North Egremont,-73.4397127,42.1989381
358269626,Jug End,-73.4390050,42.1437012
358281573,North Egremont Historic District,-73.4384477,42.1981449
4217658289,Laurel Ridge Campsite,-73.4376701,42.0606154
358269469,Baldwin Hill,-73.4370591,42.1856451
358269810,Townhouse Hill,-73.4356708,42.1695341
358269813,Mount Undine,-73.4342837,42.1153684
5634005823,Race Brook Campsites,-73.4334370,42.0901441
2580304792,wooden steps,-73.4330306,42.0979197
358276362,Mount Everett,-73.4328952,42.1017575
6685673586,,-73.4322189,42.0743380
358269711,Mount Race,-73.4320625,42.0820355
358269507,Mount Bushnell,-73.4315052,42.1314792
419229392,The Hemlocks Lean-to,-73.4292260,42.1096870
419229381,Glen Brook Lean-to,-73.4283285,42.1110718
7455602565,Egremont Town Hall,-73.4281245,42.1908945
357563752,Harvey Mountain,-73.4251114,42.3128646
158918663,Alford,-73.4237079,42.2526002
257494620,Alford Fire Department,-73.4228374,42.2264762
358269496,Black Rock,-73.4217830,42.1228683
358281668,South Egremont Post Office,-73.4196113,42.1607515
4454284316,map kiosk,-73.4186495,42.1173450
158877238,Egremont Plain,-73.4184267,42.1848684
3689769828,The Old Mill,-73.4170078,42.1605416
358276575,WBSL-FM (Sheffield),-73.4160908,42.1161744
257493727,Alford Police Department,-73.4143947,42.2359971
158853198,Camp Kingsmont,-73.4140000,42.3014760
158802702,South Egremont,-73.4114744,42.1607598
358281669,South Egremont Village Historic District,-73.4112259,42.1598121
4217684306,Race Brook Trail Parking trail head,-73.4111784,42.0895021
158845206,State Line,-73.4092772,42.3478638
1125504666,,-73.4060976,42.1831120
6945105642,,-73.4038990,42.1991360
3143696058,,-73.4037597,42.1625888
158853571,West Stockbridge Center,-73.4023330,42.3056426
358269804,Tom Ball Mountain,-73.4003889,42.2692546
7443626564,West Stockbridge,-73.3925772,42.3044517
358258191,Cornwall Academy,-73.3906689,42.1812006
367777725,Albert Schweitzer Center,-73.3901127,42.2017559
358269661,Maple Hill,-73.3898326,42.3106425
5077803186,,-73.3860427,42.2086139
358265416,Battlesite Monument,-73.3857331,42.1468338
5096523571,,-73.3819224,42.2091065
5096523572,,-73.3817842,42.2102445
358269566,Dunbar Hill,-73.3809437,42.2861986
3143696064,,-73.3809262,42.1702942
5177212953,,-73.3808867,42.2069076
5096523568,,-73.3807607,42.2108971
158803847,Williamsville,-73.3807571,42.2651582
5177212952,,-73.3807564,42.2083663
158822932,Richmond Furnace,-73.3806651,42.3611968
358269820,Vossburg Hill,-73.3801138,42.1625899
5064690049,,-73.3799630,42.2100019
358269689,Perry Peak,-73.3792755,42.4209177
5045379702,SRIT Back to Civilization?,-73.3790226,42.2073401
5177217443,Orchard City Millage Sign,-73.3788746,42.2026892
5044816933,,-73.3788440,42.2111554
368984195,New Guinea Swamp,-73.3787264,42.1167574
1580444674,Abode of the Message,-73.3784861,42.4428752
5333279909,,-73.3775010,42.2154438
5052222101,"SRIT Land Resources, Water Resources II",-73.3769349,42.2072366
5045380034,SRIT Stone and Ice,-73.3765346,42.2115141
158821854,Rockdale Mills,-73.3762213,42.2911984
5041443124,SRIT The Forest for the Trees,-73.3753465,42.2102524
257578819,Undermountain Elementary School,-73.3753115,42.1067254
5052222111,"SRIT Land Resources, Water Resources I",-73.3752919,42.2076898
257584533,West Stockbridge Town Hall,-73.3744810,42.3364398
5562905712,Mount Everett Regional School,-73.3743438,42.1058442
5045389113,Simon's Rock,-73.3733293,42.2075541
257495044,West Stockbridge Fire Department,-73.3724359,42.3390542
61742063,,-73.3722520,42.2081080
5101342856,,-73.3712928,42.2095599
358268616,Newsboy Statue,-73.3712239,42.1825895
5101295470,,-73.3700199,42.2084261
257580888,Berkshire Meadows,-73.3698934,42.2300772
3481371136,TurnPark Art Space,-73.3696888,42.3326757
358270295,Mount Lebanon,-73.3695526,42.4561947
6139540892,Shaker Mill Tavern,-73.3692788,42.3353870
257536927,E.C. Harwood Library,-73.3692200,42.2256100
3481465726,,-73.3691470,42.3337721
158909608,Berkshire Heights,-73.3690013,42.1889783
358269545,Cone Hill,-73.3689980,42.3598080
3481465719,Berkshire Bank,-73.3686695,42.3346505
358269478,Bears Den,-73.3681705,42.1148129
3481465724,,-73.3677630,42.3339625
7426129080,Richmond Town Hall,-73.3670144,42.3900919
158809661,Housatonic,-73.3667593,42.2551295
358268624,Berkshire Market Village,-73.3664983,42.3317531
358258177,Bates Memorial State Park,-73.3662195,42.4292510
358281691,West Stockbridge Congregational Church,-73.3662087,42.3325542
5872666184,Staples,-73.3659038,42.1810799
5872666585,Petco,-73.3653995,42.1802570
3911701247,Guido's Marketplace,-73.3648092,42.1794561
257494619,Great Barrington Fire Department,-73.3645559,42.2567347
257493912,Great Barrington Police Department,-73.3641690,42.1892348
7450598376,Great Barrington Town Hall,-73.3637509,42.1938225
158842687,Van Deusenville,-73.3634443,42.2273109
4293338607,Baba Louie's,-73.3634335,42.1949593
358281659,Sheffield Plain Historic District,-73.3628924,42.1192574
4293338606,Subway,-73.3625000,42.1938226
6764025649,Siam Square,-73.3623695,42.1946687
358269640,Little Johnny Mountain,-73.3620592,42.1145352
358269522,Christian Hill,-73.3620562,42.2023113
4759777671,Berkshire Cooperative Market,-73.3613736,42.1931277
158894101,Richmond,-73.3611115,42.3860964
158846818,Sheffield,-73.3598596,42.1032148
358275744,Hillcrest-Brookside School,-73.3592772,42.2342552
357543875,Clover Mountain,-73.3578852,42.4928607
158800922,Brookside,-73.3573350,42.1689786
4784347221,Stanton Home,-73.3567038,42.2017308
6440729116,,-73.3565538,42.0593291
358281361,Calvary Christian Chapel,-73.3564999,42.2195332
158813614,Risingdale,-73.3562987,42.2411596
358269585,Flag Rock,-73.3551099,42.2550881
6440729205,4' white ash,-73.3543416,42.0513478
6370191565,Pawsh Buddies,-73.3543161,42.2024434
7464404136,Sheffield Post Office,-73.3542732,42.1097341
7464404150,Sheffield Town Hall,-73.3541606,42.1109888
6440729189,,-73.3538689,42.0556081
367781430,Chesterwood Museum,-73.3534430,42.2689767
358269672,Monument Mountain,-73.3523318,42.2736988
358269828,West Stockbridge Mountain,-73.3523313,42.3250866
6440729489,,-73.3523065,42.0529797
5048977321,Chesterwood,-73.3522226,42.2848909
6440577713,17,-73.3513523,42.0562060
6440729520,,-73.3513405,42.0519465
6440728862,Bartholomew's Cobble sign,-73.3511227,42.0575469
6440728846,13,-73.3501460,42.0553791
6440504465,,-73.3500604,42.0580820
6440728810,2,-73.3492126,42.0574492
6440576955,,-73.3489484,42.0522418
6440728823,9,-73.3487660,42.0562902
158813499,Belcher Square,-73.3485319,42.2012516
358258296,Stockbridge School,-73.3481644,42.3292532
257494530,Hancock Fire Department,-73.3481330,42.4287963
4836710400,big cottonwood tree,-73.3478771,42.0512472
6960312700,Observation Platform,-73.3476582,42.3538543
158903951,Carey Corner,-73.3461512,42.3734815
367780886,Jenifer House,-73.3459445,42.2073112
358276186,WSBS-AM (Great Barrington),-73.3453886,42.2145333
358269559,Doll Mountain,-73.3453852,42.4592504
6440729551,,-73.3453348,42.0523344
4381939495,Holiday Inn Great barrington,-73.3452436,42.2131678
358268619,Bartholomews Cobble,-73.3451165,42.0495364
358269572,East Rock,-73.3448339,42.1889783
257579178,Brookside School,-73.3446296,42.2319688
5872660473,Price Chopper,-73.3445905,42.2099604
358275740,Elmwood Cemetery,-73.3440000,42.2028669
158859867,Glendale,-73.3439981,42.2834208
4800062158,Barrington Brewery,-73.3437039,42.2133283
358269627,June Mountain,-73.3434462,42.1534233
6440729563,ruin-like rocks,-73.3433466,42.0494828
5872660474,Dollar Tree,-73.3430079,42.2100752
358281647,Saint Peters Cemetery,-73.3420555,42.2045335
7007188413,Indian Monument Trail,-73.3414865,42.2499993
358265401,Monument Mountain Reservation,-73.3406652,42.2453661
368985570,Bowkers Woods,-73.3401091,42.2859207
358269791,Peeskawso Peak,-73.3398318,42.2473104
6685673685,AT Thruhiker camping,-73.3394040,42.2126997
358269826,West Mountain,-73.3392738,42.4684169
5739526202,Devils Pulpit,-73.3389939,42.2458659
4472813882,Great Barrington,-73.3389121,42.2103722
358269500,Bowman Hill,-73.3384486,42.0778693
358258179,Pittsfield State Forest,-73.3378848,42.4750835
7810396959,,-73.3377985,42.2829352
3667935036,Olivia's Overlook,-73.3377304,42.3518676
358269767,Shaker Mountain,-73.3370518,42.4459174
358269696,The Pinnacle,-73.3370515,42.5214715
158859952,Hancock Shaker Village,-73.3369017,42.4308477
358268623,Berkshire Gardens Center,-73.3364977,42.3011982
257537773,Reference Center,-73.3359955,42.2879981
358269568,East Mountain,-73.3356676,42.1698119
358269781,Smith Mountain,-73.3353846,42.4823055
158809506,Ashley Falls,-73.3351160,42.0562031
358281336,Berkshire Botanical Gardens,-73.3348310,42.3028649
3813908680,Studio,-73.3347512,42.2888318
158895986,Larrywaug,-73.3342754,42.3000871
358284183,DeSisto School,-73.3340000,42.3307000
5077682067,Berkshire South,-73.3335184,42.2113220
358269802,Three Mile Hill,-73.3328875,42.2356440
367781047,Merwin House,-73.3326089,42.2831431
257495141,Stockbridge Fire Department,-73.3318954,42.3155944
158873442,Stevens Corner,-73.3316029,42.3994817
358269807,Tower Mountain,-73.3314955,42.4984163
4312509064,,-73.3314932,42.4158401
8267022691,view,-73.3312685,42.1548317
70495913,,-73.3307347,42.3185179
158869867,Interlaken,-73.3306640,42.3145312
7933589495,Yankee Septic Tank Service,-73.3301695,42.0513895
358281346,Bethel Baptist Church,-73.3298307,42.3159201
358269688,Osceola Mountain,-73.3273299,42.3878631
367778853,Berkshire Country Day School Library,-73.3259000,42.3214000
368984224,Tilden Swamp,-73.3256620,42.4986942
358269575,Evergreen Hill,-73.3245533,42.2611990
358275725,Shadowbrook Novitiate,-73.3245524,42.3500861
158823123,Camp Russell,-73.3231628,42.4117516
158853202,Stockbridge,-73.3230114,42.3083010
257536286,Taylor Memorial Library,-73.3229450,42.5433777
358281391,Field Arboretum,-73.3217750,42.3009204
5932205099,Site 5,-73.3207127,42.5052447
2615406998,Ski Butternut,-73.3204031,42.1828198
158804212,Beachwood,-73.3203858,42.3250866
358281416,First Congregational Church,-73.3202585,42.2832920
257580190,Intensive Treatment Unit,-73.3201776,42.5408366
358281438,Grace Bible Church,-73.3201155,42.0575920
358269693,Pine Mountain,-73.3201064,42.4945276
2487300534,"Sites 11, 12, 13",-73.3197484,42.5034260
2487300519,,-73.3196357,42.5081084
158898726,Hancock,-73.3188902,42.5337624
358269491,Berry Hill,-73.3187175,42.5095274
7252962122,Temescal Wellness,-73.3186755,42.4309399
5932205086,Site 1,-73.3184867,42.5063152
358260433,East Mountain State Forest,-73.3184449,42.1681454
2379292932,Antiques by John Fontaine Auctions,-73.3175711,42.4310607
257536684,Patterson Field House,-73.3166072,42.4570252
158913512,Camp Marion White,-73.3162182,42.4153626
358269492,Berry Mountain,-73.3156617,42.5028609
358269465,Baldhead,-73.3153853,42.3603637
3258505913,,-73.3150807,42.4326023
158843772,Mahkeenac Shores,-73.3142745,42.3309198
158853612,Mahkeenac Terrace,-73.3142745,42.3331421
358269455,Appletree Hill,-73.3139961,42.5739708
6632602369,Copland Sculpture,-73.3139938,42.3499553
6632602368,Whispering Bench,-73.3137256,42.3490554
358269824,Warner Mountain,-73.3134446,42.1728675
367781394,Merwin House Museum,-73.3134416,42.2828652
70538795,West Main Entrance,-73.3130680,42.3520550
4987120223,Lourdes Grotto and Immaculate Conception Candle Shrine,-73.3127046,42.2876924
358281625,Riverbrook School,-73.3126084,42.2723099
5627723449,,-73.3120726,42.3656783
358258283,The Marian Fathers Monastery,-73.3120614,42.2903586
158836615,Mahkeenac Heights,-73.3120523,42.3264755
6632602366,,-73.3117622,42.3479294
4281241672,Main Gate Entrance,-73.3116774,42.3524244
4987120221,Shrine of the Holy Innocents,-73.3116054,42.2878388
357543885,Misery Mountain,-73.3114220,42.6142818
358269452,Alum Hill,-73.3112255,42.0817582
257584549,Hancock Town Hall,-73.3110706,42.5480342
7435224161,Procter Museum & Archives of Stockbridge History,-73.3107158,42.2816296
6635174019,,-73.3105874,42.3477996
158837007,West Pittsfield,-73.3103440,42.4310471
4987120222,Holy Family Shrine,-73.3103014,42.2884391
158839876,Camp Mah-Kee-Nac,-73.3092742,42.3403641
70506970,East Main Entrance,-73.3089610,42.3531820
158856511,Barkerville,-73.3087179,42.4225847
7435222899,Stockbridge Town Offices,-73.3086830,42.2812887
6632602365,,-73.3069664,42.3458202
358275314,Yokun Seat,-73.3066472,42.4014495
358269617,Honwee Mountain,-73.3059394,42.5103609
367779772,Hancock Town Hall,-73.3058570,42.5548764
419229762,Tom Leonard Lean-to,-73.3057757,42.1647466
257494410,Stockbridge Fire Department,-73.3053835,42.2823823
158806211,Tanglewood,-73.3048643,42.3500662
358258280,Forbush Wildlife Sanctuary,-73.3037188,42.6167480
358269712,Rattlesnake Hill,-73.3023299,42.3139757
358268661,Lauras Tower,-73.3022855,42.2719254
358281380,Cornerstone Baptist Church,-73.3020674,42.4553787
6960244263,Observation Deck,-73.3009636,42.3644104
158877611,East Sheffield,-73.3009485,42.0478701
6635174010,All Person's Trail,-73.3005559,42.3835924
257493660,Hancock Police,-73.3005472,42.5750005
368984194,The Marsh,-73.2995515,42.3625859
158855208,Stearnsville,-73.2995507,42.4403622
6635174009,Honeysuckle Lane-All Person's Trail,-73.2992014,42.3828306
257580260,Valleyhead School,-73.2976538,42.3755188
367777742,Wheatliegh Inn,-73.2973294,42.3453640
158902315,Wheatleigh,-73.2970517,42.3395308
257578686,Eagleton School,-73.2970205,42.1858040
358281674,Tabernacle Baptist Church,-73.2964951,42.4384178
5047073776,concrete bases,-73.2959184,42.3790444
5047073802,balanced rock,-73.2935071,42.3768272
367777822,Lenox Arts Center,-73.2928852,42.2992538
5072219761,,-73.2924865,42.2055986
358281455,Hancock Post Office,-73.2921177,42.5564896
7903272383,,-73.2916465,42.4984504
2615301204,Mountain Coaster,-73.2914719,42.5548239
358276475,WUHN-AM (Pittsfield),-73.2912172,42.4395289
5072219754,,-73.2911950,42.2048804
5072219751,,-73.2911468,42.2058380
358258301,Berkshire Christian College,-73.2898292,42.3445307
5049131722,Ozzie's Glass Gallery,-73.2894498,42.2768443
2615263418,Jiminy Peak Mountain Resort,-73.2893282,42.5548054
158811367,Clayton,-73.2893016,42.0481595
6055989965,,-73.2890529,42.4083399
257535647,Library,-73.2889900,42.3618500
2527348281,,-73.2888105,42.2032674
358269660,Mahanna Cobble,-73.2887174,42.4092518
358269503,Brush Hill,-73.2884458,42.1159242
358276281,WCWL-FM (Stockbridge),-73.2884403,42.3439752
158808898,North Hancock,-73.2876072,42.6111926
358269533,The Cobble,-73.2876064,42.4000853
358258241,Osceola Park,-73.2870504,42.4417512
357548279,Berlin Mountain,-73.2862195,42.6920245
358275942,Jiminy Peak,-73.2862172,42.5442494
158901944,Camp Witawentin,-73.2859389,42.4750839
5072220006,,-73.2858420,42.2565776
5047073969,view to west,-73.2855007,42.3696808
1694063326,Lenox Bank,-73.2854976,42.3572397
5047073940,concrete bases,-73.2851252,42.3712017
358268662,Osceda Mountain,-73.2851062,42.4131406
257493945,Lenox Police Department,-73.2848032,42.3563655
358276571,WBEC-FM (Pittsfield),-73.2842728,42.4123072
1694074015,Loeb's Foodtown,-73.2841618,42.3581237
1694088235,Frankie's Ristorante Italiano,-73.2836951,42.3593842
358258303,Lenox School,-73.2834401,42.3484195
1694089764,Nudel,-73.2832311,42.3574835
5047074000,stone pillar,-73.2829479,42.3713979
257578740,Berkshire Christian School,-73.2827565,42.3378879
1694073980,Zinc,-73.2825418,42.3581475
158904860,Camp Stevenson,-73.2823277,42.4759172
358281372,Church on the Hill,-73.2822043,42.3635429
6055989966,,-73.2821095,42.3999769
4001500003,,-73.2820757,42.3310594
367777817,Berkshire Performing Arts Center,-73.2820511,42.3534194
257578302,High Point School,-73.2817807,42.3973922
358281680,Trinity Church,-73.2814709,42.3546943
358258292,Fox Hollow School,-73.2812180,42.3236978
367781442,Blacksmith Museum,-73.2809399,42.3592527
67762298,,-73.2797540,42.1750492
358269632,Laurel Hill,-73.2792721,42.5195275
71632818,,-73.2791160,42.4657209
