osm_id,name,x,y
354004643,Legion County Park,-90.4124021,46.5657795
353997151,Peterson Chapel,-90.3779570,46.5860569
353998942,Bald Mountain,-90.3357341,46.5663352
354013205,Historic Indian Burial Grounds,-90.3305556,46.6058333
2412107249,Ohman's Creek Boat Launch,-90.3299706,46.6081811
2916769537,Little Girls Point Campground,-90.3247563,46.6063450
353998863,Immanuel Church,-90.3224004,46.6007790
354008406,Little Girls Point County Park,-90.3211493,46.6048307
353998701,Point Mountain,-90.2999000,46.5813350
151903510,Junet,-90.1979538,46.5093917
4579259113,Clever Quest Bed & Breakfast,-90.1782244,46.4635875
3649232377,Krist,-90.1746911,46.4630905
354012707,Zion Evangelical Lutheran Church,-90.1722222,46.4647222
3648487906,BP,-90.1715738,46.4634275
4705876643,Joe's Pasty Shop,-90.1705101,46.4534694
353954768,Mount Zion Park,-90.1704529,46.4763364
5628747702,Coleman Engineering Company,-90.1692926,46.4557064
7763528487,,-90.1692333,46.4633773
367813249,Ironwood City Fire Department,-90.1686111,46.4527778
3580596062,Comfort Inn,-90.1682663,46.4638824
353946712,Norrie Elementary School,-90.1682302,46.4457809
2631894074,,-90.1679912,46.4491388
353988441,Mount Zion,-90.1679529,46.4771697
367812787,Mount Zion Ski Chalet,-90.1666667,46.4750000
367815742,Campus Suites Residence Hall,-90.1655556,46.4711111
367812786,Construction Technology Annex,-90.1644444,46.4702778
354012721,Grace Community Fellowship,-90.1638889,46.4613889
354012691,Living Water Missionary Church,-90.1630556,46.4558333
151797640,Norrie,-90.1629523,46.4463365
354012711,Saint Paul Lutheran Church,-90.1625000,46.4566667
354012739,Woodland Church,-90.1611111,46.4686111
354013326,,-90.1604990,46.4576915
354013330,Hiawatha Park,-90.1597222,46.4500000
353958153,Norrie Park,-90.1587852,46.4307810
354012703,Lighthouse Faith Center,-90.1587815,46.4571708
3648392568,Little Caesars,-90.1570789,46.4631032
151767668,Hillcrest,-90.1562861,46.4921696
5628772565,,-90.1561720,46.4579270
354012743,Trinity Lutheran Church,-90.1558333,46.4672222
151465462,Hautala Corner,-90.1557307,46.5207804
151748333,North Ironwood,-90.1554529,46.5107806
2172088002,AmericInn Ironwood,-90.1497010,46.4624091
3648338723,Mobil,-90.1468166,46.4630650
3648338698,Krist,-90.1458060,46.4635330
151598060,Aurora,-90.1456005,46.4489842
5628777255,Ironwood Plastics,-90.1421157,46.4601062
354012725,Assembly of God Church,-90.1397222,46.4638889
353951894,McKinley School,-90.1357298,46.4707808
353974186,Silberg School,-90.1348955,46.4227256
353997538,Roosevelt School,-90.1346191,46.5199471
151347042,Jessieville,-90.1312849,46.4546698
2949519745,,-90.1246222,46.4678587
369020500,Newport Mine,-90.1223958,46.4568920
354013174,Aspirus Grand View Clinic - Ironwood,-90.1081069,46.4805178
369019920,Geneva Mine,-90.1071177,46.4605032
151763751,Siemens,-90.1035069,46.4749475
1918669956,,-90.1016881,46.5087382
1918669957,,-90.0990059,46.5022698
1918657465,,-90.0986518,46.5056889
4162415617,,-90.0978587,46.6012916
151335380,Auvinen Corner,-90.0962850,46.5202249
354003320,Big Powderhorn Mountain,-90.0960072,46.5041140
1918665652,,-90.0957862,46.5031774
1918657459,,-90.0951757,46.5090484
2626123182,Big Powderhorn Mountain Resort,-90.0936497,46.5093374
1918665645,,-90.0921609,46.5094766
1918657453,,-90.0921394,46.5033111
1918665637,,-90.0921072,46.5042932
353919447,Copper Peak,-90.0901738,46.6005019
1918665629,,-90.0857558,46.5089524
1918657462,,-90.0839855,46.5041455
354013258,Living Water Missionary Church,-90.0838889,46.4744444
369020730,Peterson Mine,-90.0779506,46.4674475
353958194,North Bessemer School,-90.0715623,46.5207804
2964776078,,-90.0677509,46.5253428
151362908,North Bessemer,-90.0662844,46.5093916
151555600,Yale,-90.0632280,46.4666142
353936961,Harding School,-90.0629498,46.4485587
353994528,Black River County Park,-90.0579511,46.6624457
369020772,Old Colby Mine,-90.0571168,46.4707808
2412106568,Black River Lake Boat Launch,-90.0555302,46.3386027
367814492,Gogebic County Sheriffs Office,-90.0537383,46.4821897
151773500,Bessemer,-90.0529504,46.4813363
354013167,Keepers of the Faith Church,-90.0522222,46.4783333
2915040874,Black River Harbor Campground,-90.0522222,46.6638889
3649840583,BP,-90.0509834,46.4809373
4371597086,Bessemer Public Library,-90.0504676,46.4778484
354013179,Saint Sebastian Church,-90.0488889,46.4822222
353983396,Washington School,-90.0480156,46.4781053
2412106565,Black River Harbor Boat Launch,-90.0480118,46.6661975
7759145241,Krist Food Mart,-90.0468399,46.4809314
7759145230,,-90.0435784,46.4810379
369020754,Old Tilden Mine,-90.0368387,46.4738364
4377357714,Traveler's Motel,-90.0323892,46.4809499
369020700,Palms Mine,-90.0246161,46.4727253
369018981,Anvil Mine,-90.0193383,46.4735586
151955030,Anvil,-90.0185048,46.4702253
2412107074,Mcdonald Lake Boat Launch,-90.0133860,46.3900312
354004927,WUPM-FM (Ironwood),-90.0121158,46.4716142
1920151937,,-90.0087872,46.5062054
1920151942,,-90.0085297,46.5006598
1920151938,,-90.0077250,46.5056962
1920151939,,-90.0058045,46.5011841
3654516745,,-90.0013499,46.4722343
354013213,Our Redeemer Lutheran Church,-90.0002778,46.4813889
1920151935,,-90.0001504,46.5043006
1920151941,,-89.9987235,46.5042045
153433192,Ramsay,-89.9965598,46.4702253
354013249,Grace Open Church,-89.9952778,46.4702778
353987764,Ramsay Lookout Tower,-89.9940584,46.4257811
153411445,Verona,-89.9890597,46.4774475
367813208,Trout Creek Fire Hall,-89.9875000,46.4877778
153709663,Plymouth,-89.9796144,46.4646698
2916769544,Preque Isle State Campground,-89.9788064,46.7065155
153490672,Planter,-89.9737819,46.5110584
4271888715,,-89.9736986,46.6997158
353996890,Presque Isle Park,-89.9724510,46.7039095
2626108969,Summit Center,-89.9709023,46.5003049
2626117102,Base Place,-89.9701759,46.5090047
369022011,Plymouth Mine,-89.9668364,46.4702254
354001866,Verona Lookout Tower,-89.9660037,46.4963363
367815887,Gogebic County Home,-89.9643361,46.4652254
3650169619,Eddy Park Campground,-89.9448238,46.4837981
3649853395,Holiday,-89.9440124,46.4764346
3649855638,Krist,-89.9417588,46.4771023
3649866082,Uptown Food & Deli,-89.9412341,46.4735894
3650153982,,-89.9400770,46.4837308
3650152423,Sunday Lake Boat Launch,-89.9386098,46.4840895
3650286972,,-89.9381346,46.4776046
6947237030,,-89.9366741,46.7228560
153677146,Connorville,-89.9310024,46.5518915
369021593,Sunday Lake Mine,-89.9285018,46.4835587
153478644,Thomaston,-89.9273911,46.5163363
3670611221,,-89.9247137,46.4797591
184306908,Chaney Lake Boat Launch,-89.9208892,46.3037983
7759794688,Bingos Garage,-89.9113874,46.4977143
6947344610,,-89.8998638,46.7356603
4149464371,,-89.8959087,46.7414767
4149464384,,-89.8951539,46.7431998
4156437840,,-89.8883262,46.7467845
6943916491,,-89.8840233,46.7318935
7560129515,,-89.8804198,46.7700944
7560124328,,-89.8737706,46.7768017
6943916549,,-89.8700979,46.7259183
6950096681,,-89.8651957,46.7458449
7560096032,,-89.8621029,46.7852156
6952664101,,-89.8565863,46.7630829
353961355,Porcupine Peak,-89.8501656,46.6891135
6952664047,,-89.8464911,46.7632095
153798516,LaFayette Landing,-89.8407189,46.7991119
5773114422,Lake Superior Trail,-89.8391573,46.7999287
6952663969,,-89.8321530,46.7636776
5770359161,LS-13,-89.8312528,46.8040886
4177308208,,-89.8293243,46.7161056
6952663946,,-89.8284082,46.7664063
6952663918,,-89.8282136,46.7690081
4160125587,Backcountry campsite BC3,-89.8274187,46.7707065
4160125689,Backcountry campsite BC2,-89.8258541,46.7734891
6943695759,,-89.8255605,46.7203534
353935416,Green Mountain Peak,-89.8237739,46.7916123
6943695767,,-89.8229729,46.7231304
353945343,LaFayette Peak,-89.8229410,46.7791127
369020297,LaFayette Mine,-89.8212743,46.7771682
354001543,Underwood Lookout Tower,-89.8204421,46.6505028
153716436,Hartley,-89.8159951,46.3910593
369019099,Beaver Lake,-89.8143307,46.6988360
6943705915,,-89.8136683,46.7279646
6943163608,,-89.8060448,46.7655569
6943705965,,-89.8016627,46.7348873
184344606,Thrush Lake Boat Launch,-89.7938857,46.3195049
2915040882,Henry Lake Campground,-89.7913807,46.3307895
353953200,Miscowawbic Peak,-89.7907169,46.7927236
2412106863,Henry Lake Boat Launch,-89.7896949,46.3303790
153395519,Dunham,-89.7859938,46.3821705
4159626415,LC-1,-89.7855267,46.7495009
4159626413,LC-2,-89.7853200,46.7476089
2412106773,Elbow Lake Boat Launch,-89.7809537,46.3520804
5773115634,,-89.7801903,46.7610466
184348457,Moraine Lake Boat Launch,-89.7785570,46.2824329
2412107337,Redboat Lake Boat Launch,-89.7754440,46.3454557
4159655260,Summit Peak,-89.7726879,46.7466456
4159655259,Summit Peak Observation Tower,-89.7718663,46.7477695
4159626461,ML-1,-89.7718520,46.7649634
6944100641,,-89.7712961,46.7347388
353998023,Wolf Mountain,-89.7709944,46.4416148
5770359173,ML-2,-89.7703432,46.7647117
2412106770,Eel Lake Boat Launch,-89.7666536,46.2936380
4174384986,Lake of the clouds overlook,-89.7655887,46.8026289
5770359180,NML-1,-89.7611386,46.8034157
6941768033,,-89.7508221,46.7728035
5770359174,GP-7,-89.7485362,46.7737785
6941767997,,-89.7334555,46.7788713
353934732,Government Peak,-89.7309924,46.7832798
353920618,Cloud Peak,-89.7301580,46.8118901
369019247,Carp Lake Mine,-89.7273687,46.8164087
4179871896,White Pine Extension Outpost,-89.7271423,46.7427653
5770359177,GP-3,-89.7253311,46.7856331
