osm_id,name,x,y
151905904,Arnot,-91.6084527,31.2557302
151542288,Kienstra,-91.6059525,31.2260083
151547345,Artonish,-91.5837297,31.1898972
357950200,Union Church,-91.5809519,31.2010080
151957245,Loch Leven,-91.5751186,31.2087856
357935853,Loch Leven Cemetery,-91.5717853,31.2115632
357936824,McCoy Cemetery,-91.5715076,31.2318407
368386168,Corner Lake,-91.5676184,31.1937856
357925665,Big Island,-91.5606739,31.1890633
357969322,Rock Hill,-91.5551174,31.0362879
357945052,Riverside Cemetery,-91.5540064,31.0598986
357931570,Glasscock Towhead,-91.5534527,31.4085036
357931712,Good Hope Cemetery,-91.5506738,31.2046183
357969373,Saint Joseph Church,-91.5484509,31.0840648
357969340,Saint Joseph Cemetery,-91.5481732,31.0829537
151747797,Fort Adams,-91.5481732,31.0865647
357969320,Blockhouse Hill,-91.5478954,31.0801759
357934642,Johnson Island,-91.5437293,31.2210068
357948774,Steward Island,-91.5431738,31.2312844
357929386,Deer Park Cemetery,-91.5412290,31.1679521
357929390,Deer Park Church,-91.5359512,31.1940627
357933800,Hollywood School,-91.5273400,31.1976735
357969375,Singleton Cemetery,-91.5270621,31.1879515
357950836,Ward Cemetery,-91.5226174,31.1268413
4900269164,,-91.5226055,31.0633224
4900269317,old home site,-91.5205348,31.0710787
357937176,Mess Ridge Cemetery,-91.5170614,31.0368428
357935609,Linwood Cemetery,-91.5137279,31.0129543
357939824,Natchez Island,-91.5117858,31.5273893
357945503,Rosehill Church,-91.5103951,31.1371186
357937201,Middle Ground,-91.5059525,31.6340544
357924100,Arcole Church,-91.4937277,31.0343426
357924098,Arcole Cemetery,-91.4878942,31.0376758
357945815,Saint James Church,-91.4873385,31.0115652
357942787,Pickneyville School,-91.4870608,31.0504534
357930760,First Zion Church,-91.4867835,31.1490626
151554327,Pinckneyville,-91.4809494,31.0160096
357934971,King Solomon Church,-91.4803940,31.0407314
357951845,Woodstock Cemetery,-91.4792829,31.0607310
368385973,Willow Lake,-91.4778956,31.4648900
