osm_id,name,x,y
151867647,Sonora,-95.6594358,40.4980577
2996219393,,-95.6518084,40.3992170
6188575412,,-95.6504461,40.5820840
3887170576,,-95.6427459,40.5415249
358054599,Ellison School,-95.6302679,40.5055577
358050894,Excelsior School,-95.6222098,40.3241675
5890928624,,-95.6216741,40.5438118
151924246,Watson,-95.6205448,40.4769464
358044367,Union School,-95.6094351,40.5702794
358039681,Pleasant Valley School,-95.6035996,40.4766687
151638948,Phelps City,-95.5985986,40.4033346
6187194604,,-95.5953857,40.4854816
6188575417,,-95.5938555,40.4796408
6187194615,,-95.5914617,40.4751421
358047434,Shandy School,-95.5913765,40.4397238
6188575411,,-95.5897933,40.4693392
3886997484,,-95.5838949,40.4757794
151348448,Langdon,-95.5797085,40.3563897
358041209,Saint Peters Church,-95.5794307,40.3522230
358053481,Brickyard Hill,-95.5760983,40.4747242
3887171006,,-95.5735267,40.5758357
358043371,Sunny Slope School,-95.5727668,40.5700016
358053480,Nishnabotna Lake,-95.5694304,40.3597230
358056635,High Creek Church,-95.5688763,40.5094466
7512724945,,-95.5608066,40.4175417
6188575416,,-95.5582908,40.4118725
6188631284,Chesters Chicken,-95.5579998,40.4059946
358040158,Red Star School,-95.5569306,40.4441683
6188575415,,-95.5568343,40.4058813
358023467,Banner School,-95.5552636,40.4127791
6187194616,,-95.5530524,40.4035049
6401685352,,-95.5504881,40.3944838
6188631282,,-95.5502924,40.3971974
6401685357,,-95.5494248,40.3944466
6022759345,,-95.5443124,40.3884674
1770063597,,-95.5401349,40.4166518
6187194605,,-95.5382547,40.3765222
151466047,Linden,-95.5374856,40.4863910
6188631281,,-95.5365622,40.3724109
6022759346,,-95.5353257,40.3728298
358030098,Fairview School,-95.5308186,40.4686130
6187194617,,-95.5280784,40.3658593
358034700,Lone Cedar School,-95.5258185,40.4961134
358074864,Oswald Lake,-95.5235958,40.4450016
6188631283,,-95.5232343,40.3614244
358037934,New Hope School,-95.5208179,40.4397237
358035810,Miller School,-95.5169311,40.5708349
151589307,Rock Port,-95.5169286,40.4111122
358059036,Memorial Park,-95.5108173,40.4086122
151514344,Nishnabotna,-95.5085941,40.2958327
358044455,Valley View School,-95.4963717,40.3299998
6022759359,,-95.4923111,40.3011327
358036745,Mount Pleasant School,-95.4877607,40.3733335
358034299,Liberty School,-95.4824834,40.4666681
358074803,Happy Hollow Lake,-95.4819269,40.3199993
358037473,National School,-95.4808166,40.4380566
6187194606,,-95.4644859,40.2708244
358038719,Opp School,-95.4627603,40.4080557
6188631280,,-95.4592690,40.2662564
151896064,Corning,-95.4541479,40.2483312
6187194618,,-95.4512411,40.2609022
358053523,Rupes Grove Church,-95.4510931,40.3727772
358033251,Irish Grove School,-95.4497038,40.3283321
151413109,Farmers City,-95.4491510,40.5530562
358043927,Thurnau State Wildlife Area,-95.4483145,40.1736101
358040871,Saint Johns Church,-95.4460239,40.5387987
6188631270,,-95.4456326,40.2560531
358040603,Royal School,-95.4449825,40.4663894
358073588,Jeff Broady Lake,-95.4435934,40.4450002
358047353,Angel School,-95.4433146,40.2861092
358029483,English Grove Church,-95.4432265,40.3435413
358074418,Centerview Fishing Lake,-95.4419268,40.4483335
358058404,Lake Shore School,-95.4413698,40.2027762
358040637,Rupes Grove School,-95.4399818,40.3874993
358039870,Prairie Flower School,-95.4383150,40.3655546
358058402,Marietta School,-95.4283140,40.1713876
358041207,Saint Peters Church,-95.4283140,40.1824985
358026747,Central School,-95.4258152,40.4236106
151828900,Milton,-95.4172027,40.2847198
358071149,KTRX-FM (Tarkio),-95.4113703,40.4241658
358034848,Loss Grove School,-95.4063705,40.4608327
368927364,Sims Lake,-95.4063690,40.1636095
358027452,Cloverhill School,-95.3997039,40.4958330
358058403,Star School,-95.3988686,40.2488857
151741557,Fairfax,-95.3933137,40.3386088
5823597750,Fairfax R-III Schools,-95.3896561,40.3394955
358076855,Lescher Lake,-95.3852572,40.2266637
3886996280,,-95.3850495,40.3419190
358039641,Pleasant Ridge School,-95.3791465,40.3205528
151547383,Tarkio,-95.3777586,40.4402763
8126924693,,-95.3769739,40.1969268
358038397,Oak Grove School,-95.3769248,40.3791645
6022759360,,-95.3756136,40.2079118
358066101,Sharps Grove Church,-95.3744236,40.2508297
151616760,Craig,-95.3710903,40.1947194
358032955,Houston School,-95.3688682,40.2849966
6187194607,,-95.3679344,40.2015737
358026673,Center View School,-95.3584849,40.4655030
6187194619,,-95.3568140,40.1908115
6187194608,,-95.3566664,40.1938295
358026600,Center Grove School,-95.3541474,40.4947207
358047400,Morning Sun School,-95.3533148,40.5244428
358053454,Center View Lake,-95.3519252,40.4986096
358034796,Long Branch School,-95.3499793,40.3497191
151873793,Big Lake,-95.3499789,40.0819429
6188631269,,-95.3493051,40.1880146
358053119,Big Lake State Park,-95.3430344,40.0847205
358026582,Center Grove Church,-95.3362722,40.4937440
358032819,Homer School,-95.3305351,40.4222194
7705352351,,-95.3302245,40.4039341
7705352309,,-95.3299455,40.4074846
7705352366,,-95.3292813,40.4019781
7705352301,,-95.3292222,40.4056093
7705352359,,-95.3291176,40.4037611
7705352293,,-95.3284002,40.4063455
7705352387,,-95.3280036,40.4028111
7705352350,,-95.3269051,40.4036327
7705352367,,-95.3268624,40.4001813
7705352386,,-95.3268100,40.4019311
7705352326,,-95.3267513,40.4054952
7705352368,,-95.3265328,40.3984416
358046064,Wolf School,-95.3260896,40.3211073
7705352336,,-95.3244580,40.4037771
7705352337,,-95.3244526,40.4019445
358029292,Elk Dale School,-95.3235891,40.2774957
358044818,Wade School,-95.3213678,40.3783299
7705352422,,-95.3196104,40.3963979
151887666,Westboro,-95.3191476,40.5347196
151668085,Fortescue,-95.3183117,40.0522205
7705352399,,-95.3161353,40.3937956
358034771,Lonesome School,-95.3138665,40.2336066
358076159,Nauman Lake,-95.3135887,40.2133291
358039597,Pleasant Mound School,-95.3113683,40.4513859
358029790,Evening Star School,-95.3110895,40.3508294
358075181,Browning Lake,-95.3052553,40.1816628
358033102,Idlewild School,-95.3024780,40.0258316
