osm_id,name,x,y
357923351,The Scout,-116.0497706,48.8715800
358651730,Line Point,-116.0491790,48.7655804
44153478,,-116.0480221,48.5512519
1916540518,,-116.0471585,48.6177238
357925905,East Fork Peak,-116.0459984,48.2499368
5899131485,Troy Montana Log Cabins,-116.0457594,48.6283664
357927664,Keno Mountain,-116.0365824,48.8377251
357927080,Haystack Mountain,-116.0365775,48.6968871
357923501,American Mountain,-116.0335297,48.9616195
357931051,Survey Mountain,-116.0315602,48.3682718
357930388,Savage Mountain,-116.0301647,48.2413257
357923855,Beaver Peak,-116.0285074,48.0429818
357925690,Drift Peak,-116.0282222,48.2929933
357923292,Divide Peak,-116.0243421,47.9663127
357928866,Murphy Mountain,-116.0224127,48.7452215
357924576,Canuck Peak,-116.0215844,48.9338406
2311605623,,-116.0158735,48.3637466
44003062,,-116.0122016,48.9017078
2376633146,,-116.0090849,48.9213456
357924493,Burnt Peak,-116.0068361,48.3549390
43928401,,-116.0055704,48.8290075
357925232,Cross Mountain,-116.0054666,48.7243882
357940073,Thunder Mountain,-116.0007471,48.8082800
357934165,Cross Mountain,-115.9999108,48.7213328
369140992,Big Eight Mine,-115.9923962,48.4374402
2383140334,,-115.9915731,48.8238141
369144684,Big Eight Mine,-115.9904516,48.4360513
369141421,Snowstorm Mine,-115.9904513,48.4313290
43968551,,-115.9884792,48.8218135
357939379,Spar Peak,-115.9868306,48.2238260
369144738,Snowstorm Mine,-115.9862847,48.4332736
369140985,Black Diamond Mine,-115.9829629,48.6613323
357934803,Fatman Mountain,-115.9829477,48.1018751
357938475,Red Top Mountain,-115.9824116,48.7513337
357939427,Spruce Mountain,-115.9823887,48.3157726
357936970,Middle Mountain,-115.9804449,48.1582671
357938890,Sawtooth Mountain,-115.9776669,48.1638231
2443612016,,-115.9752918,48.4966592
2407628383,Yaak River Campground,-115.9750499,48.5626751
357937405,Newton Mountain,-115.9749089,48.6988330
357939490,Stanley Peak,-115.9748871,48.2893836
369144757,Hale Creek Mine,-115.9746189,48.4541075
369144735,Lower Hale Mine,-115.9740633,48.4527186
2407628382,Yaak River Campground,-115.9739265,48.5604162
357935133,Goat Mountain,-115.9737828,48.4066071
1997617995,Monument 223,-115.9721642,49.0009386
357938107,Preacher Mountain,-115.9721198,48.4713299
710844690,,-115.9701651,48.5617096
43907965,,-115.9699202,48.5952285
369147223,Lucky Star Mine,-115.9696135,48.1179876
369147224,Blue Creek Mine,-115.9690579,48.1202099
150951135,Yakt,-115.9687902,48.5454976
357937448,Northwest Peak,-115.9679725,48.9632868
357934246,Davis Mountain,-115.9679718,48.9382858
2524845549,,-115.9670785,48.2412109
369147210,Gopher Hole Mine,-115.9643359,48.1124319
369147214,Broken Hill Mine,-115.9635023,48.1179878
369140995,Brown Hill Mine,-115.9635023,48.1193767
4920623195,,-115.9620883,48.0592994
357980477,Northwest Peak Scenic Area,-115.9593607,48.9499531
357978531,Heron Post Office,-115.9585325,48.0577855
150965060,Heron,-115.9572880,48.0576994
357938061,Pony Mountain,-115.9565572,48.3543848
44195958,,-115.9565175,48.2713270
2524845749,Spar Lake Campground,-115.9534129,48.2698780
357938569,Rock Candy Mountain,-115.9507479,48.8974512
43787342,,-115.9500171,48.4874675
357934644,Eighty Peak,-115.9476732,47.8885363
357939950,Tepee Mountain,-115.9471281,48.6566109
369141328,Montana Morning Mine,-115.9465606,48.4188301
357933136,Billiard Table,-115.9429464,48.1213219
357938652,Ross Point,-115.9418315,48.1974371
2371317842,,-115.9404032,48.9496066
369141117,Grouse Mountain Mine,-115.9396136,48.3771632
2371318191,,-115.9387684,48.9828822
357935441,Grouse Mountain,-115.9373917,48.3838301
1997617997,Monument 224,-115.9368319,49.0009733
357933376,Bottle Point,-115.9348950,47.8763142
357936584,Lone Cliff,-115.9340631,47.9677042
357936136,Keystone Mountain,-115.9335190,48.7085563
44028384,,-115.9284518,48.8978349
357939466,Star Peak,-115.9276699,48.0932653
369145357,Grouse Mountain Number 6 Mine,-115.9271132,48.3754970
357932764,Mount Baldy,-115.9254675,48.8343936
369145345,Giant Sunrise Mine,-115.9254469,48.3829971
2579608426,Big Eddy Campground,-115.9247610,48.0666266
357936772,Marmot Mountain,-115.9243604,48.9752323
2449306206,,-115.9215064,48.5602654
369144744,Grouse Mountain Number 3 Mine,-115.9212799,48.3771638
369144739,Grouse Mountain Number 4 Mine,-115.9212798,48.3752193
1718621241,,-115.9201983,48.5011396
357941387,Ross Creek Cedars Scenic Area,-115.9190878,48.2064745
1718606207,Kootenai River Campground,-115.9187941,48.4996193
369147218,Red Fir/Amazon Mine,-115.9185041,48.0749312
2580223100,Red Top Campground,-115.9184662,48.7610644
369147212,Fredrick and Wind Mine,-115.9176697,48.0963213
369144749,Grouse Mountain Number 7 Mine,-115.9176688,48.3791084
369144751,Silver Grouse Mine,-115.9171132,48.3799417
369141234,Liberty Mine,-115.9168369,48.4079975
357934996,Friday Hill,-115.9165743,48.7143901
369145387,Crescent Mine,-115.9165583,48.3910529
357938645,Ross Creek Picnic Area,-115.9149432,48.2087444
357934073,Cooney Peak,-115.9149163,48.9963443
2312137131,,-115.9132710,48.2385078
2377570888,,-115.9131595,48.8877235
369144742,Grouse Mountain Number 2 Mine,-115.9126684,48.3735529
369147208,Holliday Mine,-115.9121185,47.9749271
