osm_id,name,x,y
356511719,Indian River Hill,-104.0521658,42.2444070
356502026,Indian River Hill,-104.0513325,42.2419070
357777246,Coffee Siding Historical Marker,-104.0479773,42.6620488
151802708,Henry,-104.0474490,41.9985750
134902214,,-104.0457897,41.1870211
134889888,,-104.0440650,41.1814280
366490809,Lyman Public Library,-104.0393687,41.9171661
357775431,Tri-State Diversion Reservoir,-104.0338375,41.9849644
357781628,Panorama Point,-104.0315986,41.0077971
357753391,Chalk Buttes School,-104.0307793,42.1155189
357795582,Panorama Point,-104.0296711,41.0105396
357765132,Turner Peak,-104.0196560,42.8596898
357754777,Eagle Nest,-104.0146722,41.7666372
357773459,Turner Reservoir,-104.0104885,42.8849678
6177772034,,-104.0087928,41.9725889
151922697,Sears,-104.0055043,41.8933001
151737370,Janise,-104.0035602,41.8530236
357773657,Piester Reservoir,-104.0004861,42.9983019
357773482,Shepherd Reservoir,-103.9945473,42.8660301
357773510,Schnurr Reservoir Number 2,-103.9902397,42.9157342
151760751,Hartman,-103.9852264,41.8766340
357764501,Wheatland School,-103.9846713,41.8138580
357773454,Caladonia Reservoir,-103.9837387,42.8337640
357753387,Chalk Buttes,-103.9752225,42.1357963
357758513,Lowery Reservoir,-103.9699486,41.8438571
151336218,Joyce,-103.9685592,41.9280214
357773468,Dout Reservoir Number 1,-103.9676920,42.8439320
357773534,Hay Creek Wallace Reservoir,-103.9649132,42.9947299
1200546898,,-103.9621776,41.7990762
357757837,Kiowa Community Church,-103.9560597,41.8421904
151680870,Stegall,-103.9474481,41.8713563
4977598359,,-103.9466740,41.6686952
357773496,Snyder Reservoir,-103.9429612,42.8391909
357773524,Wallace Reservoir,-103.9421192,42.9803121
357771965,Nelson Reservoir,-103.9388374,41.3116463
151411415,Story,-103.9385297,42.9299491
151537976,Roach,-103.9341134,42.0221860
151846652,South Morrill,-103.9282809,41.9296880
357774126,Parsons Reservoir,-103.9271575,42.6466324
366491385,Morrill Police Department,-103.9263362,41.9632982
1708909986,,-103.9257692,41.9646218
357771573,Lippencott Reservoir,-103.9255033,41.8966334
357777359,Morrill Elementary School,-103.9241139,41.9666315
357777361,Morrill High School,-103.9213361,41.9660760
151903712,Scoville,-103.9180022,42.0155195
357777272,Chalk Butte Public School,-103.9171661,42.1513519
357760581,Pleasant Grove Church,-103.9113354,42.0210750
357751983,Bald Peak,-103.9105033,41.8752451
357762969,Signal Butte,-103.9066148,41.7971916
151929298,Spurior Place,-103.9054995,42.1446853
357777275,Panhandle School,-103.9054941,42.4366305
357773618,Wasserburger Reservoir Number 1,-103.8971541,42.8266338
134887006,,-103.8930217,41.1900916
134901488,,-103.8928668,41.2292478
357778207,Calvary United Methodist Church,-103.8921691,41.2335919
357778204,Bushnell Post Office,-103.8918913,41.2322031
357773529,Anderson Reservoir,-103.8871337,42.9454517
357773638,Little Red Reservoir,-103.8869571,42.8006747
1795191514,,-103.8854179,41.9384221
151455911,Harrison,-103.8830420,42.6873162
136801098,,-103.8830079,42.6912761
357771975,James Reservoir Number 2,-103.8821688,41.2116478
357773953,Jordan Reservoir,-103.8762711,42.8347982
357771522,Browns Canyon Reservoir Number 1,-103.8755030,41.8583011
7581327711,,-103.8733935,41.4854885
151841197,Redus,-103.8713354,41.9994085
357776939,School Lands Reservoir,-103.8705014,41.0966494
357778214,Nebraska Historical Marker,-103.8689976,41.1899099
357771163,Brauer Reservoir,-103.8671703,41.4983096
357755022,Mount Edna,-103.8641074,42.2905184
357773473,Plunkett Reservoir,-103.8638204,42.8083002
5062546054,Robidoux Pass,-103.8533809,41.8152146
357773575,Henry Reservoir Number 1,-103.8474366,42.9906955
357773571,Henry Reservoir Number 2,-103.8454845,42.9849675
357771583,Fanning Reservoir,-103.8405025,41.8549678
357766216,School Number 22,-103.8352226,41.0610943
357777243,Fort Laramie - Fort Robinson Trail Historical Marker,-103.8338241,42.5660760
151427188,Pelton,-103.8332799,41.9207995
151720478,Doyle,-103.8332795,41.9894089
357778212,Oliver Reservoir State Recreation Area,-103.8316120,41.2302586
357768284,KMOR-FM (Scottsbluff),-103.8271692,41.8396904
7581495765,,-103.8257267,41.4742856
357773609,Spring Creek Reservoir,-103.8257237,42.7635355
357758273,Lodgepole Wayside Park,-103.8243897,41.2297030
357771182,Scrivens Reservoir,-103.8238361,41.6549726
357771555,Gering Valley G Upper Reservoir,-103.8221693,41.8083023
357773463,Crystal Lake Reservoir,-103.8204868,42.7816334
357771210,Anderson Reservoir,-103.8155024,41.5349754
357773520,Mader Reservoir Number 1,-103.8140949,42.9860745
357773950,Stiver South Reservoir,-103.8138355,41.8533012
136114676,,-103.8135363,41.9427632
151382629,Hubbard Corner,-103.8132799,41.8721896
151461347,South Mitchell,-103.8132797,41.9110775
357777344,Mitchell Secondary School,-103.8130017,41.9463545
357777562,Holy Apostles Episcopal Church,-103.8119074,41.9453169
357777629,Mitchell Care Center,-103.8116579,41.9503860
357760215,Pants Butte,-103.8113205,42.7410776
357760080,Oliver Reservoir,-103.8107782,41.2238698
357771938,Oliver Reservoir,-103.8105004,41.2216476
5062546055,Robidoux Trading Post,-103.8104611,41.7659154
151413050,Mitchell,-103.8086637,41.9401658
357777560,Federated Churches,-103.8084178,41.9426257
357771526,Ouderkirk Reservoir,-103.8071692,41.7816363
357777342,Mitchell Elementary School,-103.8055017,41.9424657
357773557,Mader Reservoir Number 2,-103.8053401,42.9855094
357773501,Lower Jordan Reservoir,-103.8019245,42.9248149
357773487,Andrews Reservoir,-103.7993737,42.7785310
357773945,Stiver North Reservoir,-103.7988353,41.8666342
357771569,Gering Valley Reservoir G Lower,-103.7971690,41.8049690
357771550,Gering Valley Reservoir F,-103.7938357,41.7749697
151626990,Agate,-103.7938264,42.4199638
357777571,Mitchell Evangelical Free Church,-103.7936228,41.9425578
357773643,Merlin Mader Reservoir Number 1,-103.7904838,42.9833005
2940002089,,-103.7881765,42.4250225
151802435,Oliver,-103.7879999,41.2294252
357773580,Zimmerman Reservoir,-103.7840943,42.8062369
357771587,Yount Reservoir,-103.7838353,41.8183020
357771205,Cross Group Reservoir,-103.7821684,41.5433084
357773623,Bill Coffee Reservoir Number 1,-103.7814329,42.8733845
357761475,Rifle Sight,-103.7802241,41.8313573
357777568,Mitchell Berean Church,-103.7779989,41.9349641
357773538,Mader Reservoir Number 3,-103.7771504,42.9833004
8258605625,,-103.7758057,42.3862287
357777347,Haig School,-103.7741128,41.8660786
151615559,Jane,-103.7738347,41.9246883
357752591,Bodarc School,-103.7671527,42.7696887
151778937,Haig,-103.7591125,41.8794116
357761299,Rattlesnake Hill,-103.7577217,42.0741306
357771980,Lukassen Reservoir,-103.7562571,41.2589053
357771541,Gering Valley Reservoir E,-103.7521686,41.7549701
357778226,Lovers Leap Butte,-103.7474453,41.5219199
357778255,Banner County Elementary School,-103.7455221,41.5583954
357773614,Wiedenfeld Reservoir Number 1,-103.7454833,42.9783003
132943859,,-103.7433320,41.5560737
357773566,Eberspecher Reservoir,-103.7406211,42.7776891
357766969,School Number 5,-103.7399431,41.2333139
357778250,Hull United Methodist Church,-103.7385819,41.5564590
357775447,Coffee Reservoir,-103.7371512,42.8583001
357773604,Wickersham Reservoir Number 2,-103.7370162,42.7943817
357773478,Wickersham Reservoir,-103.7355156,42.8056458
357771952,Leek Reservoir,-103.7338323,41.3133126
151440444,Andrews,-103.7338212,42.6313544
2940004594,,-103.7332621,42.4255932
357757012,Hogback Mountain,-103.7324455,41.6655277
151450170,Costin,-103.7313343,41.8644119
357777648,Fort Mitchell Historical Marker,-103.7310566,41.8430236
357771546,Gering Valley Reservoir D,-103.7305014,41.7416370
357771578,Frank Reservoir,-103.7299587,41.8339182
357763682,The Hat,-103.7299433,42.0788528
357765043,Immaculate Conception Church,-103.7299281,42.9219114
357773561,Semroska Reservoir,-103.7296359,42.9541598
151539161,Montrose,-103.7288204,42.9223700
357765176,Warbonnet Battlefield Monument,-103.7288169,42.9271892
357777030,Carnegie Hill,-103.7280174,42.4163097
357753643,Cody-Yellowhand Battlefield,-103.7279836,42.9238559
357765140,Warbonnet Battlefield,-103.7279836,42.9266337
357777032,University Hill,-103.7273620,42.4177170
357771565,Gering Valley Reservoir H,-103.7271678,41.8099688
2940004514,,-103.7267362,42.4157306
2940004567,,-103.7262411,42.4224883
2940004515,,-103.7252255,42.4163576
357775453,Skavdahl Reservoir,-103.7157868,42.4349640
151431092,Covert,-103.7155005,41.8969112
5102486900,Mitchell Pass,-103.7142410,41.8308029
4590828063,Sportsman Inn,-103.7141718,41.8979868
7503840314,Coyote Pass,-103.7138826,41.8259678
5102486903,Sentinel Rock,-103.7138273,41.8283827
357773515,Serres Reservoir Number 2,-103.7136917,42.8072287
2939992935,,-103.7133180,41.8317413
357753220,Cedar Valley Chapel,-103.7131476,41.7707997
357764554,Wildcat Mountain,-103.7124450,41.6621944
5093932797,,-103.7122411,41.8324193
5093932817,,-103.7109373,41.8295216
357771705,Scott Reservoir,-103.7105005,41.6383060
5102486882,Eagle Rock,-103.7097455,41.8309570
5093908638,,-103.7092498,41.8290418
5102483610,Crown Rock,-103.7089569,41.8212753
357765179,Cody-Yellowhand Battlefield Monument,-103.7082610,42.9283005
357759557,Nansen Island,-103.7080005,41.8580232
2600609679,Scotts Bluff National Monument Visitor Center,-103.7074807,41.8286261
