osm_id,name,x,y
357563510,Crystal Bay Post Office,-120.0040787,39.2260181
7176628468,Jim Kelley셲 Nugget,-120.0039467,39.2280105
141037410,Crystal Bay,-120.0020402,39.2275972
8188414835,,-120.0013196,39.2872791
357557559,Mount Baldy,-120.0001918,39.2785182
6404727791,Three Corners Monument,-119.9994941,41.9949400
369159774,Buckhorn Mine,-119.9993668,39.8210178
369160619,Antelope Mine,-119.9993662,39.7346297
4481003980,,-119.9987034,39.5041750
4481003646,,-119.9984069,39.5050836
4481003897,,-119.9980871,39.5012473
4481003842,,-119.9978833,39.4992770
4481003766,,-119.9975882,39.4975054
4481003730,,-119.9972288,39.4961062
4481003704,,-119.9967460,39.4946449
357562095,Heinz Post Office,-119.9943664,39.6615749
150955658,Fleish,-119.9938109,39.4812982
357558778,Rifle Peak,-119.9918585,39.2893518
3065878501,Crystal Bay Cove,-119.9917910,39.2492105
150954391,Border Town,-119.9913039,39.6757447
8166415593,,-119.9912178,39.7308076
357551463,Red Rock,-119.9907561,39.9001837
366087955,Verdi Fire Department,-119.9890891,39.5179650
8166414475,,-119.9888574,39.8211508
2710703749,Crystal Peak Golf Course (closed),-119.9881942,39.5226761
8163612609,,-119.9874089,39.8253437
357553658,Sheep Camp Draw Reservoir,-119.9838182,40.4712911
7342302448,Rocky Peak,-119.9837370,39.7120400
357556420,Fort Sage Mountains,-119.9813128,40.0299049
357558792,Rose Knob,-119.9810249,39.2901853
357557776,Cone Peak,-119.9799203,39.4562981
357562033,Hausen Post Office,-119.9796571,41.1604524
357549683,State Line Peak,-119.9796461,40.0299049
4359544813,,-119.9783992,39.2668519
150954484,Cold Springs,-119.9765840,39.6801905
7342302526,Cold Peak,-119.9765273,39.7578266
357553546,Jenkins Troughs,-119.9740960,40.5201796
8166414477,Lake Spring,-119.9719228,39.7975209
357552146,Burnt Cedar Beach,-119.9688005,39.2457406
6788938110,Preston Field Playground,-119.9684691,39.2515860
7342302447,Cold Spring,-119.9668069,39.7183122
