osm_id,name,x,y
3097491254,"Riverside Hotel, an Ascend Hotel Collection Member",-72.5506705,42.8835824
7816381066,New Hampshire Liquor & Wine Outlet,-72.5452319,42.8836069
2030594566,stone post view,-72.5417450,42.8572954
947111532,,-72.5405683,42.8568704
7816381073,New Hampshire Liquor & Wine Outlet,-72.5385012,42.8196820
357728701,Wantastiquet Mountain,-72.5362007,42.8636929
761311398,Old Ferry Road,-72.5361100,42.8931540
7908614419,Mine Ledge,-72.5358432,42.8557006
357718910,Catsbane Island,-72.5289783,42.9045258
357741191,Hinsdale Raceway,-72.5287005,42.8111934
2030658354,,-72.5278898,42.8585290
357724942,Oak Hill,-72.5223115,42.8123045
4509183235,Chesterfield Inn,-72.5222618,42.8971528
357724686,New Boston Cemetery,-72.5203670,42.8681374
2029404844,"Madame Sherri's ""Castle""",-72.5197370,42.8644615
158852104,North Hinsdale,-72.5187003,42.8250821
357741339,North Hinsdale Community Church,-72.5187003,42.8259154
2029405201,,-72.5179239,42.8647974
357727226,Sargent Hill,-72.5173114,42.8886927
158860514,West Chesterfield,-72.5156447,42.9042482
6574676607,,-72.5154114,42.7940444
366495286,Antique Carriage and Sleigh Museum,-72.5145336,42.9048037
947116230,,-72.5141153,42.8852512
357719694,Daniels Mountain,-72.5081445,42.8545263
357728445,Turkey Hill,-72.5070335,42.9578588
335871951,,-72.5053414,42.7873507
3200827537,,-72.5047787,42.7866038
357727977,Streeter Hill,-72.4992555,42.9225813
947115123,,-72.4964054,42.9423684
357741727,Bear Mountain State Forest,-72.4959221,42.8431376
357741761,Saint Josephs Cemetery,-72.4939775,42.7931380
357717476,Bald Hill,-72.4931443,42.9398034
357717786,Bear Mountain,-72.4917553,42.8261933
357719426,Corner School,-72.4870331,42.9623032
158822975,Hinsdale,-72.4864773,42.7861936
357733617,Ashuelot River Reservoir,-72.4845329,42.7850825
357718795,Cannon Hill,-72.4814773,42.7828604
8104887350,Bacon Me Crazy,-72.4812013,42.7869231
357741756,Pine Grove Cemetery,-72.4786995,42.7811937
3200827529,,-72.4778236,42.7841006
158863873,Poocham,-72.4773107,42.9506367
357726083,Porter Hill,-72.4761995,42.8275822
357719722,Davis Hill,-72.4745328,42.8545263
4464463740,Parker's Auto,-72.4723392,42.9039916
357718859,Cass Hill,-72.4714773,42.9595254
3200827518,,-72.4712965,42.7586033
158869061,Chesterfield,-72.4703661,42.8873038
357740922,Asbury United Methodist Church,-72.4703661,42.8881372
357741007,Chesterfield Central School,-72.4695328,42.8867483
357722916,Kilburn Pond,-72.4695327,42.8250822
158852298,Dole Junction,-72.4689770,42.7545273
357734323,Hubner Pond,-72.4678660,42.8700818
357718086,Biscuit Hill,-72.4661993,42.7820270
357728334,Tower Hill,-72.4648103,42.7709160
357741470,Saint Margaret Mary Church,-72.4606437,42.9009148
357722384,Hubbard Hill,-72.4592548,42.8631375
357718102,Bishop Mountain,-72.4578658,42.8078602
357725278,Park Hill,-72.4575883,42.9739697
357725873,Mount Pisgah,-72.4573103,42.8359154
585386078,Keene Plant,-72.4565000,42.9671600
357732939,Ashuelot River Reservoir,-72.4561991,42.7884159
357731371,WYRY-FM (Hinsdale),-72.4548102,42.7759160
357741730,Pisgah State Park,-72.4536991,42.8403599
7973778881,Eel Rocks,-72.4535425,42.9089043
357723113,Ladder Hill,-72.4528657,42.8000825
357741367,Pierces Island State Park,-72.4514769,42.9059147
357741336,North Cemetery,-72.4492547,42.9678586
7973778879,Whale Back,-72.4491163,42.9116787
7973778880,South Reef,-72.4490098,42.9069154
357725862,Pisgah Reservoir,-72.4489767,42.8106380
7363336711,North Walpole Village Park,-72.4485170,43.1427895
158842365,North Walpole,-72.4481440,43.1389666
7363336712,,-72.4479356,43.1420782
357727647,South Parish Cemetery,-72.4478654,42.7364722
2942457197,China Garden,-72.4477245,43.1365087
7973773898,Wheeler Point,-72.4472278,42.9159875
357728410,Tufts Mountain,-72.4470323,42.8028603
357741345,North Walpole Elementary School,-72.4469252,43.1426386
366665636,Old Fire House,-72.4461995,43.1356334
357727263,Schofield Mountain,-72.4450878,42.7639718
2951506659,,-72.4447734,43.1357312
366667482,Rockingham Town Hall;Bellows Falls Opera House,-72.4446662,43.1340546
2621515855,Specialty Cleaning Services,-72.4446274,42.7344621
357724594,Pisgah Mountain Range,-72.4445323,42.8281378
366667816,Great Falls Regional Chamber of Commerce,-72.4441617,43.1333090
7973778878,North Reef,-72.4439949,42.9147096
356557339,Bellows Falls Post Office,-72.4429976,43.1335783
366668011,Bellows Falls Historical Society Museum,-72.4429569,43.1323335
357732956,Ashuelot River Reservoir,-72.4428655,42.7884160
158819256,Westmoreland,-72.4423102,42.9620253
366668241,Fish Ladder and New England Power Company Information Center,-72.4417550,43.1328556
357719095,Chestnut Hill,-72.4414766,42.8331378
356557521,The Square,-72.4410454,43.1341987
368382855,Dogwood Swamp,-72.4392544,42.8373044
3142737046,,-72.4388715,43.0862158
158844433,Trapshire,-72.4384218,43.1950766
158845331,South Charlestown,-72.4373107,43.1795213
158868967,Camp Notre Dame,-72.4373101,42.9200813
3141076742,John & Steward Pancake house,-72.4364769,43.0043874
6919090399,View of Bellows Falls,-72.4351898,43.1337552
158808960,Westmoreland Depot,-72.4334213,43.0020248
947115912,,-72.4332321,42.7601441
947124098,,-72.4325415,43.1373017
357729061,Windy Hill,-72.4309211,42.9542476
357741478,Saint Michaels Church,-72.4298097,42.7817495
357732743,Mill Pond,-72.4295325,43.0917453
3141080404,Walgreens,-72.4292815,43.1063104
357720376,Fall Mountain,-72.4292549,43.1492442
357721456,Gun Mountain,-72.4289763,42.7575830
3141083329,Dunkin' Donuts,-72.4288269,43.1128800
3142727844,Diamond Pizza,-72.4286931,43.1041494
366495197,Walpole Town Hall,-72.4284706,43.0793484
357741612,Walpole Primary School,-72.4281436,43.0861898
7797410945,Walpole Creamery,-72.4273994,43.1118920
158837054,Cold River,-72.4273104,43.1223002
357722216,Hooper Hill,-72.4270324,43.0620236
947122921,,-72.4267989,42.9937416
357741603,Walpole Middle School,-72.4267547,43.0786900
7816359135,New Hampshire Liquor & Wine Outlet,-72.4263572,43.1060120
357727726,Spofford Lake,-72.4261988,42.9100814
357720712,Fullam Pond,-72.4261987,42.8534153
158862133,Walpole,-72.4259950,43.0799220
357741618,Walpole Village Cemetery,-72.4259214,43.0878565
357740790,South Parish Unitarian Church,-72.4248737,43.2360234
357740777,Saint Lukes Episcopal Church,-72.4248107,43.2342425
366494997,Bridge Memorial Library,-72.4248102,43.0792455
158896208,Charlestown,-72.4246220,43.2387000
366495291,Walpole Historical Society Building,-72.4239768,43.0778567
357718704,Butterfield Hill,-72.4239766,42.9786917
357740575,Charlestown Post Office,-72.4236996,43.2345202
158901171,Ashuelot,-72.4236985,42.7775828
357740570,Charlestown Middle School,-72.4228662,43.2325758
5829454372,"M & W Soils Engineering, Inc.",-72.4206485,43.2358662
357725885,Pistareen Mountain,-72.4206431,42.9164702
357740581,Charlestown Primary School,-72.4203661,43.2286870
357741514,Spofford United Methodist Church,-72.4200876,42.9050814
947110882,,-72.4198548,43.2542480
357733270,Clay Brook Reservoir,-72.4195329,43.2450756
158918933,Spofford,-72.4195320,42.9070258
357728323,Torrey Hill,-72.4175876,42.9631364
357740610,Connecticut River State Park,-72.4161995,43.2209093
158872725,Snumshire,-72.4153661,43.2484088
357727123,Saint Peters Cemetery,-72.4150881,43.1234113
357740926,Ashuelot Post Office,-72.4142539,42.7761940
357717152,Hogback Mountain,-72.4134204,42.7264726
357723014,Kingsbury Hill,-72.4128655,43.0586903
357725201,Owls Hill,-72.4128653,42.9723029
357717451,Baker Hill,-72.4120316,42.7864717
947120788,,-72.4111670,43.2368776
357718456,Breakneck Hill,-72.4109217,43.2378535
357728697,Walpole Reservoir,-72.4081433,43.0811899
357741011,Chesterfield Gorge State Park,-72.4078651,42.9139702
357740636,Fall Mountain Regional High School,-72.4056436,43.1584106
357729114,Woods Hill,-72.4050870,42.7495276
357728003,Sugar Hill,-72.4048093,42.7978605
4595384423,,-72.4047465,42.9143856
357717583,Barber Mountain,-72.4028675,43.3770177
357726436,Rattlesnake Hill,-72.4020331,43.2809083
357725236,Page Hill,-72.4020326,43.1989654
7339616505,"Zen Massage and Bodyworks, LLC.",-72.4015562,43.2621566
357720952,Glidden Island,-72.4014777,43.3006302
357717560,Balls Hill,-72.3986992,43.1884100
