osm_id,name,x,y
357721772,Finns Point National Cemetery,-75.5549241,39.6112237
357724328,Killcohook National Wildlife Refuge,-75.5532572,39.6203905
158622703,Fort Mott,-75.5502017,39.6048348
357718073,,-75.5360393,39.4756735
7483298888,Finns Point Lighthouse,-75.5339072,39.6170786
357751467,Penn Beach Elementary School,-75.5296861,39.6412272
158649932,Penn Beach,-75.5274223,39.6420574
357725815,Money Island,-75.5271460,39.5078900
357717735,Supawna Meadows National Wildlife Refuge,-75.5260335,39.6256685
158275053,Fort Elfsborg,-75.5254788,39.5484457
5260252432,JG Cook's Riverview Inn,-75.5249333,39.6567854
357720962,Eagle Island,-75.5232568,39.5192790
6975345782,,-75.5216170,39.6572268
357751259,Pennsville Memorial High School,-75.5190931,39.6502183
158630408,Oakwood Beach,-75.5185339,39.5551125
357735664,Elsinboro Elementary School,-75.5185217,39.5512156
367689394,Elsinboro Fire Company,-75.5179393,39.5537357
158309507,Pennsville,-75.5165881,39.6534464
158311337,Central Park,-75.5146435,39.6598354
357727724,Queen of the Apostles Church,-75.5143660,39.6345574
158572119,Church Landing,-75.5107542,39.6759466
157645131,Churchtown,-75.5099209,39.6720577
157630134,Mahoneyville,-75.5096436,39.6323352
6267422711,Penguin Rentals,-75.5090615,39.6658634
357750820,Park Bible Academy School,-75.5081229,39.6575965
5597295821,,-75.5063529,39.6735135
357719614,Central Park Elementary School,-75.5060547,39.6614870
357731169,Union School,-75.5054779,39.5420569
368395499,Supawna Meadows,-75.5054774,39.5817794
357728517,Saint Georges Church,-75.5035316,39.6717800
357735667,Christian Life Center,-75.5026990,39.6176130
357723186,Hickory Island,-75.5015883,39.5765016
157549628,Harrisonville,-75.4968656,39.6017796
157608914,Sinnickson Landing,-75.4957548,39.5698349
786430170,McDonald's,-75.4954289,39.6773128
5065049121,Dunkin' Donuts,-75.4949843,39.6781101
368395160,Abbots Meadow,-75.4946446,39.5087234
158521875,Beaver Dam,-75.4921424,39.6503910
367687681,Deepwater Fire Department,-75.4910148,39.6830625
158617835,Glenside,-75.4882531,39.6665023
368395567,Stoney Island Meadow,-75.4879763,39.5931685
3639252276,Blink,-75.4843049,39.6834799
368395428,Mud Hole Meadow,-75.4829757,39.6228909
3639262719,,-75.4808821,39.5617249
1013663290,Salem Oak Diner,-75.4783058,39.5748035
5693104699,,-75.4763778,39.7172556
367688464,North Bend Hose Company,-75.4759841,39.5762114
158318655,Cedar Crest Manor,-75.4757523,39.6773356
357733556,Salem High School,-75.4757025,39.5590163
367686722,Carneys Point Fire Department and Rescue Squad,-75.4736659,39.7134893
357728598,Saint James School,-75.4729737,39.7267804
357721303,Elsinboro School,-75.4721432,39.5295571
357719993,Cobb Island,-75.4715863,39.6170575
5268209950,,-75.4715163,39.7152997
7058377964,,-75.4710921,39.6807520
158497487,Golf Manor,-75.4707518,39.6967803
158362005,Carneys Point,-75.4701961,39.7112247
357724492,Lafayette School,-75.4701960,39.7153915
6591944877,,-75.4700097,39.6993106
357751407,John Fenwick Elementary School,-75.4695360,39.5670060
158364500,Golf View,-75.4693628,39.7006692
8204196468,,-75.4692537,39.6801530
367686298,Liberty Fire Company,-75.4691873,39.5743243
368395464,Pine Island Meadow,-75.4688081,39.6440022
357750552,Salem Middle School,-75.4685714,39.5698138
158312195,Penns Grove,-75.4679734,39.7295581
357718971,Broad Street School,-75.4676957,39.7306693
357721308,Elsinboro School Number 3,-75.4671426,39.5526128
158249920,Salem,-75.4671423,39.5717796
367686664,Union Fire Company,-75.4669552,39.5699333
158498905,Hagerville,-75.4663095,39.5334460
158591415,Moores Corner,-75.4663092,39.5545572
367689182,Liberty Fire Company,-75.4662351,39.7303039
4177121631,Salem County Courthouse,-75.4660791,39.5728847
158587634,Biddles Landing,-75.4654741,39.6756691
357721428,Evergreen Cemetery,-75.4651981,39.5540017
357718293,Barber Avenue School,-75.4649178,39.7287248
357728594,Bishop Guilfoyle Regional Catholic School,-75.4640421,39.7103402
158624617,Hancocks Bridge,-75.4618652,39.5053904
357719876,Clayville School,-75.4618641,39.5820574
367687767,Washington Fire Company,-75.4606639,39.5651859
357735766,WJIC-AM (Salem),-75.4604751,39.5828908
367689749,Lower Alloways Creek Fire and Rescue,-75.4603489,39.5071639
158519857,South Penns Grove,-75.4593620,39.7217804
357730322,South Jersey Church,-75.4588073,39.6665023
157543925,Friendship Station,-75.4588063,39.7342804
158595211,Ordmont,-75.4585284,39.7409471
357721736,Field Street Elementary School,-75.4582839,39.7296545
367685921,,-75.4575338,39.7190497
357750437,Penns Grove High School,-75.4568593,39.7166321
7996360496,,-75.4557587,39.7155185
357726237,Mount Zion Church,-75.4549185,39.6409466
158563735,Mannington Mills,-75.4543637,39.5870575
367687732,Manningtown Fire Company,-75.4539980,39.5879352
158273025,Marshalltown,-75.4532518,39.6376133
5549111722,Java Dog Coffee & Tea,-75.4513524,39.5890032
6240949807,Carney's Point Recreational Park,-75.4498138,39.7329000
157576314,Raines Corner,-75.4495765,39.7120982
357723751,Hudson Lake,-75.4476955,39.6776135
