osm_id,name,x,y
1699109942,,-109.0475893,31.5912577
2006088714,Goat Camp Spring,-109.0470574,32.8284042
357621188,Pasture Tank Number Two,-109.0464546,33.1506202
369153316,Leta Lynn Prospect,-109.0461773,32.9042216
357622486,Stateline Tank,-109.0458991,33.1536756
263655617,,-109.0458370,34.9611170
263674537,,-109.0457610,35.1659970
263654393,,-109.0457380,35.1941450
263660107,,-109.0457150,35.2227590
263672599,,-109.0457000,35.2359310
2006093592,Tige Spring,-109.0456323,33.5437037
357603681,Buzzard Branch Tank,-109.0456238,33.3653382
263673106,,-109.0455780,35.3531070
2163184050,Domino's,-109.0455730,35.6608509
2006098867,,-109.0454400,33.6262749
357603698,Stateline Water Storage Tank,-109.0453461,33.3672826
263651947,,-109.0451580,36.0168110
357586128,Maness Mountain,-109.0450716,33.6917209
263651892,,-109.0449750,36.6806450
1768175210,,-109.0446152,32.0673667
369155452,Chuska Mountain,-109.0445404,36.0908409
2727849795,Steins Peak,-109.0444200,32.3336300
357599879,Turner Peak,-109.0442416,33.8889409
357571236,Bunk Robinson Peak,-109.0442214,31.4295475
357622003,Dave Tank,-109.0436769,33.1597867
2006091394,Mud Spring,-109.0434874,33.4073585
357614893,Whiterocks Mountain,-109.0434034,33.5028349
2006090983,Little Bunk Robinson Spring,-109.0430912,31.4166131
2163184052,Sun Loan Company,-109.0428973,35.6602990
4724898831,,-109.0426243,31.5112787
357585470,Tige Rim,-109.0422928,33.5675561
2006099927,,-109.0421754,33.8376548
357621945,California Tank,-109.0420106,33.2031195
357622290,Pasture Tank Number 1,-109.0420100,33.1475647
2006091290,Miller Scott Spring,-109.0419757,33.9729564
357621978,Corner Tank,-109.0417327,33.1903419
2188908884,Subway,-109.0415910,35.6579809
2006097834,,-109.0414674,33.1409542
151586491,Tse Bonito,-109.0412036,35.6566848
357596595,McMullen Peak,-109.0411755,33.0192331
357619991,Basin Tank,-109.0409027,33.4550583
369157331,Black Face,-109.0408909,32.3156350
357603684,Corner Tank,-109.0406235,33.3556163
357575816,Kelhnne Tank,-109.0403596,34.3914329
2006089238,Hy Clark Spring,-109.0400241,33.7934889
357591486,Red Lake,-109.0398168,35.9166783
357614949,Big High Tank,-109.0397919,33.4756134
359250448,Red Lake,-109.0396281,35.9307776
369152236,National Mine,-109.0395018,32.2625801
357603707,Pot Tank,-109.0392349,33.3742269
369156764,Bee Sho Shee Mine,-109.0389854,36.3647253
357615005,Tomcat Tank,-109.0389578,33.4264479
151486694,Harden Cienega,-109.0389546,33.1733976
357603694,Engineer Tank,-109.0384075,33.8586634
357621981,Corral Tank,-109.0383985,33.1095096
357615037,One Tank,-109.0381241,33.4020040
357603714,Snare Mesa Tank,-109.0381232,33.3333946
5111972295,,-109.0376866,32.0449161
357585465,Romero Lake,-109.0375753,33.9161629
357622014,Ditch Tank,-109.0375655,33.1600645
357614979,Cradle Mesa Tank,-109.0372917,33.4703357
357613453,Navajo Elementary School,-109.0369894,35.9041814
2006104032,,-109.0367071,36.2127403
369152775,Twin Peaks Mine,-109.0364524,32.9342346
1699117882,,-109.0363618,31.5899555
2006097968,,-109.0363590,33.2718345
357577593,Navajo Bible School,-109.0362035,35.6569625
357599898,Twin Peaks,-109.0361746,32.9261792
357581289,Tucker Tank,-109.0359153,34.4072660
357622528,Turner Tank,-109.0359084,33.9047741
610380684,,-109.0354308,35.3734278
1768150870,,-109.0349258,32.0375195
357574578,Guadalupe Mountain,-109.0347772,31.4676021
369156760,Canyon View,-109.0339862,36.7083332
2006087540,Devil Spring,-109.0338200,33.5407933
151394665,Navajo,-109.0335347,35.9040858
357614992,Four Tank,-109.0328463,33.4153371
1996237574,Guadalupe Spring,-109.0326665,31.4504705
2006102511,,-109.0326337,34.9260286
144067412,,-109.0324270,36.9234560
2006104092,,-109.0323681,36.2451826
2006104169,,-109.0323194,36.3482857
366375782,Navajo Community Library,-109.0322950,35.9060520
1722310492,,-109.0322173,31.8339440
357581970,White Tank,-109.0320266,34.4219880
2006104138,,-109.0318375,36.2914469
2006104142,,-109.0315650,36.2939151
2006102514,,-109.0315457,34.9269294
2006104140,,-109.0314920,36.2922326
2006102890,,-109.0314674,35.4932432
357585408,Devils Monument,-109.0309034,33.5436677
357603598,Hells Hole Tank,-109.0308997,33.2586742
2006098351,,-109.0308638,33.5277429
357615013,Five Tank,-109.0306241,33.4178370
357599220,Smoothing Iron Mesa,-109.0306225,33.3058953
7408857349,,-109.0304765,36.9974404
357622476,South Side Tank,-109.0303434,33.1933974
151460494,Rodeo,-109.0303090,31.8364383
2006098753,,-109.0302306,33.5973758
357603678,Vigil Tank,-109.0300676,33.3581163
357622565,Wild Antelope Tank,-109.0295103,33.2081195
357622423,School Canyon Tank,-109.0295096,33.1350649
912651063,Mountain Valley Lodge,-109.0293809,31.8385213
357614946,Little High Tank,-109.0292360,33.4842243
357600373,Winchester Peak,-109.0292304,32.9878448
357615002,Six Tank,-109.0289575,33.4286701
357585952,Green Knobs,-109.0287058,35.9533440
357622132,H-V Tank,-109.0286883,34.0419946
2006100469,,-109.0286371,33.8966073
357621890,Bee Tank,-109.0283986,33.1503425
357622006,Dead Buck Tank,-109.0275656,33.2028418
2006098898,,-109.0272596,33.6298727
2006104062,,-109.0271406,36.2164733
7408857348,,-109.0270760,36.9962024
3391983235,,-109.0270173,31.5345860
2006102766,,-109.0268228,35.2393957
357615040,Two Tank,-109.0267347,33.3961709
357585454,Pit Tank,-109.0267346,33.3828379
357586612,White Rock,-109.0264854,36.5677788
357603701,Jim Tank,-109.0261789,33.3703382
357622310,Pine Tank,-109.0261762,33.1395093
2006086078,Bunk Robinson Spring,-109.0261489,31.4190368
2006103998,,-109.0255271,36.2083581
2006102171,,-109.0254167,34.4962655
357603109,Gibbons Lake Tank,-109.0250750,33.9214407
357603720,Smoothing Iron Tank,-109.0250668,33.3095063
2006102169,,-109.0250399,34.4931660
2006103107,,-109.0249215,35.7785920
357622287,Partnership Tank,-109.0247867,33.0745102
2006091128,Lower Pine Spring,-109.0246575,33.2506112
2383358237,,-109.0245805,32.0012271
2006102780,,-109.0245299,35.2667687
357614960,Middle Tank,-109.0245133,33.4578361
357622027,Duncan Tank,-109.0245096,33.1564536
357622411,Saddle Tank,-109.0242323,33.2083973
369153583,Mineral Mountain Mine,-109.0242242,32.2111929
2006098363,,-109.0242241,33.5316203
2006103753,,-109.0240892,36.1425484
357603668,Booth Hollow Tank,-109.0234055,33.7817198
357622389,Rocky Tank,-109.0233988,33.1920086
369152140,Mineral Mountain Mine,-109.0233909,32.2103596
2006098242,,-109.0232604,33.5099007
2006097976,,-109.0232482,33.2843867
357622384,Rock Bottom Tank,-109.0228423,33.0953433
357621924,Brock Tank,-109.0225653,33.1825643
8178207983,,-109.0222491,32.8868147
2333632698,Peloncillo Mountains Dispersed Camping,-109.0220000,31.5077000
357621155,Brock Tank,-109.0217320,33.1797866
357622395,Round Mountain Tank,-109.0217318,33.1611757
6615689760,,-109.0213130,36.8423582
2006104244,,-109.0209410,36.4562603
357569719,KHAC-AM (Window Rock),-109.0209253,35.6447407
357603691,Trap Tank,-109.0209064,33.8300527
357576338,Little White Cone,-109.0206511,36.1327847
357594302,Fox Tank,-109.0206228,33.3500610
357603595,Powerline Tank,-109.0206218,33.2728407
357611955,Beclabito Dome Historical Marker,-109.0200993,36.8416656
357615034,Eva Tank,-109.0200677,33.3850601
2006097945,,-109.0200349,33.2559753
357598528,Saddleback Mountain,-109.0197851,32.8861801
2006097610,,-109.0196774,32.9456711
357603675,Mesa Tank,-109.0195119,33.3664495
7408857347,,-109.0195016,36.9954734
2006097946,,-109.0192616,33.2569210
357615042,Three Tank,-109.0189567,33.3939488
357622445,SI Mountain Tank,-109.0186766,33.2025641
369152226,Elore Mine,-109.0186684,32.3050797
369152862,Flanigan Cienega,-109.0184078,33.8992187
357622105,Hade Springs Tank,-109.0183984,33.1683979
357622338,Prong Tank,-109.0183981,33.1314540
357614953,Deep Tank,-109.0181244,33.4697803
3391971293,,-109.0179577,31.5354711
2006093979,Upper Pine Spring,-109.0179465,33.2593427
357585386,White Rocks Tank,-109.0178469,33.4945018
357621868,Ball Tank,-109.0178416,33.0389553
1658376566,Snake Bridge,-109.0177575,36.4186408
2006099973,,-109.0176865,33.8401308
369157325,Eloro Mine,-109.0172795,32.2973021
1699117843,,-109.0171786,31.5889411
2006093212,Spring of Contention,-109.0170935,31.3700326
2006102068,,-109.0170013,34.4264493
357621886,Beaver Tank,-109.0167344,33.3914489
2006097978,,-109.0165128,33.2873815
369156758,Carl Yazzie Number One,-109.0164849,36.3733364
357622549,Ward Tank,-109.0161765,33.2078418
357603704,Center Tank,-109.0159008,33.3733937
2006091228,McFate Spring,-109.0158774,33.8772527
2006104089,,-109.0157551,36.2374021
2384673250,,-109.0153901,31.9603418
2006091446,Mulberry Spring,-109.0153547,32.8460564
357614970,Hunter Tank,-109.0153459,33.4308923
2006095835,Woodchoppers Spring,-109.0153036,31.6198314
357603592,Brand Tree Canyon Tank,-109.0150665,33.3103398
2006088809,Gray Bull Spring,-109.0149816,33.5188324
357622011,Distill Tank,-109.0147873,33.1731201
