osm_id,name,x,y
368054887,Earle Hall (ERL),-73.6513871,40.7199754
7556640854,,-73.6513699,40.6239795
2019024596,Knickerbocker Mansion (historic),-73.6513725,42.9051257
1212696012,,-73.6513435,42.6514908
5680457893,Farmer's Daughters' Drive In,-73.6512972,43.1004426
6554079637,Gulf,-73.6512573,40.7541920
368054881,Hagedorn Hall of Enterprise (HHE),-73.6512414,40.7214255
7063296198,,-73.6512376,40.6599709
6534282834,Cavalry Bridge,-73.6512469,42.8001026
1095601262,Lowe's,-73.6512388,43.3346523
357548333,Berrymill Hill,-73.6512400,43.9775564
357575880,Owl Pate,-73.6512395,43.9481130
357637718,Roslyn Heights Methodist Church,-73.6511728,40.7909450
7174352098,Hempstead Harbor Club,-73.6511559,40.8570444
1439412149,,-73.6511400,42.2451012
7556640845,,-73.6511070,40.6231095
357646121,Seymour Smith Elementary School,-73.6511111,41.9758333
357640224,First Presbyterian Church,-73.6511111,43.3125000
4933491122,Retro Fitness,-73.6510750,40.6257658
2012143030,,-73.6510774,43.5575913
1545329529,Denny's,-73.6510686,43.3319109
3724082811,,-73.6510734,43.8410562
4574410175,Eli Custom Cabinetry,-73.6510083,40.8009883
6615261703,SoulCycle,-73.6509918,40.7840112
6928892239,,-73.6510130,43.3214236
357609622,Joe Bohrdrum Field Park,-73.6509681,41.3358794
158853095,Roslyn,-73.6509621,40.7998227
5699031288,AutoZone,-73.6509373,40.6032960
158819404,Luther,-73.6509508,42.6039689
5471778688,Tappen Beach Park,-73.6509124,40.8354036
5865829559,,-73.6508917,40.7884831
709097173,Cumberland Farms,-73.6509039,42.2482937
7204006366,Manhattan Motorsports,-73.6508605,40.8020180
6968896739,Cafe 100,-73.6508311,40.6564560
7069563083,,-73.6508045,40.6914430
2011783802,Norowal,-73.6508154,43.5606350
5699138026,Puma's Auto Body,-73.6507839,40.6042656
3046556673,,-73.6507770,43.3134664
369041441,Tamarack Swamp,-73.6506829,41.8467599
6585363346,Iglesia,-73.6506291,40.7052055
6933153529,Sunflower Bakeshop,-73.6505840,40.6995382
1208090295,,-73.6505847,42.6506393
357613030,East Rockaway Church of the Nazarene,-73.6505556,40.6508333
7205886311,,-73.6505331,40.6634764
1242038948,,-73.6504621,42.5592759
5937000097,South Shore Cycle,-73.6503115,40.6221067
1095601322,Applebee's Neighborhood Grill & Bar,-73.6503371,43.3333019
5699138042,Gulf,-73.6502694,40.6050567
1027246865,,-73.6502640,40.8384300
7050171204,Dunkin' Donuts,-73.6502084,40.7547729
7147816349,,-73.6502036,40.7876956
1218401193,Monument 673,-73.6502428,45.0030064
6954116953,Los Cu챰ados Grocery,-73.6501955,40.6612330
4319146406,Windows By Kevin,-73.6501506,40.7762023
7147816374,,-73.6501364,40.7913109
357544377,John D. Caemmerer Park,-73.6501220,40.7645249
368048280,Roslyn Fire Station 2,-73.6501180,40.7868515
6824301500,USPS,-73.6501153,40.6655538
6996184920,,-73.6500318,40.6923723
2497384443,,-73.6500321,43.4435996
3046556679,,-73.6499961,43.3126924
2012178110,,-73.6499648,43.5584075
5155779898,,-73.6499191,40.6529141
6548090738,,-73.6499113,40.6592594
1242038804,,-73.6499233,42.5519878
1967750264,Dunham's Bay Lake George Resort ,-73.6499136,43.4418700
5826990640,Precision Cabinets,-73.6498433,40.7001802
357646283,Holmes United Methodist Church,-73.6498118,41.5245597
357614573,Practice Field,-73.6497141,40.7192548
357640205,Saint Alphonse De Liguor Roman Catholic Church,-73.6497222,43.3083333
5155781797,Hose Co 1,-73.6496798,40.6554277
768965603,,-73.6496950,42.6972735
5325620274,La-Z-Boy,-73.6496592,40.6571831
