osm_id,name,x,y
357802876,New Hope Church,-84.3082540,35.0489688
357807589,Hays Knob,-84.3063095,35.0392467
154189983,Burger Town,-84.3043650,35.0492466
154124420,Wolf Creek,-84.3040197,35.0136686
357808485,Pack Top,-84.3032539,35.0653575
357802514,Macedonia Church,-84.3024203,35.0106361
357809016,Rocky Face,-84.3007536,35.0295246
153902274,Wehutty,-84.2971428,35.0939682
154060403,Liberty,-84.2940873,35.1231345
357807573,Harris Top,-84.2935313,35.0600799
357802386,Liberty Cemetery,-84.2932538,35.1178568
6651440393,,-84.2920486,35.1818477
357806309,Angelico Mountain,-84.2882532,35.0406358
357803049,Pack Mountain,-84.2863088,35.0498023
357807408,Franklin Mountain,-84.2857530,35.0203583
357807145,Dave Bellew Top,-84.2857529,35.0059140
357806758,Bryant Mountain,-84.2857529,35.0114696
357804019,Wehutty Church,-84.2854757,35.0861907
357802755,Mount Olive Church,-84.2849200,35.0761908
357807407,Franklin Mountain,-84.2801971,34.9975809
153932556,Salem,-84.2782525,34.9895255
357803680,Simonds Chapel,-84.2738081,35.0223028
356773804,Peels High Top,-84.2724204,35.2359110
357809543,Wehutty Mountain,-84.2715862,35.0884130
357803856,Temple Church,-84.2707524,35.0178585
357807888,Kildeer Mountain,-84.2688083,35.0928575
154009944,Johnsonville,-84.2629744,35.0114698
6641673755,,-84.2623593,35.1642587
357801983,Hamby Cemetery,-84.2618639,35.1536901
357807849,Jones Knob,-84.2610302,35.0761911
357806832,Burger Knob,-84.2601972,35.1448013
357809548,West Mountain,-84.2596414,35.1131352
356887361,Peels Top,-84.2590866,35.2445223
357804183,Young Cemetery,-84.2590858,35.0961909
357809642,Young Mountain,-84.2585302,35.1025797
357802748,Mount Moriah Church,-84.2582518,35.0017477
154121301,Fields of the Wood,-84.2574192,35.1234128
6641311832,,-84.2548397,35.1793923
154299909,Hiwassee,-84.2540860,35.1642457
357803818,Swanson Church,-84.2521409,35.0736913
6121899343,Prayer Mountain,-84.2513069,35.1214884
357803272,Poindexter Church,-84.2504749,35.1975786
357803646,Shoal Creek Church,-84.2503254,35.0928531
6121899346,Golgotha Hill,-84.2499281,35.1218953
357803861,Ten Commandments,-84.2498105,35.1203541
357809107,Round Top,-84.2490855,35.1120241
6122303423,Pleasant Hill,-84.2476190,35.1567726
357803102,Payne Mountain,-84.2457516,35.0450806
6121899338,All Nations Cross,-84.2428644,35.1246748
153925204,Postell,-84.2415850,35.0828580
357778706,Morrow Cemetery,-84.2413079,35.2048009
357802153,Hopewell Church,-84.2354732,35.0209144
357804244,Hideaway Mountain Lake,-84.2349177,35.0350809
1912414620,North Shoal Creek Falls,-84.2346793,35.1785177
356773705,Cantrell Top,-84.2335300,35.2623006
357806965,Chestnut Gap Mountain,-84.2329736,35.0886914
154018821,Hothouse,-84.2324175,35.0209144
154357648,Oak Park,-84.2322081,35.1161846
357800546,Allen Cemetery,-84.2321400,35.0698027
357805552,New Prospect Cemetery,-84.2315851,35.1695238
