osm_id,name,x,y
6656683660,Monument 583,-104.0487042,48.9998768
6656683932,Monument 583B,-104.0471996,48.9998692
151722500,Skaar,-104.0402079,47.3733490
151909649,East Fairview,-104.0396548,47.8533519
4691117772,Bakken Ridge Smoke & Spirits,-104.0361643,48.1374732
7657143100,,-104.0361124,48.0852466
7657143090,,-104.0361097,48.0868681
7657143085,,-104.0351225,48.0896886
357753114,Bull Butte,-104.0321566,48.3369683
151428478,Dore,-104.0310439,47.9205750
357765353,Estes School,-104.0274313,47.7697399
6656683876,Monument 584,-104.0174622,48.9998596
357756458,Liberty School,-104.0160454,48.5689152
4953113830,,-104.0154406,47.0407396
151670123,Harding,-104.0152092,47.8533520
357752303,Arvid School,-104.0146510,47.2177928
6053422974,Welcome to Beach Fishing Pond,-104.0140712,46.9139403
357765655,Shadwell School,-104.0121515,47.4672383
6074945302,Grace Church,-104.0117101,46.9261586
368384090,Black Diamond Mine,-104.0113175,46.8750130
357765941,Johnstone Dam,-104.0099287,46.7505678
75852253,,-104.0094645,47.0394287
4797423521,Subway,-104.0094244,46.9298263
4797423522,Beach Volunteer Fire Department,-104.0087733,46.9256669
6078029352,,-104.0078487,46.9115220
4797486222,The Backyard Bar,-104.0076598,46.9129093
4631699971,,-104.0070871,46.0603307
6983716984,,-104.0064560,46.9134717
6053277714,,-104.0058508,46.9124453
4455658190,Beach High School,-104.0057776,46.9224781
6053422977,Rohan Ace Hardware,-104.0055861,46.9148560
4913345267,,-104.0054306,47.9814598
6053276077,Golden Valley County Museum,-104.0052665,46.9131507
6593902984,,-104.0049789,46.9165729
151921182,Beach,-104.0043728,46.9180689
6053422976,Prairie Fire Pottery,-104.0042718,46.9148075
6656632077,Monument 585,-104.0002569,48.9998326
6656683855,Monument 585A,-103.9946103,48.9998243
357758640,Roosevelt School,-103.9945523,48.5038357
7626267563,,-103.9940460,48.4384047
151700340,Buford,-103.9913210,47.9986320
151615510,Golva,-103.9863168,46.7341788
357763309,KYYZ-FM (Williston),-103.9839849,48.0478514
2330317763,,-103.9821384,47.9860688
357762152,Sowers Bluff,-103.9802106,48.5400261
368383728,Fulveg Mine,-103.9754883,48.5269704
6656683844,Monument 586,-103.9734297,48.9997910
357758727,Round Prairie Church,-103.9721535,48.1694669
357765705,Sundheim Park,-103.9721522,47.8616858
151645041,Thelan,-103.9718717,46.8036238
151588613,Ekre,-103.9699272,46.7891793
357765540,Plainview School,-103.9685387,47.4083492
3497379690,,-103.9661070,48.5614836
6558670983,,-103.9660223,46.7039919
357766055,Pretty Butte,-103.9643736,46.3819518
6656683837,Monument 586A,-103.9571197,48.9997690
