osm_id,name,x,y
6700750091,,-84.8183511,39.2619151
558641771,,-84.8182295,39.3492993
3723574503,Shawnee Lookout Point,-84.8178984,39.1174515
8045248595,,-84.8151248,39.3814382
357504592,,-84.8149555,39.5231075
6300349340,Ohio,-84.8149423,39.5720569
6299780005,,-84.8148739,39.5676472
6299780031,,-84.8135355,39.5661037
6593525065,,-84.8130185,39.2627415
6299780043,,-84.8125820,39.5651639
6682347391,,-84.8125170,39.2605130
357419145,Fort Hill,-84.8124497,39.1195020
154073722,Contreras,-84.8116221,39.5236631
2981938734,Iron Skillet,-84.8114321,39.8345951
6300518976,Stop n Shop,-84.8108237,39.5630929
6682329273,,-84.8100226,39.2546957
1231936477,,-84.8096778,39.8355559
357464050,Miami River Public Access Site,-84.8096717,39.1100578
2755564282,,-84.8091653,39.2573755
2755564283,,-84.8086878,39.2563288
8045226356,,-84.8086280,39.3708647
3723574502,,-84.8086095,39.1208146
357466371,Guards Island,-84.8077275,39.1314463
357455791,,-84.8068944,39.1583902
1449438126,,-84.8058534,40.1976017
358649825,Brick Memorial Park Cemetery,-84.8057954,40.2250465
2512644654,,-84.8055388,39.1613074
368153495,Union City City Hall,-84.8052397,40.1994911
2512644769,,-84.8052116,39.1644362
154096871,Elizabethtown,-84.8046721,39.1586680
8045226373,,-84.8045242,39.3699876
5586627350,,-84.8044436,41.2080634
6612625980,"Prohibited: Firewood and Ash Tree Materials Crossing This Point Up to $4,000 Fine",-84.8044356,39.5569516
585378443,Harrison Pit,-84.8044000,39.2197000
5586629830,,-84.8038837,41.1981335
154327104,Talawanda Springs,-84.8038447,39.5789403
5586754366,,-84.8037095,41.1461056
5586756694,,-84.8036847,41.1498472
5586629585,,-84.8036252,41.2029034
5586628393,,-84.8036227,41.2019722
5586755290,,-84.8035989,41.1759395
5586752995,,-84.8035933,41.1779016
5586755275,,-84.8035889,41.1794241
5586753810,,-84.8035721,41.1053439
5586757632,,-84.8035578,41.0997871
5586755224,,-84.8035361,41.1844297
5586757645,,-84.8034924,41.0878700
5586507220,,-84.8034113,41.2044062
5586757700,,-84.8034105,41.0626725
5586493551,,-84.8034078,41.2351323
