osm_id,name,x,y
5296027503,Cape Blanco Lighthouse,-124.5636633,42.8370394
357281474,Gull Rock,-124.5573332,42.8501088
5296027636,,-124.5573020,42.8356208
4743600582,Cape Blanco State Park,-124.5511723,42.8340592
357326729,Hughes Family Cemetery,-124.5426100,42.8420531
369014894,Cape Blanco Mine,-124.5401092,42.8234421
357326720,Squaw Bluff,-124.5178861,42.8262198
2602712964,,-124.5147264,42.7400897
357303932,Agate Beach,-124.5137162,42.7478868
7538525284,,-124.5112261,42.7364768
7539013088,,-124.5109299,42.7356253
357297549,Tichenor Cemetery,-124.5067716,42.7442756
585365439,Elk River,-124.5037500,42.7846400
2296340530,Cemetery Hill,-124.5036867,42.7444555
7903286585,Flores Lake Trailhead,-124.5019047,42.9031420
2599175570,Evergreen shores rv,-124.5005577,42.7456893
4339123114,Griff's on the Dock,-124.4996489,42.7393251
2309095780,Castaway by the Sea,-124.4984007,42.7424896
2599175829,Ray's,-124.4983592,42.7507093
2309095927,Chevron,-124.4977623,42.7475479
2599175835,Myrtlewood,-124.4977601,42.7483599
2309095781,Cook Gallery,-124.4976979,42.7443254
357320425,Richman Reservoir,-124.4975728,42.7747326
150966713,Port Orford,-124.4973270,42.7456650
2599175834,Shell,-124.4970869,42.7507626
2599175830,,-124.4969459,42.7545980
2599175832,,-124.4964080,42.7529405
2599175739,Sterling,-124.4962368,42.7446143
357320419,Battle Rock Wayside Park,-124.4954036,42.7424279
357365307,First Community Church of Port Orford,-124.4949932,42.7547457
357315508,Silver Butte,-124.4945496,42.7723310
2309095775,The Crazy Norwegian's,-124.4942433,42.7432696
2599175446,Shoreline,-124.4932353,42.7436933
2603572493,,-124.4922394,42.7428245
2599175778,Battle Rock,-124.4921184,42.7438150
357343806,Sixes Post Office,-124.4831667,42.8200837
357313705,Port Orford Cedar Forest State Park,-124.4776077,42.8442752
357310825,Island Rock,-124.4767723,42.6667763
5845222867,,-124.4744880,42.7366384
357303672,Pacific High School,-124.4720520,42.8459419
357304057,Denmark Cemetery,-124.4689985,42.8984417
357312129,Madden Butte,-124.4670517,42.8414975
150977658,Denmark,-124.4626091,42.8906640
357320429,Marsh Log Pond,-124.4625198,42.7705620
