osm_id,name,x,y
2874766815,Memorial Tabernacle Baptist Church,-75.1663636,40.0103584
2457190028,Fado,-75.1663588,39.9483288
158368258,West Oak Lane,-75.1662875,40.0692778
6152729496,No-Parking;Speed_Limit,-75.1662851,40.1147500
2752599600,Nememiah Tabernacle Inc,-75.1662531,40.0204155
7212920987,Henry Cope Garden,-75.1662502,40.0526481
7198091543,Rite Aid,-75.1662472,40.0586579
4037751937,,-75.1661696,40.2656517
3540604455,Club Monaco,-75.1661485,39.9496753
1697133587,The Fresh Grocer,-75.1661265,40.0818847
2179184400,Wendy's,-75.1660978,39.9512282
8119283803,Community College of Philadelphia Main Campus Library,-75.1660853,39.9624214
4534023856,Francoluigi's Italian Restaurant & High Note Cafe,-75.1660779,39.9302881
6063752350,,-75.1660614,40.0158654
1590298683,One Parkway,-75.1660569,39.9554711
357281055,Church Hill,-75.1660099,40.7900975
5207416788,Verizon Hall,-75.1659449,39.9467472
6656865377,Robin Roberts,-75.1658996,39.9048516
1204753172,Marras Pizza,-75.1658709,39.9279897
368991212,Naval Base Philadelphia,-75.1658695,39.8898677
1590298570,Broad & Catharine,-75.1658670,39.9407081
1847081953,Rybread,-75.1658519,39.9673327
2011780596,South Philadelphia Super Site,-75.1658407,39.9125932
1131470767,Special Needs,-75.1658315,39.9325749
6632431236,The Bijou Cafe,-75.1657747,39.9449456
6682539607,Holy Temple of Deliverance,-75.1657645,40.0268255
2752470610,Victory Community Baptist Church,-75.1657573,40.0305739
7417447912,,-75.1657467,39.9546244
5529556373,Second Unity Baptist Church,-75.1657398,39.9738108
2570888808,,-75.1657098,39.9649655
6964925117,Parkway Northwest High School,-75.1656633,40.0566018
7301322077,Dunkin',-75.1656037,40.0035273
666320453,Clothespin,-75.1655795,39.9523903
8113655906,,-75.1655435,39.9611815
5273966848,,-75.1655169,39.9964780
5273966852,,-75.1654520,39.9955471
357318861,Vine Hill Cemetery,-75.1654505,41.5920331
357369957,Ottsville Post Office,-75.1654311,40.4768764
2003044803,Chris' Jazz Cafe,-75.1653700,39.9503498
4037751938,,-75.1653542,40.2650929
7301328837,New Birth Progressive Baptist Church,-75.1653330,40.0014660
3548494994,Estia,-75.1653065,39.9484091
2719571034,Broad & South Farmers Market,-75.1652966,39.9437964
1131465187,August,-75.1652615,39.9339378
7411149987,,-75.1652272,39.9571187
6521771171,Wok Works,-75.1652148,39.9531972
2719566945,Baabun Nasr,-75.1651820,39.9821590
357297191,General George G. Meade School,-75.1651779,39.9784459
6017960608,Roofing by Bruce,-75.1651695,41.0278272
5885155785,Waterfront Gourmet Cafe,-75.1651589,39.9516239
2465690998,Churrusco Shop,-75.1651416,39.9903571
2296287519,LaScalla셲 Birra,-75.1651251,39.9287214
8113834465,Christ Our Redeemer F. W. Baptist Church,-75.1651147,39.9701313
2874763865,Mount Ephraim Baptist Church,-75.1651065,40.0080635
3545078828,Citizens Bank,-75.1651061,39.9495491
8113834457,Trinity Independent Church,-75.1650986,39.9688321
7295524774,Agape Christian Chapel,-75.1650317,40.0276733
4532260719,El Jarocho,-75.1649778,39.9364912
6727277333,Citizens Bank,-75.1649654,40.0590625
7223154609,Harambe Baptist Church,-75.1649552,40.0443798
1590298819,16th & Callowhill,-75.1649170,39.9602800
5478296787,,-75.1649165,39.8949566
5077235547,Mary Dyer Statue,-75.1649074,39.9556780
2570877830,,-75.1649030,39.9643825
6402703798,Pocono Roofing & Building Co.,-75.1648867,41.0103826
1937020994,,-75.1648492,39.9454890
2752582874,Make it Happen Now,-75.1648082,40.0221328
7301328804,Redeemer's Deliverance Church,-75.1647942,40.0000833
7774087548,New York Bakery,-75.1647647,39.9215963
5529534226,St. Joseph's Preparatory School,-75.1647498,39.9724260
367962778,Philadelphia Company 59 and Ladder 18 Fire Station,-75.1647039,40.0111149
7228130641,Eastern Star Baptist Church,-75.1646136,40.0322582
7297833451,Deliverance Mission,-75.1646129,40.0459309
6632473906,Philadelphia International Records,-75.1646115,39.9467433
1697169870,Glenside Taxi,-75.1645525,40.1087808
2571727569,Kelliann's Bar & Grill,-75.1645003,39.9630463
6298351813,,-75.1644475,39.8992759
2572404270,CBS 3,-75.1644365,39.9616159
7858858586,,-75.1644185,39.9477075
2756659080,Joy Ministries / Anchor of Hope,-75.1644025,40.0309287
5529533632,Gesu School,-75.1643735,39.9737791
1204757567,formerly Magri Residence,-75.1643485,39.9275414
1590298766,11th & Snyder,-75.1643020,39.9235460
7197982436,AutoZone,-75.1642409,40.0604275
7977009021,,-75.1641963,39.9539362
3545078817,FYE,-75.1641941,39.9507189
3548494995,Rite Aid,-75.1641683,39.9487081
367968508,University Guest House,-75.1641667,40.0938889
7301328714,Mt. Olive Church of Jesus Christ of Latter Day Saints,-75.1641500,40.0007724
3773475895,New Generation Church of Christ,-75.1641132,39.9760498
7197982440,Pep Boys,-75.1640424,40.0579884
367958036,Stenton Child Center,-75.1639355,40.0566975
4411243629,Edelstein Martin & Nelson,-75.1638953,39.9498966
2571727513,,-75.1638830,39.9647287
1204761445,Black Belt Academy,-75.1638818,39.9267518
1590298787,12th & Reed,-75.1638460,39.9331290
1482492640,Ms. Tootsies,-75.1638436,39.9433583
2756883367,Herbert Arlene Homes,-75.1638335,39.9769359
2752497418,Wister Townhouses,-75.1638171,40.0346057
