osm_id,name,x,y
7700555842,Tugaloo Boat Ramp,-83.3450507,34.7369478
357095779,Boatwright Mountain,-83.3279403,34.7025949
2722611093,,-83.3219024,34.7515920
7089699282,,-83.3150937,34.7580002
2368035662,,-83.3127322,34.7313307
357114541,Damascus Cemetery,-83.3023868,34.7400273
357096114,Pine Mountain,-83.2976613,34.6959283
154108277,Battle Creek,-83.2901610,34.7481491
357106761,Roletter Pond,-83.2898832,34.7050948
7727163385,Chattooga Belle Farm Distillery,-83.2721743,34.7681985
357114620,Adison Church,-83.2657155,34.6517630
357105619,Horseshoe Lake,-83.2648818,34.7667598
357116385,Longnose Mountain,-83.2640489,34.7000949
357112150,Church of God,-83.2615487,34.6534296
6206084536,,-83.2599584,34.8225711
154202629,Long Creek,-83.2590482,34.7734263
3638205056,Butts Family Cemetery,-83.2565658,34.7493670
357112260,Long Mountain Church,-83.2548812,34.7787040
357114563,Old Liberty Cemetery,-83.2536794,34.6516855
357114604,Unity Cemetery,-83.2501594,34.6867620
2371445057,Wildwater,-83.2477374,34.7912490
357096118,Piney Mountain,-83.2462705,34.7325939
357114533,Brasstown Cemetery,-83.2398813,34.7537045
357096159,Rockhouse Mountain,-83.2384924,34.7214833
357111624,Long Creek Lookout Tower,-83.2379356,34.8050925
153974194,Brasstown,-83.2376591,34.7448159
357095992,John Mountain,-83.2362682,34.8337031
357085852,Long Mountain,-83.2323797,34.8120368
357096198,Steps Mountain,-83.2312699,34.7148169
357090269,Tugaloo Church,-83.2309918,34.6214863
357121693,Chauga River Scenic Area,-83.2257137,34.7687044
357087451,Old Field Mountain,-83.2237679,34.8298144
357114555,Mountain Grove Cemetery,-83.2232130,34.7950928
357088250,Ramsey Pond,-83.2229360,34.6145421
357093819,Butts Pond,-83.2173806,34.7389830
357114584,Rider Mountain Cemetery,-83.2170176,34.7237039
357096153,Rider Mountain,-83.2140471,34.7320388
357121029,Travelers Rest Church,-83.2132134,34.6562076
357094115,Grassy Mountain,-83.2123803,34.7089839
154167846,Madison,-83.2079355,34.6323195
357094002,Duke Cemetery,-83.2065466,34.6509301
357090671,Whetstone Mountain,-83.2048776,34.8631472
357120164,Rocky Fork Baptist Church,-83.2009911,34.7350944
357086405,Moss Mountain,-83.2009894,34.8281480
357094464,Nancy Long Mountain,-83.1993243,34.7475941
357105622,Harper Pond,-83.1982129,34.6534301
357089016,Saint Marks Church,-83.1976572,34.6237087
153867089,Old Madison,-83.1962682,34.6125979
357112320,Old Madison Church,-83.1957126,34.6134312
153893671,Holly Springs,-83.1951575,34.7078731
357112157,Colonel Cleveland Monument,-83.1936684,34.6131387
357094795,Stewart Cemetery,-83.1926571,34.6512080
357087894,Piney Knob,-83.1923768,34.8820356
357112228,Holly Springs Church,-83.1918239,34.7020399
154129088,Whetstone,-83.1909888,34.8412032
357094156,Harper Pond,-83.1904349,34.6528747
357089776,Snyder Cemetery,-83.1901543,34.8909243
357094758,Smith Pond,-83.1865460,34.6937069
154033068,Long Bottom Ford,-83.1857095,34.8995353
3841772587,,-83.1812151,34.8235128
357095822,Callas Mountain,-83.1790430,34.8884244
357094498,New Promised Land Church,-83.1782122,34.6862072
3837527708,Cobbs Bridge,-83.1758731,34.7190426
357094589,Poole Cemetery,-83.1734897,34.6609301
3637285394,Chattooga Town,-83.1727162,34.9094079
357117426,Double Springs Baptist Church,-83.1726546,34.8525920
3637300080,,-83.1717547,34.9097220
357082966,Double Springs Church,-83.1715435,34.8537031
357094494,New Promised Land Cemetery,-83.1693229,34.6723187
357088636,Russell Mountain,-83.1682090,34.9009242
357121017,Toxaway Baptist Church,-83.1673784,34.6606525
357094872,Wells Mountain,-83.1668232,34.7459279
357086914,Mountain Rest Lake,-83.1629316,34.8781470
357096145,Rich Mountain,-83.1609897,34.7528723
357082573,Collins Cemetery,-83.1601561,34.7634275
357094365,Miller Pond,-83.1573781,34.6814853
4414064280,Tabor Boat Ramp,-83.1565487,34.5836926
357082355,Chattooga Lake,-83.1554310,34.8939800
3364990466,Mountain Rest,-83.1532229,34.8692629
357114539,Crossroad Cemetery,-83.1529338,34.7159289
357115988,Hopewell Church,-83.1526555,34.6323200
357084738,Hickory Top,-83.1526528,34.9089796
357093893,Collins Lake,-83.1509892,34.7181511
357121691,Lake Leroy,-83.1509869,34.8698139
357096140,Reed Mountain,-83.1509858,34.9206460
7312618178,,-83.1499194,34.6800975
357116579,Belmont Baptist Church,-83.1495991,34.8142598
357081119,Barrett Pond,-83.1493218,34.5987098
7312630885,,-83.1484848,34.6809610
154107730,Dixon Crossroads,-83.1470995,34.6092651
357088050,Poor Mountain,-83.1468223,34.7637055
357116973,Calvary Church,-83.1457110,34.6884297
357082749,Crystal Lake,-83.1432097,34.8270372
357085777,Little Stakey Mountain,-83.1420971,34.9006465
154119845,Chauga Heights,-83.1418219,34.6750968
153991538,Tabor,-83.1412659,34.5939878
357119382,Mount Tabor Baptist Church,-83.1410107,34.5947926
357116717,Bethlehem Baptist Church,-83.1395230,34.8791938
357114534,Chauga Cemetery,-83.1387660,34.6237092
357105497,Crystal Lake,-83.1382098,34.8167598
357081983,Buzzard Roost Mountain,-83.1373775,34.7662055
357095978,Hurricane Mountain,-83.1368217,34.7750942
357094227,Johns Pond,-83.1362660,34.6317646
357085215,Lake Jemike,-83.1343214,34.7831496
