osm_id,name,x,y
1677675249,PLSS IP - Black Hills,-104.0550226,43.9955010
357094435,Grandview Hill,-104.0529891,44.3877620
357094933,Sunshine Hill,-104.0527113,44.3830398
368393447,Rough and Ready Mine,-104.0518780,44.2958170
356498706,Negro Hill,-104.0513889,44.3800000
7638845520,Beaver Creek Campground,-104.0504141,44.0753712
368393330,Giant Mine,-104.0496557,44.3766508
368393349,Tinton Mine,-104.0496557,44.3774841
368393348,Rusty Number 9 Mine,-104.0493779,44.3758174
368393448,Giant-Volney Mine,-104.0485446,44.3747063
357094361,Elk Mountains Lookout Tower,-104.0413212,43.7241438
357095073,Wildcat Peak,-104.0413209,43.6702541
151800903,Dewey,-104.0410424,43.5308076
368393455,Spearfish and Centaur Mine,-104.0402108,44.3735951
8255234416,,-104.0396705,44.9981052
79628930,,-104.0355829,43.4338515
368393370,Filmore Mine,-104.0343773,44.3699839
368393446,Keenan Properties Mine,-104.0338217,44.3708172
357095648,Bear Gulch Cemetery,-104.0329883,44.3819284
1614641233,Windy Butte,-104.0319968,44.5618279
357094118,Beartown Hill,-104.0257659,44.3847061
2715034921,Yucca Hill,-104.0244393,44.5609189
1478075377,,-104.0236341,44.6274281
357084823,Middle Creek Butte,-104.0207674,44.7769297
1552563941,Pine Butte,-104.0195795,44.5670472
357094975,Twin Buttes,-104.0193750,43.6066421
357094956,The Needles,-104.0163210,44.4130395
357080949,Beaver Creek School,-104.0157656,44.5027620
2688952209,Beulah Butte,-104.0152355,44.5679595
357757863,Klondike School,-104.0152098,44.3366503
2611530256,Highlands VFD,-104.0140637,43.6930605
357094701,Old Baldy Mountain,-104.0138209,44.3619281
2690674399,Red Hill,-104.0138111,44.5313165
357099488,Davis Reservoir,-104.0129915,45.3855474
357094050,Sunny Slope School,-104.0124330,44.6766514
2611530252,Elk Mountain School,-104.0117463,43.6932001
1868852672,,-104.0115095,44.5584913
7416071140,Trout Ridge,-104.0105518,44.5560293
1868852673,,-104.0104634,44.5578453
2763179994,,-104.0088404,44.5598634
2688965312,,-104.0088354,44.5513795
8071031119,,-104.0087485,44.9106669
2701915579,,-104.0085518,44.5563356
151765309,Moon,-104.0082640,43.9463683
357095658,Laird Peak,-104.0079871,44.2105383
357094041,Couch Ranch,-104.0074329,44.6852625
3070304162,,-104.0066673,44.5607315
7416086306,Trout Hill,-104.0056600,44.5560916
7416071145,Osprey Ridge,-104.0044597,44.5520390
357099490,Kay Hill,-104.0038243,45.4063812
151875506,Beaver Crossing,-104.0038205,44.3827615
357094927,Sullivan Peak,-104.0024295,43.5924753
357094784,Red Point,-104.0013184,43.6021976
357094688,O'Neil School,-104.0004867,44.2024826
1614641215,Mud Butte,-104.0000207,44.5671130
2701913597,Prairie Ridge,-103.9984901,44.5414594
2688952208,Cox Hill,-103.9963399,44.5650901
357094200,Burdock School,-103.9960396,43.4488624
7638845517,Timon Campground,-103.9882193,44.3280784
357086783,Saint Johns Church,-103.9849353,45.3002680
357095634,Redbank Spring Reservoir,-103.9796516,43.9919244
2691191201,,-103.9777083,44.5548159
357098282,Profile Butte,-103.9763212,45.7752769
357094560,Lauzon School,-103.9754841,43.6377539
151802279,Gustave,-103.9752127,45.2811010
4927723651,,-103.9750786,45.5497614
357095081,Yellow Butte,-103.9715958,43.7766448
357094773,Red Butte,-103.9665956,43.7677559
357083775,Indian Butte,-103.9660455,45.1413776
357094281,Crows Nest Peak,-103.9627066,44.0552587
357094278,Crow Peak,-103.9625555,44.4701086
3807196561,Dances with Wolves film site,-103.9594065,44.3382073
357095644,Willow Springs Reservoir,-103.9571506,43.9741467
357081162,Bleak Butte,-103.9510424,45.7919437
3130710741,,-103.9449622,44.3498047
357095639,Boggy Reservoir,-103.9382609,43.9735912
5693392121,Black Hills & Roughlock Nature Viewpoint,-103.9356414,44.3566921
7607136528,,-103.9350992,44.3574294
357080765,Antelope School,-103.9327101,44.9891546
357083849,J K Butte,-103.9313205,45.4627720
4350195092,Pulloff,-103.9301682,44.3572731
4351317173,Pull out,-103.9294488,44.3612828
357094936,Surveyors Hill,-103.9221492,43.7658118
4351317174,Parking lot,-103.9197055,44.3738445
151844247,Marietta,-103.9193691,43.3919179
357094275,Crooks Tower,-103.9182605,44.1558158
357081953,Dead Man Hill,-103.9168750,45.5647183
7863092885,Ice Cave,-103.9163035,43.8790897
368393444,Metallic Streak Mine,-103.9152053,44.3610949
4351317175,VIewpoint,-103.9151946,44.3739868
4351317176,Roadside picnic,-103.9143766,44.3778424
357088989,White Cap,-103.9138199,45.4158267
4351317177,Viewpoint,-103.9137938,44.3850559
4351317178,Viewpoint,-103.9114092,44.3917959
151407604,Victoria,-103.9077050,44.3949839
7863092784,Beartrap Cave,-103.9074630,43.8734035
357094594,Marietta School,-103.9049240,43.3916402
4351317179,Viewpoint,-103.9034551,44.3996930
78804171,,-103.9030602,44.8653097
585371293,Plant #16,-103.9022120,44.5388067
357094729,Pilger Mountain,-103.9018686,43.5002523
357083026,Gustave Butte,-103.9004868,45.2322123
357094769,Ragged Top Mountain,-103.8996491,44.3608172
4351317181,,-103.8990686,44.4061897
4351317180,Viewpoint,-103.8980568,44.3973725
357083931,Johnson Butte,-103.8974295,45.5927745
5802041242,Flat Tire Ridge,-103.8970616,44.2767940
368393430,Vitoria Mine,-103.8963156,44.3916506
7863092783,Igloo Cave,-103.8958584,43.8690296
151712718,Maurice,-103.8951384,44.4013349
3453139782,,-103.8948296,44.5051021
1868851602,,-103.8936916,44.4997416
357081383,Bull Creek Butte,-103.8935398,44.8085967
357088844,Wells School,-103.8929824,44.5027617
151911651,North Spearfish,-103.8921491,44.5066506
368393442,Eva H and Silver Tongue Mine,-103.8921488,44.3730395
357081474,Caroline Butte,-103.8913180,45.6561088
151388264,Elmore,-103.8874261,44.3155395
4351317182,Viewpoint,-103.8870851,44.4119617
357083142,Harding Peak,-103.8865966,45.3702706
719334745,,-103.8860321,45.8417188
368393445,Ulster Mine,-103.8857596,44.3708172
357082505,Flat Top,-103.8849304,45.1338784
357094354,Elk Mountain,-103.8843706,44.3497061
357094576,Little Crow Peak,-103.8829817,44.4044283
4351316231,,-103.8817093,44.4215231
368393371,Mud Lake Gravel Pit,-103.8815920,44.1110933
4351317563,Parking,-103.8810904,44.4163550
3070299966,,-103.8799454,44.4912788
368393457,Cleopatra Mine,-103.8796483,44.3985950
3070299975,,-103.8791192,44.4906206
357094979,Twin Peaks,-103.8788148,44.3699839
3070299973,,-103.8778425,44.4908196
357081880,Cundy Reservoir,-103.8774287,45.5591630
4351316232,Viewpoint,-103.8770663,44.4236292
4351317691,,-103.8759259,44.4374570
4856994129,Tmax Weather Center,-103.8737300,44.4912963
5118692858,,-103.8736140,44.4892464
368393322,Nichols Creek Gravel Pit,-103.8735359,44.0163699
368393434,Lewis Lime Plant Mine,-103.8732592,44.4763728
357085560,Painter School,-103.8721503,45.7766662
585371279,Wharf Mine,-103.8720000,44.3340000
5732316551,Our Lady of Good Counsel Newman Center,-103.8707982,44.4924848
5696492521,Bunky셲 BBQ,-103.8706684,44.5175219
151399412,Cheyenne Crossing,-103.8693697,44.2960951
151477103,Jolly Dump,-103.8679817,44.5935953
4351317692,Viewpoint,-103.8676966,44.4473471
151617505,Dennis,-103.8668665,43.2613614
357094613,McClelland School,-103.8665892,43.5221973
368393463,Spanish R Mine,-103.8657587,44.3944284
3128692251,,-103.8643681,44.4877894
4351317864,,-103.8641101,44.4505149
4939315521,Spearfish Creek Inn,-103.8637110,44.4918286
3117200201,,-103.8636360,44.5009835
2963937560,,-103.8635455,44.4902413
4351317865,Viewpoint,-103.8629537,44.4560413
3091298854,Walno's House,-103.8613735,44.4753697
357095031,Ward Cemetery,-103.8610359,44.2410951
2963937904,,-103.8606019,44.4892607
2961919908,,-103.8605310,44.4961801
2960592414,South Dakota Department of Health,-103.8605107,44.6509413
2956397711,Papa John's,-103.8605044,44.6500674
461786344,,-103.8603822,44.5068586
5513685794,Black Hills Getaways,-103.8602809,44.4912328
3009376255,,-103.8602291,44.4844530
4754997309,City Brew Coffee,-103.8600470,44.5017436
2963937548,,-103.8598280,44.4976304
2959396456,Family Optical,-103.8595236,44.4984401
475842132,Horses to Harleys,-103.8591694,44.4898368
475842080,Spearfish Creek Wine Bar,-103.8591035,44.4875351
2958195253,,-103.8590286,44.6504898
2963929710,Spearfish Eye Care Center,-103.8589415,44.5004848
5883027294,,-103.8588859,44.4906506
4855799540,,-103.8587528,44.4888185
2967020336,Permanent Makeup,-103.8585005,44.5043826
357094412,Foley Mountain,-103.8579804,44.3344284
2958201923,State Farm Insurance,-103.8578163,44.6564104
2961919820,Safeway Pharmacy,-103.8577522,44.5003287
7638845509,Spearfish City City Campground,-103.8577335,44.4797867
3562171233,Bella Pregnancy Resource Center,-103.8576733,44.4877572
368393462,Segregated Iron Hill Mine,-103.8574249,44.3999840
2958021162,Ramvac Dental Products,-103.8573187,44.4850043
368393376,Two Johns Mine,-103.8571471,44.3560951
3069648449,,-103.8569036,44.4812514
368393429,Eagle Bird Mine,-103.8568694,44.3763729
368393401,Reliance Mine,-103.8568693,44.3458173
151743987,Igloo,-103.8568674,43.2024715
2961845953,,-103.8568239,44.6537933
2958206506,Pony Expresso,-103.8565100,44.6559220
357089686,KBFS-AM (Belle Fourche),-103.8563904,44.6669883
6703936687,Paolo Adventures,-103.8561959,44.6615225
3746842774,Tree House Cafe,-103.8560579,44.4988290
357094798,Richmond Hill,-103.8554804,44.3849840
357094896,Spearfish Peak,-103.8552244,44.4313245
2971000997,,-103.8547651,44.6624779
2958240717,Belle Fourche Physical Therapy,-103.8542261,44.6613857
6703856585,Coopertires,-103.8540758,44.6736775
357094181,Breakneck Hill,-103.8535327,43.3710847
2958249507,Schreier Engineering,-103.8533853,44.6629276
2958025113,The Glass Shop,-103.8533236,44.4835834
3009386362,,-103.8527618,44.6744345
357081268,Brant School,-103.8527058,45.4152718
3746850516,,-103.8521776,44.4874494
6703822560,Visitor Center Dump Station,-103.8520056,44.6736903
3210322489,Lynn's Dakotamart Pharmacy,-103.8518863,44.6622155
2961965235,,-103.8516202,44.6481978
1076554455,Hanna Campground,-103.8515251,44.2748260
4351317866,,-103.8514841,44.4667002
2654176703,Belle Fourche,-103.8514070,44.6709050
357095029,War Eagle Hill,-103.8507579,44.3560951
2521367102,Party Time Liquor,-103.8505787,44.4920739
368393459,Gunnison and Vulcan Mine,-103.8504801,44.3416508
3237268883,Tanglewood Apartments,-103.8500900,44.6530818
3746854471,,-103.8494447,44.4930322
368393329,Silica Sand Mine,-103.8479792,43.9772030
2164754920,,-103.8479015,44.4783734
368393400,Portland Mine,-103.8463132,44.3472063
357085556,Owl Creek School,-103.8457600,44.8224858
151472418,Hanna,-103.8457575,44.2616509
7638845512,Black Fox Campground,-103.8454387,44.1448497
4738684275,,-103.8454206,43.7383363
2968212586,U-Dirty-Dog Pet Wash,-103.8452068,44.4817952
368393377,Dakota Mine,-103.8449242,44.3488730
3130696304,,-103.8441776,44.6627254
357081635,Chimney Butte,-103.8435381,45.7622216
357094855,Signal Hill,-103.8427011,43.8205352
357094226,Castle Rock School,-103.8424234,44.0310925
2961759980,,-103.8418261,44.6476220
1076554446,Ditch Creek Campground,-103.8415850,43.9599438
2961745338,,-103.8402438,44.6532691
2624847776,Terry Peak Ski Area,-103.8400365,44.3343453
357098225,Lola Butte,-103.8379822,45.8077777
151716762,Trojan,-103.8379795,44.3422063
5760998256,,-103.8379347,44.3438468
2171982073,,-103.8366932,44.4821200
357095113,KSQY-FM (Deadwood),-103.8365905,44.3302619
368393374,American Eagle Mine,-103.8360350,44.3555397
357094583,Lookout Mountain,-103.8357576,44.4927617
368393433,Folger Mine,-103.8352016,44.3416508
357098392,Terry Peak,-103.8352015,44.3274841
357095065,White Tail Peak,-103.8352010,44.1188715
357095056,White Draw School,-103.8349207,43.3771959
357080910,Battle Creek Butte,-103.8346505,45.0891562
357094444,Green Mountain,-103.8346461,44.3427619
151433106,Deerfield,-103.8340897,44.0172035
8071331655,,-103.8335681,44.8282581
151757048,Provo,-103.8334748,43.1935801
151787272,Harding,-103.8327049,45.3983272
368393256,Bald Mountain Mine,-103.8327015,44.3547063
357094670,Nipple Butte,-103.8313118,44.0569262
585371283,Belle Fourche Plant,-103.8300000,44.6760000
357087904,Spring Creek School,-103.8288130,44.5547062
357098859,Flag Mountain,-103.8268673,44.0705376
582170109,Chris' Campground,-103.8264066,44.4707084
582170104,Mountain View Campground,-103.8260216,44.4715367
