osm_id,name,x,y
356851811,Cow Island Number Forty-eight,-90.2475956,35.0025948
5525807408,President's Island,-90.1401522,35.1051417
151824305,Island Forty,-90.1395375,35.2956428
356899639,Macedonia Missionary Baptist Church,-90.1246190,35.0490750
356900153,Whites Chapel African Methodist Episcopal Church,-90.1238600,35.0502080
356897914,Whites Chapel Elementary School,-90.1233518,35.0403861
356881304,Jerusalem Cemetery,-90.1231489,35.0200932
356815115,Lakeview Memorial Gardens,-90.1223154,35.0425927
356813144,Jerusalem Church,-90.1214821,35.0206488
356899898,Saint Paul Church of God in Christ,-90.1213310,35.0460030
356841695,Whites Chapel,-90.1209264,35.0500925
356899781,Peters Rock Spiritual Church of the Apostolic Faith,-90.1207900,35.0449120
356899625,Living the Kingdom Life Baptist Church,-90.1174050,35.0210860
151824777,White Chapel,-90.1173153,35.0495369
356899755,New Rose of Sharon Missionary Baptist Church,-90.1150101,35.0493506
356881297,Island Forty Cemetery,-90.1139812,35.2881428
356817610,Longcrest Church,-90.1079536,35.0060319
356899864,River of Life Deliverance Ministries,-90.1054451,35.0066800
4939650280,,-90.1037083,35.0344888
356899420,Double Tree Elementary School,-90.1025787,35.0238017
356880963,Coro Lake Church of Christ,-90.1021835,35.0078447
356845364,Margaret Road Church,-90.1009262,35.0123153
7858045482,,-90.1003559,35.0302792
356880972,Dalstrom Park,-90.1000928,35.0167597
356900140,Victory Temple Church of God in Christ,-90.0997220,35.0209107
356899705,New Bethel Church and Outreach Ministry,-90.0993710,35.0355688
356898675,Alice Avenue Church of Christ,-90.0991400,35.0944100
7860678048,,-90.0981711,35.0332900
356880004,Western Park,-90.0973149,35.0298149
356845255,Lake Grove Church,-90.0968064,35.0136217
7860669861,,-90.0967505,35.0337694
151490690,Goodman,-90.0964817,35.0123153
356792873,Carver School,-90.0964815,35.0517590
7800202618,,-90.0962697,35.0361332
356880316,Mount Pisgah Church,-90.0962037,35.0492590
7855982516,,-90.0959959,35.0290267
356899216,Greater Saint Mark Church of God in Christ,-90.0958530,35.0500550
7800202619,,-90.0953866,35.0368118
151398817,Pisgah Heights,-90.0953704,35.0562033
7869317090,,-90.0953252,35.0206888
7855982654,,-90.0950767,35.0296075
7860358522,,-90.0950641,35.0355270
356845781,Robinson Crusoe Island,-90.0948143,35.1798117
7855982753,,-90.0947483,35.0286218
7853872038,,-90.0946034,35.0244956
7798318337,,-90.0944416,35.0389996
7803766449,,-90.0943197,35.0368148
7856089554,,-90.0939704,35.0302623
7855970625,,-90.0934065,35.0254027
356782325,Westmont Church,-90.0929112,35.0336958
7760161716,,-90.0927788,35.0365882
356900079,True Baptist Church,-90.0925630,35.0347780
2794686126,Westwood Park,-90.0920083,35.0297725
7861700730,,-90.0919607,35.0220511
7853872020,,-90.0918018,35.0258380
356880914,Chickasaw Junior High School,-90.0917593,35.0378703
7832458783,,-90.0916811,35.0366164
