osm_id,name,x,y
5638046893,Zin Valle Vineyard,-106.6290344,31.9266607
1550244504,Gomez,-106.6257474,31.8647880
356823255,Westside Baptist Temple Church,-106.6205102,31.8865182
151921829,Ponderosa Mobile Home Colonia,-106.6144359,31.9251031
151715211,Prado Verde Addition Number 1 Colonia,-106.6136021,31.8881598
151324226,Prado Verde,-106.6136021,31.8898264
151336858,Schuman Estates Colonia,-106.6116580,31.9181589
1550227194,San Isidro,-106.6115868,31.8477506
5637988547,,-106.6114903,31.8808804
5653038279,GECU,-106.6112233,31.8791275
356846539,Gallegos Park,-106.6111026,31.9264920
1550242213,Santa Teresa Motorsports,-106.6081400,31.8460897
356798331,Canutillo High School,-106.6080469,31.9231588
8092358020,,-106.6076647,31.9898812
151918893,Serene Acres Colonia,-106.6044356,31.9139924
151487329,La Union Estates Colonia,-106.6044356,31.9170478
5885202636,,-106.6042927,31.8847163
7123443086,,-106.6042011,31.9976810
5885188041,,-106.6034538,31.9625205
356798233,Bill Childress Elementary School,-106.6030470,31.9431582
151653912,Vinton,-106.6024915,31.9512135
7123437075,,-106.6022471,31.9993639
5885196495,,-106.6021501,31.9361071
356798199,Anthony Elementary School,-106.6016030,31.9956443
7123437053,,-106.6013514,31.9928731
2712153205,,-106.6012274,31.9597601
7123437052,,-106.6007182,31.9949455
151790860,Nuway Addition Colonia,-106.6005468,31.9351029
5885196503,,-106.6003001,31.9122651
356741180,Mount Zion Church,-106.5999912,31.9367695
2510102991,Los Jarrones,-106.5995318,31.9078184
7123437049,,-106.5994699,31.9952746
151623950,Green Acres Colonia,-106.5994350,31.8756603
151925625,Canutillo,-106.5980984,31.9124684
7123437045,,-106.5980596,31.9945922
151543753,Nuway,-106.5977690,31.9373250
151483322,R W Jones Colonia,-106.5974910,31.9970454
7123437047,,-106.5973010,31.9952756
356823164,First Baptist Church of Canutillo,-106.5972132,31.9117703
3370665968,,-106.5966954,31.8857763
151507274,Borderland,-106.5958239,31.8834377
356797993,Lincoln Middle School,-106.5958235,31.8548275
356798340,Canutillo Primary School,-106.5947166,31.9125886
151572130,Hermosa Vista Addition Colonia,-106.5936019,31.9070481
151397701,Polkinghorn Addition Colonia,-106.5916575,31.9201033
151934354,La Tuna,-106.5905470,31.9809348
5180857307,KFC/Taco Bell,-106.5878836,31.9973278
356744997,Saint Francis Xavier Church,-106.5874901,31.8648272
3370665969,,-106.5869946,31.8606620
356797997,Lindbergh Elementary School,-106.5869344,31.8489944
5315598132,Walmart Neighborhood Market,-106.5868470,31.8618940
2287632679,Northwest Early College High School,-106.5867820,31.9012320
356798336,Canutillo Middle School,-106.5866573,31.9081593
1857588930,Banana Republic Outlet,-106.5866463,31.9127820
501926936,Subway,-106.5862848,31.9967994
501926914,Park and Ride,-106.5861172,31.9977948
1857588931,Gap Outlet,-106.5856457,31.9125913
1938901072,McDonald's,-106.5849037,31.9094397
1671246497,,-106.5846381,31.9825888
501926906,Burger King,-106.5845149,31.9969974
2143191960,WingStreet,-106.5844285,31.9109564
7066065781,Charlie Clark Nissan El Paso,-106.5840199,31.8877361
3213886500,,-106.5839655,31.9816820
5400285125,Sonic,-106.5839267,31.8528632
2253399046,Church's Chicken,-106.5837274,31.8853449
3213885625,,-106.5836832,31.9825443
356823077,Shepherd of the Valley Church,-106.5836012,31.8620495
5720719477,,-106.5831159,31.8836211
585368206,Mti Clint Sand Pit,-106.5818000,31.8689000
151336852,Westway Number 2 Colonia,-106.5816570,31.9631577
5180849144,McDonald's,-106.5813998,31.9984981
