osm_id,name,x,y
2006105650,,-114.0523981,37.4078758
369153896,Thor Mine,-114.0521991,37.8985747
369153259,Jennie Mine,-114.0508102,37.8985747
3712852728,"Arizona, Nevada, Utah Tri-state Monument",-114.0500904,37.0001961
356679494,Pine Mountain Reservoir,-114.0494240,37.5808054
1363125031,,-114.0491423,39.0565148
357564795,Miller Mountain,-114.0469270,38.4913449
356676281,Spring Creek Mountain,-114.0427781,39.8041067
2548344737,R-Place campground,-114.0416439,40.7334961
356679493,Pine Mountain,-114.0413684,37.5844166
7944916581,,-114.0411659,40.7371973
368981446,Ofer Mine,-114.0399748,37.9963506
6312140234,,-114.0398293,41.2486171
356674659,Utah Peak,-114.0397293,40.2654895
356677069,The Church of Jesus Christ of Latter-day Saints,-114.0394257,40.7332504
6312140226,,-114.0394162,41.2476222
6312140229,,-114.0387437,41.2494742
356676287,Spring Mountain,-114.0386060,39.4691102
6308767096,,-114.0380741,41.2025856
356672198,Bull Mountain,-114.0380331,37.3894194
368981161,Etna Mine,-114.0380322,37.8827417
6308825578,,-114.0379080,41.1938938
7807410684,,-114.0377820,40.7278858
6312140228,,-114.0375616,41.2493571
6801464537,,-114.0372044,40.7414798
7683293785,Gandy Warm Spring,-114.0371330,39.4600401
6312140223,,-114.0371160,41.2472254
8127591772,,-114.0367769,38.9350622
6312140225,,-114.0360933,41.2480330
356675670,Garrison School,-114.0356946,38.9346627
6312140220,,-114.0354301,41.2466109
7717619894,,-114.0350696,38.3331372
6308821735,,-114.0349232,41.0926748
6312140212,,-114.0348286,41.2336702
356672048,Black Butte,-114.0344560,41.3090906
356676727,The Church of Jesus Christ of Latter-day Saints,-114.0335246,38.9337547
6312140219,,-114.0332119,41.2470850
8127591805,,-114.0331519,38.9365030
6312140211,,-114.0329378,41.2193589
368981334,Independence Mine,-114.0324762,37.9016302
6312140216,,-114.0316661,41.2459262
356673744,Needle Point Mountain,-114.0313741,38.7455077
6312140215,,-114.0306947,41.2465302
6312140208,,-114.0306140,41.2133422
150955294,Wendover,-114.0304541,40.7374014
6312140240,,-114.0303346,41.2669101
356673977,Rhyolite Butte,-114.0302893,41.3265904
356673979,Rice Mountain,-114.0296967,38.0205171
356676198,Salt Springs Waterfowl Management Area,-114.0294533,40.5013211
356674011,Rose Valley Reservoir,-114.0288669,37.7924658
6312129493,,-114.0287506,41.2191471
6312140210,,-114.0287347,41.2133794
368981352,Jumbo Mine,-114.0285871,37.9005192
6312140214,,-114.0283691,41.2468251
6308767095,,-114.0283333,41.2098773
6312140203,,-114.0282661,41.1957047
6312140206,,-114.0281268,41.2001874
356673671,Mineral Mountain,-114.0280662,41.2282580
6312140213,,-114.0278087,41.2452380
356672551,Death Creek Reservoir,-114.0269582,41.6585311
6312140204,,-114.0264208,41.1962698
368981356,Johnny Mine,-114.0260853,37.9935728
6308821724,,-114.0259239,41.1579057
2006093099,Sheep Spring,-114.0258846,37.5001227
368981846,Bismark Mine,-114.0258331,39.8027178
6308821732,,-114.0255798,41.1449037
7840235482,,-114.0247189,37.0919848
356679495,Pine Park,-114.0244239,37.5255304
6312140241,Crystal Cave,-114.0239509,41.2844358
7551947755,,-114.0237900,37.5228458
5112204722,Bonneville Salt Flats,-114.0237400,40.7448014
2006092033,Pine Park Spring,-114.0233406,37.5278408
356674069,Scarecrow Peak,-114.0230293,37.2221973
6312140242,,-114.0224361,41.2852602
6312129494,,-114.0221472,41.2215708
2006105597,,-114.0219065,37.3304094
6312129495,,-114.0215834,41.2156544
6308821725,,-114.0213332,41.1594738
356674720,Wendover Peak,-114.0202873,40.7529856
6308821726,,-114.0179053,41.1648994
6308821733,,-114.0170757,41.1124765
6308821734,,-114.0170455,41.1203019
356685433,Danger Cave State Historical Monument,-114.0169595,40.7530632
356672423,Copper Mountain,-114.0163992,41.2468690
356671977,Bald Eagle Mountain,-114.0158438,41.2649244
368981815,Lucky Strike Mine,-114.0158328,39.8082733
356685464,Pruess Lake,-114.0158200,38.8966162
2006087647,Dodge Spring,-114.0151943,37.3232968
5624072812,Butcher Spring,-114.0151423,38.0304096
356674004,Rocky Point,-114.0150068,40.3116003
356672234,Burnt Mountain,-114.0147357,41.6493646
6308821731,,-114.0146706,41.1413191
7134734189,,-114.0144923,40.7785220
6308821727,,-114.0144655,41.1701306
2006105697,,-114.0142740,37.5205414
356674546,The Nipple,-114.0141774,41.2949241
395212702,Jukebox Cave,-114.0136299,40.7573426
7717619000,,-114.0133970,38.2943612
2006087289,Cougar Spring,-114.0132939,37.4836696
2006105695,,-114.0130662,37.5027537
356680367,White Rocks,-114.0091456,37.6138609
356677984,Crestline Reservoir,-114.0049789,37.6224718
356673312,Judd Mountain,-114.0030693,41.7965850
369154161,Wide West Mine,-114.0008337,39.8757726
356672683,Ferber Hills,-114.0005615,40.2810450
150981528,Motoqua,-113.9996972,37.3038646
7717609770,,-113.9995215,38.2476882
2006085270,Bentley Spring,-113.9920985,37.2844396
8178116518,,-113.9915204,40.0052853
3019240241,Burbank,-113.9912015,38.8211845
7239631084,,-113.9899015,37.7591578
356672641,Mount Elenore,-113.9874759,37.8366319
356675828,Ibapah School,-113.9860539,40.0366614
2179929048,Old Ivapah Trading Post,-113.9846172,40.0597107
6308821728,,-113.9845854,41.1623175
150935972,Ibapah,-113.9842634,40.0373276
150940618,Gandy,-113.9830486,39.4499437
356677562,Big Mountain,-113.9830338,37.4835878
356672645,Elephant Knoll,-113.9802833,40.3099338
356678256,Mount Escalante,-113.9791442,37.6838586
356674900,Modena Reservoir,-113.9791433,37.7816332
150942893,Blair,-113.9790479,40.7380055
2006086160,Cane Spring,-113.9787168,37.3561383
356673631,Meadow Creek Butte,-113.9775137,41.8607507
356674678,Volcano Peak,-113.9772303,40.7954850
356672721,Forces Reservoir,-113.9755286,37.9677403
6308821729,,-113.9755025,41.1661028
6308821730,,-113.9747138,41.1634034
356672004,Beatty Mountain,-113.9722353,41.7946406
356672791,Gartney Mountain,-113.9719548,41.3488126
8178069215,,-113.9715871,39.8111879
356673817,Oswald Reservoir,-113.9694492,40.2591009
2548492634,Metro Restaurant,-113.9694204,40.7455946
356673897,Potters Peak,-113.9666417,37.3716430
356680290,Water Canyon Peak,-113.9635887,37.5183094
368981489,Queen of Sheba Mine,-113.9599977,39.8035513
356679286,Mineral Mountain,-113.9599762,37.4355322
368982074,Emma Mine,-113.9596983,37.4346988
7140554898,,-113.9561394,40.7994425
356673982,Rishel Peak,-113.9550075,40.8165958
150952837,Etna,-113.9544566,41.6715868
2006105694,,-113.9532058,37.4991043
150975240,Eskdale,-113.9524879,39.1071690
356678758,Haystack Mountain,-113.9477540,37.7099691
7139993926,,-113.9447939,40.7996531
356685527,Kimber Ranch Burial,-113.9447344,41.7329750
7139993928,,-113.9436566,40.7988247
356678667,Greek Peak,-113.9435867,37.4455323
