osm_id,name,x,y
6744965268,,-73.4220629,44.0345037
368382252,Drowned Lands,-73.4201137,43.5989551
158846885,Chimney Point,-73.4181793,44.0361669
6742381414,,-73.4166183,44.0540857
356555930,Payne Cemetery,-73.4165128,44.0464445
6742381465,,-73.4165017,44.0554218
2919642553,Champlain Bridge Marina,-73.4164749,44.0410154
6742381436,,-73.4163715,44.0531904
6744956057,,-73.4153755,44.0553000
6744956012,#32,-73.4148787,44.0561259
6744955999,#47,-73.4142026,44.0549731
6744956070,,-73.4138711,44.0568964
6742391952,#6,-73.4136090,44.0557629
6744956066,,-73.4135537,44.0578656
6742381484,,-73.4132924,44.0542384
6744956043,#22,-73.4127222,44.0564804
6742391943,,-73.4125476,44.0551345
6744956061,,-73.4124284,44.0580789
6742391887,D.A.R State Park,-73.4124205,44.0533619
6744956052,,-73.4123637,44.0572512
366667919,John Strong DAR Mansion,-73.4115128,44.0547777
357598879,Dresden Station Post Office,-73.4112265,43.6720084
368382267,Horton Marsh,-73.4092815,43.6570089
2919643107,10 Acre Campground,-73.4089003,44.0333334
356552434,Austin Hill,-73.4087242,43.5845110
6742381412,Goodies,-73.4071569,44.0631718
4360159490,,-73.4069484,44.0642476
158844465,Cold Spring,-73.4067818,43.6714530
356552461,Bald Mountain,-73.4059471,43.6128436
356553704,Lapham Island,-73.4017877,43.9336692
356555941,Russell Cemetery,-73.4015107,43.9689463
158844861,Willow Point,-73.4001230,44.0225563
356555964,Wells Cemetery,-73.3995660,43.9564466
761311293,McCuen Slang,-73.3979530,44.0245230
356553677,Kline Hill,-73.3970588,43.6467315
356553689,Lake School,-73.3962326,43.9564466
356553300,Fish Hill,-73.3962254,43.6397872
356555840,Bliss Cemetery,-73.3951212,43.9428358
356554604,Swale School,-73.3948365,43.6445093
158821842,West Addison,-73.3942908,44.0817218
356553696,Lakeview Cemetery,-73.3937354,44.0858883
356555866,Eaton Cemetery,-73.3931798,44.0886661
761311227,Lapham Bay,-73.3918840,43.9259620
356554420,Sheldrick Hill,-73.3915037,43.6708974
356552775,Cedar Mountain,-73.3845600,43.7033965
356555857,Congregational Cemetery,-73.3829012,44.0656112
356555830,Adams Cemetery,-73.3812356,44.1122768
356555907,Mount Independence State Historic Site,-73.3806738,43.8264493
356554740,Vanderhoof School,-73.3798455,44.0575558
158860004,Goodrich Corner,-73.3790129,44.0964439
1922909334,,-73.3765188,43.8552716
1367244743,Chipman Point Marina,-73.3757732,43.8001357
356554250,Rock Island,-73.3755851,44.1410829
356555975,Spaulding Cemetery,-73.3740132,44.1164435
158903137,Palmer Corner,-73.3731775,44.0045014
356553917,Mud Island,-73.3724952,44.1343381
356554099,Pine Hill Cemetery,-73.3717882,43.9895017
356554389,Scotch Bonnet,-73.3698482,44.1914420
356554700,Town Line Cemetery,-73.3698445,44.0236677
760485982,<different> Boat Ramp,-73.3694710,43.8491250
158910279,Benson Landing,-73.3676158,43.7283959
7921510585,Nature preserve,-73.3645292,44.0641707
356554410,Shaw Mountain,-73.3637257,43.6808973
356552396,Adams Cemetery,-73.3634582,44.1506096
2533682948,Fisk Quarry Preserve,-73.3634085,44.8460407
356553694,Lakeview Cemetery,-73.3626172,43.7983944
356555837,Basin Harbor-Beach Cemetery,-73.3620701,44.1872754
2419076804,Inn at the Isles ,-73.3597633,44.8589658
356555851,Button Bay State Park,-73.3590143,44.1806091
366665317,Button Bay Nature Center,-73.3590143,44.1819978
761310761,Stoney Point,-73.3588290,44.8714770
366668179,Lake Champlain Maritime Museum,-73.3577443,44.1971717
356552760,Carter Street Cemetery,-73.3565040,43.7147852
710598331,,-73.3564943,44.1823358
356555922,Norton Cemetery,-73.3520669,44.0511673
5654221651,,-73.3513141,44.0756738
204542187,,-73.3496138,44.6880532
356555865,East Creek Waterfowl Area,-73.3495615,43.8070054
356556120,Samuel de Champlain Statue,-73.3485912,44.9007383
5654221652,,-73.3478303,44.0732187
761310988,Ed Weed,-73.3477995,44.6890898
356554292,Saint Annes Shrine,-73.3476491,44.9002173
356553657,Kent Cemetery,-73.3476243,44.1408877
356554576,Stony Point School,-73.3476154,43.7308959
356552787,Center School,-73.3476135,43.6472872
158824241,West Haven,-73.3473358,43.6514538
356555961,Warner Cemetery,-73.3470692,44.1661650
366665939,West Haven Volunteer Fire Department,-73.3469005,43.6524199
158825900,Gordon Landing,-73.3467991,44.6886550
356552499,Basin Harbor School,-73.3456811,44.2039420
356554839,Wilcox Hill,-73.3456707,43.7214518
2970539827,South End Cafe,-73.3456665,44.8469857
356554808,West Panton School,-73.3454019,44.1375545
760485901,,-73.3453910,44.0851389
356554643,The Head,-73.3451328,44.8311525
356552604,Blue Ledge,-73.3440050,43.7692285
356554533,Stanhope Hill,-73.3437439,44.9014294
6548138313,Isle La Motte Light,-73.3434686,44.9064972
356553986,Nortontown School,-73.3434554,44.0431121
4346347856,Lakehurst Campground and Marina,-73.3430544,44.8428391
761311119,George Davis,-73.3428510,43.7642950
356555928,Panton Community Baptist Church,-73.3426243,44.1489432
356554489,South End Cemetery,-73.3423102,44.8494422
356554649,The Lady Chapel,-73.3420770,44.7158766
356556116,North Cemetery,-73.3420771,44.8778186
2006043483,Windmill Point Lighthouse,-73.3417216,44.9817950
760485874,Boat Ramp,-73.3412451,44.7195980
356554910,All Saint Chapel,-73.3406751,43.9317254
6956218645,,-73.3405134,44.5942325
2533682949,Goodsell Ridge Preserve,-73.3404719,44.8527777
158860452,Panton,-73.3404020,44.1486654
356555881,Hindes Cemetery,-73.3403995,44.0333901
761310649,Rouses Point,-73.3397600,44.9987520
158807455,Isle la Motte,-73.3387437,44.8769853
356555887,Kellogg-Field Cemetery,-73.3381809,44.2067198
356554828,White Ledge,-73.3376159,43.7642286
356555909,Newton Cemetery,-73.3373470,44.1783870
356555863,Dead Creek Wildlife Management Area,-73.3370656,44.0092240
5654221649,,-73.3367873,44.0853442
357556618,Diamond Island,-73.3340147,44.2367193
356555885,Jennison Cemetery,-73.3337293,43.8742266
356553463,Hackett Dam Cemetery,-73.3326129,43.6331210
356552401,Aiken School,-73.3323366,43.6989525
158844461,Adams Landing,-73.3320769,44.7361540
760486067,Holcomb Bay Boat Ramp,-73.3319557,44.8550726
356553592,Hough Crossing School,-73.3317838,43.8295051
4346347858,Sunset Rock RV Park,-73.3317492,44.8572376
761311195,Kelly Bay,-73.3316812,44.9988572
356553103,Doughty Hill,-73.3315044,43.7536732
356554299,Saint Genevieve Cemetery,-73.3309517,43.8853375
356553695,Lakeview Cemetery,-73.3309517,43.8861708
4346347857,Summer Place Lakeside Campground,-73.3298689,44.8571311
158802815,Grand Isle Station,-73.3292988,44.7005994
356554454,Sisson Hill,-73.3292849,43.8820042
356553330,Forbes Hill,-73.3292800,43.6578426
356553483,Hardigan Hill,-73.3273397,43.8472826
356553562,Hoag Cemetery,-73.3270765,44.7005994
158807068,Pearl,-73.3267986,44.6875441
356556117,Quaker and Macomber Cemetery,-73.3265211,44.7158767
356554782,Webster School,-73.3262356,44.1786649
368382236,Cedar Swamp,-73.3262298,43.9072815
356552415,Allen Cemetery,-73.3256800,44.1797760
356555852,Callender Cemetery,-73.3251193,43.9336700
356553559,Hitchcock Cemetery,-73.3240020,43.6531205
356554334,Saint Rose of Lima Church,-73.3223539,44.6619891
5202990126,,-73.3223370,44.6221458
761311172,Keeler Bay,-73.3205339,44.6678543
356556112,Isle La Motte Monument,-73.3204233,44.9018072
368382304,Pearl Swamp,-73.3198541,44.6936551
366666849,Bridport Public Library,-73.3198424,43.9842247
158826392,Keeler Bay,-73.3195760,44.6597669
356552490,Barnum Hill,-73.3184508,43.8570047
158808354,Hough Crossing,-73.3182889,43.8273755
356552491,Barnum Hill School,-73.3181730,43.8589492
761311009,East Creek 1,-73.3180690,43.8016360
356555862,Dead Creek Wildlife Management Area,-73.3170683,44.1625543
356553255,Fair View Cemetery,-73.3165030,43.7072857
356555952,Shoreham Elementary School,-73.3163879,43.8919594
158803579,Shoreham,-73.3162310,43.8936870
761310951,Fort Cassin,-73.3158730,44.2217275
356555843,Bridport Central School,-73.3157469,43.9811268
158869144,Rock Landing,-73.3156899,44.1991491
761311005,East Creek 2,-73.3154854,43.7910167
356555844,Bridport Congregational Church,-73.3153979,43.9853358
366666359,Bridport Volunteer Fire Department,-73.3150640,43.9842853
366666266,Shoreham Fire Department,-73.3137419,43.8927994
761311068,Horicans,-73.3136120,44.9138740
356554150,Porter Cemetery,-73.3134580,44.2031091
356555943,Saint Bernadette Church,-73.3134534,43.9847802
6640883004,The Shoreham Inn and Pub,-73.3132292,43.8942362
7609371802,,-73.3129677,44.5607712
7609371801,,-73.3129504,44.5592209
5467711527,,-73.3126006,44.5907659
356553620,Hyde Cemetery,-73.3117987,44.8025421
5706797520,,-73.3115163,44.7961610
356556119,Reynolds McGregor Cemetery,-73.3114352,44.9044907
1955964415,,-73.3112268,44.6091905
7947304082,,-73.3105649,44.5603759
761310757,Allen Point,-73.3104439,44.5996299
158843206,Benson,-73.3103460,43.7071959
5761771153,Benson Public Library,-73.3097549,43.7083449
158810905,Stacy Crossroads,-73.3095595,43.7550622
356554158,Pratt School,-73.3090094,44.0120020
356558101,Old Cemetery,-73.3084409,43.7088385
2589818107,Commish Kit,-73.3082675,44.7274327
356552862,Cloyes Hill,-73.3078968,43.9447810
7813411281,,-73.3078282,43.8999776
356555955,Southard Cemetery,-73.3065097,44.0317239
366666514,South Hero Volunteer Fire Department,-73.3049230,44.6458769
356553926,Mutton Hill,-73.3048407,43.9206149
356555832,Addison Central School,-73.3048356,44.0880111
204540224,,-73.3048337,44.9082746
356554216,Rice Hill,-73.3045636,43.9536698
5952298443,Addison Town Clerk,-73.3041716,44.0887467
356554491,South Hero Cemetery,-73.3032849,44.6397973
158803180,Cedar Beach,-73.3029038,44.2917186
356555831,Addison Baptist Church,-73.3028997,44.0886671
356555879,Hanks Yard Cemetery,-73.3028992,44.0636676
158846305,South Hero,-73.3026130,44.6457740
356557846,Benson Village School,-73.3022340,43.7070298
356553326,Folsom Educational and Community Center,-73.3021373,44.6364249
5706798240,Net Source of Vermont,-73.3015723,44.7040054
4584399237,McNeil Homestead,-73.3012595,44.3034576
5467711526,,-73.3011827,44.5558830
356556105,Alburg Congregational Church,-73.3009645,44.9758732
356555888,Kings Bay State Park,-73.3009583,44.2328308
356554152,Porterboro School,-73.3009581,44.2228310
366666806,Alburgh Fire Station,-73.3005003,44.9771336
356552761,Carver Falls Cemetery,-73.3003898,43.6264546
356553530,Hemingway Hill,-73.3001194,43.9650585
356556107,Amadeus Church,-73.2998534,44.9783732
356554086,Picket Island,-73.2997439,44.2888818
356554343,Sand Road School,-73.2995677,44.1542214
356555927,Orwell Village School,-73.2990727,43.8043813
356554854,Willmarth School,-73.2984544,44.0478347
356555864,District Six Schoolhouse,-73.2981741,43.9325591
2983981294,Alburg Dunes State Park,-73.2981097,44.8651305
356554311,Saint Lukes Church,-73.2980468,44.9818234
158839647,Orwell,-73.2978936,43.8039503
356553429,Grand Isle Cemetery,-73.2973539,44.7164326
6167948200,,-73.2972670,44.3014878
356553931,Needham Hill,-73.2967819,43.7764508
158862926,Ecole Champlain,-73.2965139,44.2417195
356555929,Paya-Oppenheim Cemetery,-73.2965138,44.2369973
5706798239,,-73.2960150,44.7185255
