osm_id,name,x,y
356580555,Church of the Covenant,-77.1118313,38.9083024
3740781543,,-77.1117468,38.8767475
7367246278,,-77.1117335,37.5426499
3730687058,,-77.1117290,38.8708800
7367246262,,-77.1116852,37.5487744
3840006342,,-77.1115236,38.8659560
356569187,Patrick Henry Elementary School,-77.1114798,38.8179821
4395484250,,-77.1114260,38.2981994
7367246331,,-77.1114175,37.5456232
6382166468,Regal Cinemas,-77.1113960,38.8790626
1290898159,Pizza Roma,-77.1113918,38.8824272
158256360,Cashs Corner,-77.1113542,36.9154282
7367246069,,-77.1113361,37.5406214
3744737329,,-77.1113166,38.8735659
4554280527,Wells Fargo,-77.1113165,38.8121571
7367245952,,-77.1112833,37.5503158
3762903623,,-77.1112709,38.8743835
356606085,Elfland School,-77.1112700,38.8003100
3740781556,,-77.1112570,38.8760146
6329824916,Solidcore,-77.1112388,38.8779244
5600855376,,-77.1112032,38.8873261
1347492732,,-77.1111698,38.7744590
4581763562,,-77.1111585,38.8858004
6254195317,Industrious,-77.1111303,38.8807219
7369378037,,-77.1111298,37.4622988
356606809,Dorothy Hamm Middle School,-77.1111285,38.9005166
3727830158,,-77.1111055,38.8719931
4554280529,Hong Kong,-77.1110997,38.8131426
158479269,Shiloh,-77.1110866,38.2215186
5553510378,,-77.1110725,38.8882701
3756263570,,-77.1110272,38.8672671
356605837,Clermont Elementary School,-77.1109900,38.7949000
7367245902,,-77.1109557,37.5524425
5600855381,,-77.1109229,38.8839981
7369399086,,-77.1108462,37.5280778
7369378059,,-77.1108204,37.4675315
356580582,Saint Agnes Catholic Church,-77.1108120,38.8953895
158344463,Chestnut Hill,-77.1108093,38.2992942
4595501901,,-77.1107854,38.8979108
7367246241,,-77.1107586,37.5436363
3762494542,,-77.1107519,38.8702075
7367246212,,-77.1107339,37.5513245
6280990665,,-77.1107209,38.8798271
2435591119,,-77.1106656,38.8343843
7729215737,"Holly, Woods & Vines",-77.1106615,38.7273108
4585786295,,-77.1106583,38.8896367
7367246249,,-77.1106076,37.5492338
7383596123,,-77.1106031,38.9138907
7367246227,,-77.1106027,37.5421074
6329816517,Mercedes pre-owned,-77.1105556,38.8772334
5152031850,,-77.1105434,38.8565431
1347492275,Treehouse,-77.1105367,38.7730114
158412816,Clermont Woods,-77.1105345,38.7973356
5536246219,,-77.1105319,38.8830428
5586913925,,-77.1105084,38.8921105
356581346,Francis C Hammond Middle School,-77.1105042,38.8264332
356579656,Manns Pond,-77.1104754,37.1927795
7367246334,,-77.1104584,37.5463547
7383596124,,-77.1104319,38.9155971
2164778957,,-77.1104107,38.9165973
6056047858,Kettler capitals iceplex,-77.1103859,38.8788620
4849600190,Sonus Alexandria Hearing Care Professionals,-77.1103555,38.8283272
7367246099,,-77.1103531,37.5410508
356580914,Arlington Assembly of God Church,-77.1103516,38.8690530
7367246230,,-77.1102880,37.5484258
