osm_id,name,x,y
5237331901,Cape Flattery Lighthouse,-124.7366972,48.3916125
5828052729,,-124.7341834,48.3908375
3460814838,Cape Alava Campground,-124.7325542,48.1617084
5074671822,,-124.7316008,48.1606263
4395569928,,-124.7260055,48.3856196
760155385,,-124.7249171,48.3843196
4395569925,,-124.7233133,48.3836334
5074671821,,-124.7209758,48.1518474
4253773311,Sand Point,-124.7120225,48.1260614
5879934193,,-124.7109015,48.1565506
4190364833,,-124.7107562,48.1352446
3460860864,Sand Point Campground,-124.7092831,48.1261652
6604508506,,-124.7074293,48.1611995
4971136633,,-124.7070793,48.2425781
4971136649,,-124.7041175,48.2364228
4971136652,,-124.7032209,48.2355394
5879934192,,-124.6996406,48.1544724
4253773366,,-124.6982964,48.1200095
4971136754,,-124.6972485,48.1975479
6551995418,,-124.6971230,48.2453710
7926931856,,-124.6931937,48.1533097
6551982989,,-124.6902705,48.2347580
4971124092,Portage Head,-124.6866852,48.2879142
4971124091,,-124.6866183,48.2870811
348997343,Archawat Peak,-124.6849035,48.3715176
4971124104,,-124.6846096,48.2795982
4971124102,,-124.6836989,48.2789272
4971124100,,-124.6832924,48.2778450
4971180844,,-124.6823433,48.0694608
4971124105,,-124.6819426,48.2776718
356540752,Norwegian Memorial,-124.6816703,48.0375951
4971124106,,-124.6811946,48.2758861
6584549183,,-124.6803782,48.0293725
369029754,Starbuck Mine,-124.6775923,48.0144703
348997413,Bahokus Peak,-124.6764636,48.3724106
150939597,Classet,-124.6763287,48.3866880
4971180842,,-124.6756604,48.0807516
150936538,Midway,-124.6740971,48.3895379
4971180843,,-124.6731697,48.0731784
4971180870,John Peak,-124.6726201,47.9662699
150945797,Wa'atch,-124.6714507,48.3474283
4971180850,,-124.6710445,48.1573942
4971180849,,-124.6693886,48.1553392
5879934190,,-124.6693586,48.1537559
442810378,,-124.6682470,48.1525796
150939637,Ozette,-124.6678823,48.1543692
6900521953,,-124.6675837,48.1534198
5797629652,,-124.6656472,47.9651074
4971124068,,-124.6652690,48.3391477
356540267,Hobuck Beach,-124.6646848,48.3381199
5797629650,,-124.6642900,47.9562885
6584546452,,-124.6638350,47.9626260
4971123868,,-124.6636970,48.3681175
4253773424,,-124.6635618,48.1099599
5797629648,,-124.6633941,47.9557317
4971180841,,-124.6626509,48.0775482
4395575683,,-124.6619381,48.3084807
4395575684,,-124.6614634,48.3095618
4253773387,,-124.6612149,48.1213489
356540767,Old Cemetery,-124.6605036,48.0725685
4395577289,,-124.6596904,48.3395573
5879947585,The Lost Resort General Store,-124.6593621,48.1540128
47187115,,-124.6587676,48.3385057
4971180840,,-124.6576283,48.0793375
356548181,Cemetery Point,-124.6560594,48.0789574
4395575686,,-124.6552085,48.3139840
47133756,,-124.6551987,48.3152093
5797629645,,-124.6513671,47.9433142
267280215,Hole in the wall,-124.6508781,47.9417278
356542308,Washburn Hill,-124.6432925,48.2381203
427037923,,-124.6425194,47.9316704
5818499555,First Beach,-124.6405375,47.9078675
5818761153,,-124.6389320,47.9218660
47151307,,-124.6386278,47.9089466
356543402,Quileute Tribal School,-124.6379570,47.9082269
5861834059,OceanSide Restaurant,-124.6379034,47.9096911
8176057682,Fisherman Memorial Stone,-124.6363746,47.9101457
8173585242,,-124.6352103,47.9131578
4971180879,Natural Arch,-124.6321797,47.8923998
5027406672,,-124.6305253,47.9019470
5443794613,,-124.6304844,47.9794125
5818499558,,-124.6304076,47.9208163
348997318,Waatch Peak,-124.6287870,48.3188401
1866817402,,-124.6277677,48.3682401
348997332,Cheeka Peak,-124.6265795,48.2998593
2293308910,1st Beach Overlook,-124.6256765,47.8990302
1850814407,Makah Veterans Memorial,-124.6255537,48.3689126
442810666,,-124.6250331,48.1255188
5818937756,,-124.6243950,47.8979561
4395550933,,-124.6224350,47.8981885
2037010934,,-124.6221922,48.3643245
1866817397,,-124.6206299,48.3668414
5818499753,Dickey Boat Ramp,-124.6196452,47.9212847
150944772,Mora,-124.6179926,47.9211837
1866817292,Makah Mini-Mart,-124.6171176,48.3661617
348997335,Makah Peaks,-124.6159794,48.2938637
2038044428,Neah Bay,-124.6155340,48.3653390
1866817392,,-124.6134043,48.3649067
2036963876,,-124.6123623,48.3664037
34278452,Neah Bay Marina,-124.6115275,48.3675803
1866817294,Village Market,-124.6082017,48.3659912
47277294,,-124.6044808,47.9186141
356540350,James Park,-124.6027139,47.9153508
5880241887,,-124.5991232,47.8905590
8175418174,,-124.5989956,48.3702099
8176013808,,-124.5986538,48.3691315
4244636565,,-124.5976816,48.1203354
4395569923,,-124.5941538,48.3701369
348997366,Sooes Peak,-124.5910885,48.2847548
3083849197,,-124.5766910,47.8728052
356541399,Third Beach,-124.5694009,48.3672919
3083849195,,-124.5692107,47.8674899
7283997966,require low tide to pass,-124.5590562,47.8618966
3083849187,,-124.5576569,47.8566455
3083849188,,-124.5576377,47.8588932
3083849191,,-124.5575295,47.8608887
4339196489,Cycling Camping,-124.5552882,47.9170195
845148084,,-124.5454252,48.3529721
4796522033,Quillayute River Resort,-124.5441485,47.9147602
150939576,Quillayute,-124.5424346,47.9431296
4344529093,Three Rivers Boat Launch,-124.5412531,47.9140225
5895708957,Jacob Black's Vacation Home,-124.5400661,47.9062059
5895708956,Wolf Den Cabin Rental,-124.5398086,47.9048466
5694069522,Manitou Lodge Bed and Breakfast,-124.5381124,47.9246862
5895708958,Riverview RV Park,-124.5362520,47.9126316
4796532420,Three Rivers,-124.5344581,47.9130932
356541125,Royal School,-124.5330022,48.1656273
356542323,Snag Peak,-124.5213373,48.2081273
5879934187,Ozette Organics,-124.4900189,48.1740229
939394536,Destruction Island Lighthouse,-124.4869714,47.6743747
6119930829,,-124.4848887,47.6780671
2845372305,,-124.4808910,47.7984624
348996611,Hoh Head,-124.4796470,47.7681324
2845322825,,-124.4771851,47.7842152
348997344,Sekiu Mountain,-124.4685572,48.2147957
2845323610,,-124.4678492,47.7708577
2845338062,,-124.4602626,47.7670332
150944936,Old Royal,-124.4585549,48.1792406
6447847669,Diamon Rock,-124.4506948,47.7594878
6401631030,,-124.4277949,48.2009328
150953442,Oil City,-124.4254785,47.7503557
434711321,,-124.4213111,47.7495102
2845338059,,-124.4179497,47.7492283
5266410363,Gorilla Rock,-124.4158882,47.7112617
348997308,Gunderson Mountain,-124.4149341,48.0072984
5880242485,,-124.4137340,47.7100265
5895708959,Masco Petroleum,-124.4120201,47.9660988
348997367,Stolzenburg Mountain,-124.4077199,48.1806307
150952168,Hoh,-124.4065891,47.7492449
5895708962,Cannabis Coasy,-124.4041908,47.9683257
356541796,Fletcher Cemetery,-124.4040891,47.7492449
5029285401,,-124.4039243,47.6793544
5811129954,,-124.4031914,47.9736781
7316850174,Pacific Pride,-124.4013739,47.9730632
7316837052,,-124.3991215,47.9622920
5910874353,Bella's Truck (Twighlight),-124.3942689,47.9367437
7316891219,Sasquatch,-124.3933038,47.9870101
2047558470,Olympic Suites Motel,-124.3905571,47.9602797
5811129953,Misty Valley Inn,-124.3904033,47.9911762
356549956,KLLM-FM (Forks),-124.3900728,47.9537041
4840570414,BBG Blakeslee's,-124.3896727,47.9388931
348997333,Nelson Hill,-124.3885495,48.1128538
7760351537,,-124.3883668,47.6509840
2427084100,Subway,-124.3880455,47.9566541
584680711,Town Motel,-124.3873618,47.9395294
710300426,Thriftway,-124.3869650,47.9414829
2427099955,Umpqua Bank,-124.3866883,47.9406345
150971726,Shuwah,-124.3866010,48.0211878
150933910,Forks,-124.3861650,47.9502220
7316781517,,-124.3861213,47.9429696
2427084052,Pacific Inn,-124.3860364,47.9474548
2427060296,,-124.3858354,47.9526035
5561678925,,-124.3853089,47.9543040
7454297196,Luxe Hiking Gear,-124.3852106,47.9512294
7231382049,Rainy Day Gourmet,-124.3851144,47.9533631
2427104154,Peninsula College,-124.3850495,47.9461990
2427099867,Dew Drop Inn Motel,-124.3848188,47.9425248
2907392613,Forks Transit Center,-124.3848010,47.9451280
6651361416,,-124.3847069,47.9552277
5616592422,Twilight Tours in Forks,-124.3844617,47.9495418
366028805,Pacific Ranger District - Forks Office,-124.3838889,47.9563889
6645082028,St. Swithin Episcopal Church,-124.3836236,47.9533725
5561679130,,-124.3836135,47.9548060
356547374,Forks Middle School,-124.3830336,47.9495737
3429537121,,-124.3794445,47.9499038
2426977460,,-124.3790657,47.9468422
348997432,Grader Creek Hill,-124.3782622,47.9067443
3733999551,,-124.3756998,47.6120615
4216948948,Olympic National Park - Kalaloch & Ruby Beach,-124.3737745,47.6054072
150960109,Kalaloch,-124.3724164,47.6045242
356544759,Dickey Hoko Summit,-124.3718817,48.0972987
1817178911,,-124.3711642,47.6053903
356545517,Lagitos Hill,-124.3710383,47.8714669
991927657,Kalaloch Ranger Station,-124.3695550,47.6028761
3426793269,"Beach 2, Olympic National Park",-124.3678554,47.5909183
7316783161,,-124.3645070,47.8943091
5640433723,25 E,-124.3628572,47.8940870
3426793268,South Beach,-124.3598906,47.5659148
7661905025,,-124.3566758,47.5540998
5895708964,Lake Pleasant RV Park,-124.3551493,48.0554944
5879934186,,-124.3509264,48.2624679
150968344,Beaver,-124.3474350,48.0572994
356546851,Tyee Hill,-124.3446583,48.0861882
5529261277,,-124.3444607,48.0601448
6986021061,,-124.3434368,47.4857834
5805094954,,-124.3429566,48.0581502
4722163790,Rainforest Hostel,-124.3425000,47.7420620
356547262,Lake Pleasant Recreation Area,-124.3376443,48.0588403
356546154,Pratt Cliff,-124.3335204,47.4056371
5895708970,Cape Flattery School District Administrative Services,-124.3328977,48.2659552
2845372170,,-124.3325352,47.5351927
150941260,Queets,-124.3323721,47.5398792
5895708971,Glass Action Auto Glass,-124.3286222,48.2657160
5895708972,Assembly of God,-124.3221903,48.2651054
5895708973,Church of Christ,-124.3176144,48.2635234
356544864,Ellis Mountain,-124.3146602,48.1584107
356544267,Beaver School,-124.3084309,48.0643198
5895708975,County PUD,-124.3073791,48.2623735
5024837421,Klahanie Campground,-124.3061930,47.9631834
348617479,Garfield Gas Mound,-124.3054629,47.3550823
356544264,Beaver Hill,-124.3029902,48.0759114
356544498,Cassel School,-124.3026993,47.7773021
1866817375,,-124.3023900,48.2652100
150972211,Sekiu,-124.3013299,48.2622995
1945076810,By The Bay Cafe,-124.3013299,48.2636903
4395561938,,-124.2999551,48.2598864
6484944630,Masons/Olsons Resort,-124.2995462,48.2654707
348997314,Reade Hill,-124.2957599,47.8900793
150955776,Clearwater,-124.2946355,47.5775812
6611046447,,-124.2938342,47.3475539
6986081421,,-124.2922290,47.3480516
356546818,Tumbling Rapids Recreation Area,-124.2877118,48.0689673
356543456,Taholah Elementary School,-124.2876843,47.3445270
5895708976,Surfside Campground,-124.2871070,48.2571914
5895708977,Middle Point Inn,-124.2844892,48.2573342
5895708979,Coho Estates RV Park,-124.2821932,48.2565914
150951234,Sappho,-124.2815491,48.0703347
6122781343,,-124.2810779,47.3041647
7926586685,Point,-124.2789343,47.3040551
6484944026,The Old Tavern,-124.2746714,48.2537922
4407599789,Beaver Creek Dispersed Camping,-124.2670139,48.0941409
5895708980,Three Sisters of Clallum Art Gallery,-124.2640990,48.2530661
5895708981,Fresh Smoked Salmon,-124.2624199,48.2535054
6484940717,Clallam Bay Lions Club,-124.2619766,48.2525170
5895708982,Gary's Pay & Save Auto Center,-124.2611647,48.2545555
356547142,Old Clallam Bay Cemetery,-124.2610499,48.2395226
3429583386,Clallam County Fire District 5 Station,-124.2608658,48.2484411
5895717886,Clallam Bay Library,-124.2607570,48.2517980
5895717887,Clallam Bay Presbyterian Church,-124.2606926,48.2506693
5895717885,Gary Fernandes Enterprises,-124.2605209,48.2533089
5895708983,Thu's Salon,-124.2599255,48.2543126
1866817373,Shell,-124.2589151,48.2489736
5895717889,Strait View Self Storage,-124.2572969,48.2476508
5895717890,Auto Value Parts Store,-124.2538852,48.2215204
2426104751,,-124.2526940,47.5397811
416334674,,-124.2519034,47.8124455
32805249,,-124.2501038,47.8121210
5025569042,Hoh Ox Bow Campground,-124.2495378,47.8103877
356544725,Deadmans Hill,-124.2399338,48.1014681
5351926423,Tahola Beach Shack,-124.2387912,47.2925068
3076363693,Hungry Bear Cafe,-124.2382318,48.0661605
6986153715,,-124.2227998,47.2556921
3426793267,Sunset Beach,-124.2170190,47.2391030
3426784807,Sunset Beach,-124.2149521,47.2346398
48421369,,-124.2137300,47.2356940
259178219,Moclips,-124.2127184,47.2330393
356548175,Burnt Mountain,-124.2127123,48.1517462
150955782,Sunset Beach,-124.2090685,47.2259175
3426784806,Sunset Beach,-124.2084290,47.2189900
2462401391,,-124.2061154,47.2177392
2462401414,,-124.2053427,47.2145308
2462401639,,-124.2042135,47.2152031
2570624862,,-124.2032861,47.2059954
4814557962,Hartzell Creek Boat Launch,-124.2030627,47.5520206
2462401321,You & I Market,-124.2027800,47.2086890
150955722,Highland Heights,-124.2026334,47.2171817
2462401383,Sand Dollar Inn & Cottages,-124.2025822,47.2078382
2570733045,,-124.2023318,47.2052975
2462401625,Paddie's Perch,-124.2015093,47.2086636
2570733137,,-124.2013913,47.2058496
2570733075,,-124.2013530,47.2048252
150942217,Pacific Beach,-124.2003810,47.2090696
48421130,,-124.1995509,47.1963383
8277210436,Sue's Treasure Trove,-124.1992824,47.2095509
2768710878,Front Street Market,-124.1992420,47.1954670
6254819308,,-124.1982913,47.1933789
356541593,Yellow Bluff,-124.1982342,47.1878625
2492647231,Seabrook,-124.1978377,47.1964343
7718822561,Frontager's Pizza,-124.1977633,47.1948301
6256668243,,-124.1964340,47.1942101
3683307185,,-124.1963021,47.1963889
150955632,Ocean Grove,-124.1962897,47.1820292
6049365542,,-124.1959049,47.1954928
6256693003,,-124.1945581,47.1948623
3683307188,,-124.1942609,47.1965183
3683307187,,-124.1937996,47.1978214
6256693004,,-124.1934078,47.1944123
6254819315,,-124.1911317,47.1978784
8048147018,Tidewater Cottage,-124.1908892,47.1942326
6250390354,,-124.1901963,47.1971507
6243238988,,-124.1898575,47.1950809
150960473,Iron Springs,-124.1885113,47.1595295
356539888,Copalis Head,-124.1879555,47.1470296
348996641,Mount Octopus,-124.1776953,47.7489710
3605131697,Copalis Beach Resort,-124.1767789,47.1117680
3605134246,,-124.1761086,47.1027105
3607921718,,-124.1740071,47.0859331
6641131635,Minnie Peterson Campground,-124.1738138,47.8199405
150944905,Copalis Beach,-124.1737879,47.1125857
4606356689,Minnie Peterson,-124.1730526,47.8188384
4837314898,WorldMark Mariner Village,-124.1726202,46.9350429
3605131700,The Driftwood RV Resort and Campground,-124.1711646,47.1186404
3605134229,,-124.1703162,47.0837958
3605131699,Oceana RV & Camping Resort,-124.1690594,47.0797332
3605134096,,-124.1684373,47.0589758
7746186091,,-124.1681547,47.0324225
150956466,Aloha,-124.1679560,47.2009183
6621463972,,-124.1677886,47.0070858
3605131698,Ocean City RV Resort,-124.1675242,47.0765499
2705025388,The Polynesian Resort,-124.1674127,47.0020769
2705025369,The Canterbury Inn,-124.1673376,47.0029913
2705025374,Ocean Shores Motel,-124.1670050,47.0052521
2705025385,At the Beach Rentals,-124.1668264,47.0044425
2770760114,Sharky's,-124.1667390,47.0065130
2706010354,North Beach Motel,-124.1664963,47.0697346
150980918,Ocean City,-124.1659930,47.0707330
5422116061,,-124.1658968,47.0104546
2705031246,High Tyde Cafe,-124.1658622,47.0049833
4258005689,Subway,-124.1658144,47.0076756
5422476059,,-124.1657643,47.0167356
7746186087,,-124.1656876,47.0334332
2704540163,Westerly Motel,-124.1656778,47.0155493
3605131702,,-124.1656675,47.0314096
2706010357,Grays Harbor Fire District #7,-124.1656124,47.0736681
2705031248,Oasis Motel,-124.1655028,47.0060203
2705031303,Ocean Shores Inn & Suites,-124.1654717,47.0039121
7746186089,,-124.1653025,47.0346363
150975983,Sampson,-124.1651753,47.0417530
2705031302,La Chica Taqueria,-124.1649691,47.0069751
5422115952,,-124.1649554,47.0120996
7747110985,,-124.1647699,47.0328199
4258005989,Murphy's,-124.1644688,47.0078376
2704540465,Days Inn Ocean Shores,-124.1642998,47.0164212
5895717892,Triple Nickel Bait & Tackle,-124.1641599,48.1916040
2705031251,Shore Bowl,-124.1637647,47.0069770
3797718531,,-124.1630246,47.0332044
439595333,,-124.1629195,47.0454570
2704812507,Porthole Pub,-124.1628661,47.0153358
5132674857,Making Memories,-124.1627155,47.0076024
2704812481,Homeport Seafood & Steaks,-124.1625791,47.0136369
2704812479,Cruiser's Pizza,-124.1624531,47.0121446
150944643,Oyhut,-124.1622167,47.0173920
2704812502,The Dusty Trunk,-124.1622117,47.0097157
