osm_id,name,x,y
154030452,Hewlet,-82.6268243,38.1675861
7041123119,,-82.6047495,38.2344148
153851552,Prichard,-82.5984911,38.2400841
154325475,Hubbardstown,-82.5984906,38.1939743
356521032,Rowe Cemetery,-82.5968230,38.1267541
356521662,Smith Chapel,-82.5965467,38.2420284
7041137310,,-82.5957304,38.1170155
154292854,Fort Gay,-82.5957118,38.1161988
356518629,Matovich Cemetery,-82.5951573,38.2020296
7041137309,,-82.5948305,38.1176598
7041137311,,-82.5943977,38.1164540
356529487,WFGH-FM (Fort Gay),-82.5934897,38.1328650
154045801,Neal,-82.5929364,38.3567493
154401557,Grandview Gardens,-82.5896031,38.3936933
356517659,Hodge Memorial Church,-82.5884901,38.1764749
7357063379,Superior Coin Laundry,-82.5860912,38.4035898
6545250440,,-82.5854838,38.3850481
356539293,Kenova Christian School,-82.5840476,38.4013319
6545250449,,-82.5840414,38.3860033
356516160,Community Chapel,-82.5839917,38.1909326
356519607,Oakview Heights Mission,-82.5829363,38.3917489
154125922,Mineral Springs,-82.5823782,38.1231431
356516566,Ebenzer Church,-82.5818249,38.3673047
154347042,Sweet Run,-82.5801583,38.3670269
7344179421,Kenova Police,-82.5796554,38.3991450
7363333418,Simply Sheek Simply Unique,-82.5786920,38.3995684
7357063426,,-82.5776933,38.4012993
7358929998,,-82.5775203,38.3990391
7090791286,,-82.5765829,38.3923293
356516432,Dock Creek Church,-82.5751579,38.3389718
7357063348,,-82.5748877,38.4001939
153876888,Cyrus,-82.5726576,38.3053611
8038127133,,-82.5724925,38.3997527
356517025,Frasher Cemetery,-82.5723776,38.0967550
356521476,Shiloh Church,-82.5709904,38.2395286
7347254160,,-82.5696990,38.3986142
356519299,Mount Zion Church,-82.5693239,38.2698059
356515244,Bartram Chapel,-82.5670998,38.1025881
7357034052,,-82.5660398,38.3974844
641116026,,-82.5651890,38.3957902
6216596451,Food fair,-82.5642935,38.3950135
6216596452,Gamer Baseball Academy,-82.5631787,38.3949644
6216600911,,-82.5626062,38.3957088
356519875,Peters Chapel,-82.5623774,38.0986994
641116030,Subway,-82.5623321,38.3966831
6164723113,A&E Bottoms Up,-82.5622360,38.3800704
356522189,Tri-state Church,-82.5615466,38.3564716
7348857548,,-82.5606506,38.3961159
3710071988,Avis and Hertz,-82.5606026,38.3747042
356517453,Hatton Cemetery,-82.5604347,38.2436952
7357063525,,-82.5598784,38.3967250
7347465398,Austin's Pet Supplies,-82.5586776,38.3962538
7347465309,Hair & Beyond,-82.5584759,38.3971568
7348847649,,-82.5584208,38.3950635
356515272,Bean Cemetery,-82.5562679,38.2450841
356518404,Lynch Cemetery,-82.5548770,38.0817555
7358739117,Austin's Home-Made Ice-Cream,-82.5546036,38.3959386
153836241,Saltpetre,-82.5473768,38.0820332
356519551,Oak Grove Church,-82.5470994,38.1134212
356522873,Wilson Chapel,-82.5432101,38.0906442
6545250450,,-82.5398936,38.3938264
154337382,Hidden Valley,-82.5393236,38.3578605
2547006251,Kelly,-82.5390494,38.1141153
356515042,Alley Cemetery,-82.5365452,38.2484174
356515557,Blair Cemetery,-82.5362672,38.2367511
356520701,Riggs Cemetery,-82.5329341,38.2620283
7556228163,Scrambler,-82.5318230,38.3975529
5876131693,The Rattler,-82.5316907,38.3966477
7555017360,Cats-Darts-Duck Pond,-82.5308273,38.3973225
7555020115,Log Flume,-82.5305447,38.3986959
153835843,Centerville,-82.5296006,38.2614728
356517194,Gragston Church,-82.5268223,38.2184183
5941229500,,-82.5258710,38.4014131
356539234,Spring Valley Technical/Academic,-82.5250000,38.3830833
461488632,,-82.5246622,38.3571593
5941229486,,-82.5246459,38.4013332
5941228173,,-82.5239693,38.4004467
5941289596,,-82.5231298,38.3998986
5941289591,,-82.5220073,38.4001340
154339972,Glenhayes,-82.5212642,38.0142575
5941671941,,-82.5202310,38.4002170
5941671901,,-82.5197227,38.3979804
356515762,Buffalo Valley Church,-82.5193229,38.3259165
5941671899,,-82.5188014,38.3973750
5978201510,,-82.5185486,38.3961040
5941670350,,-82.5172390,38.3975863
154098030,Spring Valley,-82.5168231,38.3853603
154129596,Meadow Haven,-82.5165453,38.3598050
356536351,Buffalo Elementary School,-82.5159520,38.3492732
356521813,Spring Valley Church,-82.5158115,38.3933865
5941670349,,-82.5157638,38.3979563
356522555,Washington Church,-82.5154342,38.3717493
5941670343,,-82.5145146,38.3984001
6282059799,,-82.5137434,38.3926026
5941670339,,-82.5133780,38.3986910
356538965,Buffalo Middle School,-82.5131194,38.3482411
5941670334,,-82.5122689,38.3990021
154079871,Westmoreland,-82.5121009,38.4006379
356523008,Wronk Cemetery,-82.5118218,38.2111963
5941670331,,-82.5107440,38.3995943
461488630,Rocky Tops,-82.5098221,38.3551806
5941670329,,-82.5095746,38.3998198
1581550925,Spring Valley Country Club Golf Course,-82.5093860,38.3832350
461488631,,-82.5089724,38.3540633
7039314646,,-82.5087021,38.3860465
461488629,,-82.5083372,38.3511219
5941670322,,-82.5083274,38.4002086
153946499,Effie,-82.5082092,38.0945329
7039314645,,-82.5073862,38.3860979
356519661,Old Pleasant Church,-82.5073758,38.0842555
5941670316,,-82.5072692,38.4005344
356518295,Locust Grove Church,-82.5071005,38.3559161
356522285,Upper Greenbrier Church,-82.5068208,38.1342541
5941670313,,-82.5061186,38.4008897
5941722408,,-82.5059067,38.4031430
356516330,Damron Cemetery,-82.5054332,38.2425843
5941722413,,-82.5050946,38.4010605
5941722403,,-82.5048700,38.4035697
7423996447,,-82.5046386,38.3553392
5941229501,,-82.5042947,38.4068150
5941722397,,-82.5039165,38.4047835
5941229506,,-82.5038635,38.4060068
7090842363,,-82.5027591,38.3994791
5941229511,,-82.5026599,38.4058292
356521056,Rush Branch Church,-82.5020982,38.1100881
356518940,Mills Chapel,-82.5015445,38.2878615
5941720780,,-82.5014797,38.4057903
5941229524,Cabell County,-82.5006824,38.4063578
922251738,,-82.5006685,38.4042684
356539246,Tolsia High School,-82.5003168,38.0007919
5941229525,,-82.4989390,38.4069710
5941720772,,-82.4979043,38.4068497
356516253,Crabtree Cemetery,-82.4970983,38.1359207
5945944807,,-82.4968274,38.4071649
356517817,Jackson Cemetery,-82.4968201,38.1056439
7091939864,,-82.4965056,38.4021192
356515925,Cassidy Cemetery,-82.4962647,38.1164769
356529358,WRVC-AM (Huntington),-82.4956922,38.4014964
5945944800,,-82.4954273,38.4074098
5945944795,,-82.4944282,38.4077787
7041807689,WRVC-AM (Huntington),-82.4944161,38.4006458
356522137,Thomas Copley Church,-82.4937625,37.9350929
2961991417,Wilson Cemetery,-82.4932545,38.1158034
356515190,Ball Cemetery,-82.4932093,38.1414762
5945944283,,-82.4931702,38.4081622
356517255,Greenbrier Church,-82.4920984,38.1653645
5945944279,,-82.4920008,38.4082631
5945944276,,-82.4910593,38.4086845
5945944269,,-82.4897289,38.4090135
356517369,Haneys Branch Church,-82.4893221,38.3567497
356520766,Robertson Cemetery,-82.4893198,38.1078662
356517879,Joels Branch Cemetery,-82.4884868,38.1314766
5945944261,,-82.4883828,38.4095384
6572800044,,-82.4883329,38.4108387
5978201511,,-82.4877293,38.4009044
7671740918,,-82.4874182,38.4099596
356519802,Patrick Creek Church,-82.4873764,38.1989747
356520423,Pratt Cemetery,-82.4870972,38.0795336
6311475340,Tesla Supercharger,-82.4870970,38.4109649
356519868,Perry Memorial Church,-82.4868196,38.0986998
6572800042,,-82.4852869,38.4103854
356517395,Harless Cemetery,-82.4851527,38.0789781
6572779106,,-82.4849455,38.4138069
356529354,WHRD-AM (Huntington),-82.4843221,38.4061936
356518898,Mill Creek Church,-82.4840412,38.0481457
5978201512,,-82.4840346,38.4021015
154018470,West Huntington,-82.4837666,38.4106380
356518686,McCoy Cemetery,-82.4837622,37.9392597
154387697,Webb,-82.4823735,37.9698145
153912913,Echo,-82.4818203,38.1778643
7090842005,Speedway,-82.4815299,38.4088795
7684034471,,-82.4808574,38.4111894
5945943552,,-82.4804290,38.4122086
6572779109,,-82.4802902,38.4033080
5945943573,,-82.4801709,38.4134738
356517694,Hopewell Church,-82.4801532,38.1392543
5945943503,,-82.4801524,38.4103215
7939769668,,-82.4797657,38.4114489
154120694,Tripp,-82.4795951,37.9250934
5947371871,,-82.4795613,38.4078775
8225497673,,-82.4791914,38.4107587
7939769665,,-82.4790089,38.4095794
5947371858,,-82.4787919,38.4073279
356522976,Workman Cemetery,-82.4787630,38.0362017
6572968687,,-82.4783581,38.4083861
5947372887,,-82.4782055,38.4120100
5947371881,,-82.4780104,38.4098494
5947372888,,-82.4777120,38.4107548
5947371834,,-82.4774377,38.4061729
5947371828,Chesapeake & Ohio,-82.4770153,38.4052428
356517818,Jackson Cemetery,-82.4762643,38.1589760
356522578,Watts and Perry Cemetery,-82.4762639,38.1178661
7390106696,,-82.4762166,38.4130062
356519498,Newcomb Missionary Church,-82.4759880,38.3195281
356518409,Lynn Chapel,-82.4759879,38.2995283
7667686786,,-82.4758915,38.4120627
7044980678,,-82.4753487,38.3922045
154176021,Shoals,-82.4751547,38.3270280
356521633,Smith Cemetery,-82.4751532,38.1570316
356529356,WKEE-FM (Huntington),-82.4751310,38.3931952
8184433505,WWI Memorial Trail,-82.4749684,38.4058562
154372743,Coleman,-82.4748754,38.1623092
7667674834,,-82.4745334,38.4124983
356516328,Damron Cemetery,-82.4743187,38.0714785
356516568,Echo Church,-82.4740425,38.1984193
7970248594,A Walk in the Park,-82.4739818,38.4055285
6286992608,,-82.4731123,38.4038908
6243410664,,-82.4730426,38.3997601
356515159,Bailey Cemetery,-82.4729319,38.2403626
5947371815,,-82.4726949,38.4060348
154284384,Sidney,-82.4726531,38.1570316
356522163,Toms Creek Church,-82.4720982,38.2209187
8184462617,WWI Memorial Trail,-82.4714806,38.4063556
356536392,Shoals Post Office,-82.4712656,38.3270281
356519513,Noe Cemetery,-82.4712631,38.0753674
153970000,Fleming,-82.4709855,38.0878670
367807929,Cabell County Detention Home for Children,-82.4701550,38.4167493
5909822365,,-82.4699467,38.4061148
356536413,Ninth Street West Historic District,-82.4695994,38.4111938
6055512491,Virginia Avenue Recycling Center,-82.4691603,38.4172153
6058703375,A Walk in the Park,-82.4688426,38.4058413
7471051473,,-82.4686129,38.3789711
6484564599,,-82.4683521,38.4100258
7705327782,Mattresses,-82.4674101,38.4162870
6058703368,,-82.4672359,38.4060026
356522222,Twelvepole Valley Church,-82.4670971,38.1445321
6058703364,Sky Walker,-82.4658526,38.4057000
356519416,Napier Cemetery,-82.4657072,38.0673121
7705322417,The Cookie Carnival,-82.4655374,38.4162806
7057384804,Crossfit Huntington,-82.4651573,38.4090300
7755053744,Level 1 Fasteners,-82.4650884,38.4075823
8184433509,WWI Memorial Trail,-82.4649818,38.4064061
356522861,Wilson Cemetery,-82.4648745,38.1175885
356516783,Ferguson Cemetery,-82.4643191,38.1392546
6058703362,Fitness Bike,-82.4638630,38.4061823
5866771863,,-82.4635318,38.3918689
356522143,Thompson Cemetery,-82.4632077,38.1211995
356518344,Lost Creek Church,-82.4629291,38.0420351
5910268181,,-82.4628565,38.4065455
356539056,Genoa Elementary School,-82.4627171,38.1270836
6058770228,,-82.4625273,38.4080524
5941229529,,-82.4622343,38.4196274
5949774590,,-82.4618797,38.4061279
6058770097,,-82.4615416,38.4070462
6051902514,,-82.4615148,38.4084908
356520381,Porter Cemetery,-82.4612626,38.0650900
6473921795,,-82.4612298,38.4169593
5949774607,,-82.4608089,38.4063889
356515494,Big Creek Church,-82.4607093,38.2725845
6050211420,,-82.4602749,38.4071655
6178887706,,-82.4600992,38.4086790
154327338,Genoa,-82.4598743,38.1220328
5948763540,,-82.4593663,38.4064976
7985521296,,-82.4590989,38.4188759
6050211419,,-82.4588091,38.4075286
5909822367,,-82.4584792,38.3969376
5964853711,,-82.4580903,38.4140880
6863708226,,-82.4578576,38.3103912
6178529945,,-82.4578170,38.4092300
5939984888,,-82.4574623,38.4185060
7165092838,Burger King,-82.4573791,38.3879081
6178531187,,-82.4573641,38.4080304
7725708031,,-82.4573459,38.4170055
5830981766,,-82.4570301,38.4140454
6178529934,,-82.4569715,38.4070321
5948763526,,-82.4566281,38.4061498
3036438240,,-82.4565760,38.3244000
154308875,Radnor,-82.4565403,38.0795341
5939972675,SunTime Tanning,-82.4564226,38.4149778
6178529952,,-82.4564005,38.4096214
6052978609,,-82.4560162,38.4127188
