osm_id,name,x,y
737827281,,-92.8642643,45.5680281
151392173,Benson,-92.8557652,45.7171789
151421807,Randall,-92.8352098,45.6957902
354531920,Saint Croix Ash Swamp State Natural Area,-92.8163194,45.7369001
353894107,Sterling Lookout Tower,-92.8129890,45.6296804
5577469201,Dairy Queen,-92.8030818,44.7506924
7832703715,,-92.8030711,44.7491914
349517208,,-92.8019849,44.7529587
7386380054,,-92.8019023,44.7472527
5577462905,Twisted Oak Coffee Shop,-92.8017647,44.7489951
353905744,Mercord Mill Park,-92.8007583,44.7469120
349403457,Prescott Middle School,-92.7990915,44.7502454
353905597,Andrea Park,-92.7988139,44.7616343
5577466371,PRESCOTT BOAT LAUNCH,-92.7985972,44.7454196
2502357897,St. Joseph Catholic Church,-92.7982270,44.7470353
5577476787,,-92.7974921,44.7739611
151375491,Lind,-92.7954856,45.7399553
353904042,County Trunk O Flowage,-92.7952093,45.6866233
353905740,Public Square Park,-92.7935356,44.7496899
349403521,Malone Elementary School,-92.7927024,44.7541343
151415660,Houlton,-92.7913180,45.0605226
1255414342,,-92.7908732,44.7427759
353905733,Freedom Park,-92.7907578,44.7452454
5938879182,WESTconsin Credit Union,-92.7904220,44.7639754
349403491,Prescott Intermediate School,-92.7896467,44.7569120
5577469216,CERNOHOUS CHEV,-92.7881688,44.7603720
4801984445,Prescott Nursing & Rehabilitation Community,-92.7859186,44.7602926
7731694959,,-92.7837566,45.0597909
5141784483,,-92.7827069,45.0451206
349486968,Saint Josephs Cemetery,-92.7813128,44.7402455
349478044,Pine Glen Cemetery,-92.7790905,44.7388566
354530941,Town Road Flowage,-92.7779853,45.7402329
6530649842,Saint Croix Family Campground,-92.7768178,45.7659831
5017131802,,-92.7759254,45.0700580
5017131805,,-92.7744475,45.0651231
5017131804,,-92.7736616,45.0659283
5017131775,,-92.7734900,45.0668830
5017131803,,-92.7725566,45.0675120
5017131771,,-92.7708748,45.0836592
5017131774,,-92.7706039,45.0799112
5017131773,,-92.7704000,45.0791044
5017131772,,-92.7701224,45.0817625
2116645291,,-92.7700464,45.0903705
354531882,Sterling Barrens State Natural Area,-92.7700000,45.5697222
349503570,Old Settlers Cemetery,-92.7693779,45.5996806
6824423733,,-92.7692188,45.7939322
2116645270,,-92.7679588,45.0917057
354529005,Browns Beach,-92.7643710,44.9983006
1296876338,,-92.7628644,44.8326408
1296876230,,-92.7628188,44.8297323
5017131796,,-92.7619886,45.0682849
1296876363,,-92.7615662,44.8301299
354531961,Kinnickinnic River Gorge and Delta State Natural Area,-92.7611111,44.8280556
354529110,Fourth Street Park,-92.7604819,44.9980230
7202186270,,-92.7595970,44.9765846
1203772536,,-92.7595103,44.9716144
367808738,Hudson Public Library,-92.7582918,44.9771761
7202186269,,-92.7582618,44.9732151
3163815897,,-92.7582316,44.9762076
7247536186,,-92.7581838,45.0038603
1162906784,,-92.7581451,44.9752336
5017131795,,-92.7581209,45.0612678
6762394117,,-92.7576363,44.9847986
2732971109,Croixview Family Chiropractic,-92.7574101,44.9722307
3861188643,Dunn Brothers Coffee,-92.7571802,44.9757958
6006365064,KNUT,-92.7571526,44.9746472
3283301908,,-92.7569126,44.9732167
151357011,North Hudson,-92.7568705,44.9930230
3125302267,,-92.7565689,44.9769116
3862974849,Hudson Massage,-92.7563379,44.9716460
349444915,Dills Mound,-92.7563121,44.7794121
1206874546,,-92.7560079,44.9655066
2694141547,,-92.7559528,44.9758228
1723523353,Hudson Fire Station,-92.7558432,44.9745859
367810189,,-92.7557718,44.9934727
5017131749,,-92.7555044,45.0904577
6762394116,,-92.7554463,44.9839620
3476815553,,-92.7553189,44.9806007
5847669106,St. Croix County Democratic Party,-92.7544544,44.9795501
3924649226,,-92.7542119,44.9831825
1723423567,Village Liquor Store,-92.7538588,45.0028618
2148161713,,-92.7538275,44.9672691
2148161740,,-92.7538020,44.9741960
7058280512,,-92.7536140,44.9789687
349403893,,-92.7533756,44.9818645
2773912524,,-92.7531039,44.9707125
2148161715,,-92.7529470,44.9735277
232351550,Cove Boat Ramp,-92.7526344,44.9064203
2148161747,,-92.7519238,44.9742825
349449997,Starks Mound,-92.7518679,44.8099677
3981111643,,-92.7513979,44.9827515
1296876429,,-92.7513845,44.8338962
349403734,North Hudson Elementary School,-92.7510369,44.9952452
2961737012,,-92.7509722,44.7899575
7367056065,,-92.7506552,45.2394718
354531852,Farmington Bottoms State Natural Area,-92.7505556,45.2619444
1307347532,,-92.7498167,44.8320783
7620456036,,-92.7476368,44.9824562
7247521784,,-92.7463444,44.9815060
7367056066,Green Shed,-92.7462801,45.2381724
2157779320,,-92.7460032,44.9676992
2334967164,,-92.7459138,44.9707801
2240263846,,-92.7457819,44.9667005
6762933541,,-92.7449728,44.9792573
2334967165,,-92.7446948,44.9709195
6762933542,,-92.7445754,44.9815868
353893085,Saint Croix Islands State Wildlife Area,-92.7443735,45.1588556
2961740344,,-92.7441103,44.8380295
2249673004,,-92.7435175,44.9698447
777457207,,-92.7434472,44.9610554
597522821,,-92.7433615,44.9635477
1242670097,,-92.7432036,44.9662104
1432366562,,-92.7430020,44.8353391
2819182911,Little Free Library,-92.7427730,44.9751544
907762856,Family of Christ Lutheran Church,-92.7426859,45.0565887
4079400879,,-92.7424960,44.9534098
4045007108,,-92.7423954,44.9828048
353901918,Logging Creek Flowage 6,-92.7418748,45.6916225
