osm_id,name,x,y
2319139212,,-111.0548950,44.6605460
5792135030,,-111.0462384,44.1495289
7943675600,,-111.0441377,41.1835248
2014234853,Freedom Post Office,-111.0438839,42.9820892
7943675745,,-111.0433883,41.1356789
356506209,Haderlie Knoll,-111.0433000,42.9719000
150962795,Border Junction,-111.0424128,42.2132657
7943675769,Gil Smith Spring,-111.0422201,41.6067504
3727392949,,-111.0422159,43.5629701
356504780,The Pinnacle,-111.0418649,42.5388180
7943675729,,-111.0416619,41.0827975
7943749807,,-111.0412241,41.4065072
4706095491,Alpine North Loop,-111.0411100,43.1963900
369136529,State Line Pit,-111.0400000,41.7780556
3064201542,Talus Terrace,-111.0398021,44.2816128
369135199,Price and Thomas Claims,-111.0397222,42.2705556
7943675735,,-111.0379561,41.2508539
7943675304,,-111.0372622,41.0870799
7943675587,,-111.0369815,41.2310777
356511678,Alta School,-111.0368870,43.7538099
356503490,Red Mountain,-111.0357460,42.0071600
356504698,The Needles,-111.0357385,41.1646686
3758377229,,-111.0353397,43.7207870
7943675417,,-111.0348771,41.9205980
150939683,Alpine,-111.0346560,43.1751990
7943675747,,-111.0346245,41.0593863
3064201095,Gneiss Creek,-111.0325415,44.7772482
3710963001,,-111.0317127,43.5362800
7943675558,,-111.0315853,41.5235711
7943675827,,-111.0313379,41.2596054
7943675262,,-111.0311772,41.5214130
2319883436,,-111.0308697,44.6516171
369136521,San Francisco Chemical Company Number One Mine,-111.0304687,41.8085543
7943863617,,-111.0304520,41.9192352
369136531,San Francisco Chemical Company Number Two Mine,-111.0290798,41.8041100
2295983994,Alpine Town Hall,-111.0277394,43.1607216
356504433,Starvation Peak,-111.0271600,43.4332560
150965573,Bear River,-111.0262970,41.3841121
5312555957,Wapiti Village RV Park,-111.0262443,43.1329407
3064201541,Dunanda Falls,-111.0261773,44.2456314
973262555,,-111.0258621,43.1602251
7943675498,,-111.0258510,41.1551304
2295985449,Legion Ball Field,-111.0252961,43.1630589
2295983992,Alpine Fire Department,-111.0250962,43.1612640
2295984008,Car Wash,-111.0234154,43.1604903
369135215,Jackson Canyon-Coal Canyon Mine,-111.0232452,42.2563205
7943675446,,-111.0229934,41.4258421
6556576320,Driftwood Pizzeria,-111.0229297,43.1619848
356505618,Woodruff Narrows Reservoir,-111.0228107,41.5001098
2669667891,,-111.0224246,43.1679352
3829500829,,-111.0210527,43.1995291
356510245,Chesney Reservoir,-111.0207161,41.2932474
356501611,Hanks Hill,-111.0201875,41.5132787
2295984003,Jenkins Building Supply,-111.0201702,43.1630655
5720912120,,-111.0195259,43.1845033
2295984001,Bull Moose Saloon,-111.0187605,43.1623993
7943675585,Wild Horse Spring,-111.0185812,41.5862355
7943832895,,-111.0185702,41.1562701
150955583,Alpine Junction,-111.0185445,43.1724217
7943675677,,-111.0180648,41.1946705
3064201540,Upper Boundary Creek,-111.0180615,44.2309939
3064201539,Upper Boundary Creek,-111.0180552,44.2283424
2295983989,Yankee Doodle,-111.0178384,43.1651994
7943675595,,-111.0177419,41.4344668
2295984011,,-111.0175145,43.1736929
2295984006,Subway's,-111.0174501,43.1702628
369131732,Madison Plateau,-111.0174380,44.6165954
7943675797,,-111.0173296,41.6086215
2295983996,Alpine Market,-111.0172957,43.1628829
